gene	method	area	area_vs_old	jaccard_vs_old	param	component_sizes	old_center_low	old_center_high
NEFM	old	998	1.0	1.0			0.022998683684420967	0.38348117048750524
NEFM	H	475	0.4759519038076152	0.446954813355138	0.94/0.88	286,189	0.022998683684420967	0.38348117048750524
NEFM	R	287	0.2875751503006012	0.28371628371344937	0.95/0.55	148,139	0.022998683684420967	0.38348117048750524
NEFM	C	292	0.2925851703406814	0.2810327706029689	0.95/0.84	164,128	0.022998683684420967	0.38348117048750524
NEFM	D	937	0.938877755511022	0.4042089985456879	0.55	679,258	0.022998683684420967	0.38348117048750524
NEFM	P	402	0.4028056112224449	0.3765978367711249	0.95/0.86	216,186	0.022998683684420967	0.38348117048750524
NEFL	old	2889	1.0	1.0			0.046663679311255694	0.4074729940997745
NEFL	H	491	0.16995500173070266	0.16995500173011438	0.94/0.88	281,210	0.046663679311255694	0.4074729940997745
NEFL	R	490	0.16960886119764623	0.16960886119705917	0.95/0.55	282,208	0.046663679311255694	0.4074729940997745
NEFL	C	492	0.1703011422637591	0.1703011422631696	0.95/0.84	254,238	0.046663679311255694	0.4074729940997745
NEFL	D	1884	0.652128764278297	0.408795749703634	0.55	1884	0.046663679311255694	0.4074729940997745
NEFL	P	485	0.16787815853236415	0.16787815853178306	0.95/0.86	247,238	0.046663679311255694	0.4074729940997745
