gene	n_links_raw	n_links_pass_filter	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank	absolute_divergence_score	absolute_rank
CHD7	67	5	0.77923266351223	0.001580458161725	0.4172383638782885		5.0	2.0164329342669367	2.014907192867775	2.02275526535582	2.031530023715184	0.0115381736200605	1.0	1.6622619900457294	True	0.8145272979243852	1.0	2.0189618667024902	1.0
PDLIM5	31	6	0.9002832674980163	0.0026690994725591	0.3933713787073533		6.0	1.834997207069256	1.8075163501496525	1.8541802106348664	1.8637619121734397	0.0861959291582275	1.0	1.5475439354864189	True	0.8145272979243852	2.0	1.8426704084955001	2.0
LMX1B	76	7	0.6931471824645996	0.0023367653739402	0.4044036523696888		7.0	1.6336430495842076	1.6311992406229596	1.6649746367044578	1.6916361173455057	0.0351908197345294	1.0	1.4197008790097976	True	0.8145272979243852	3.0	1.6461756844323077	3.0
FGFR3	47	21	0.6664903610944748	0.0032438531931308	0.394069457394259		21.0	1.495351389289021	1.4681010579419127	1.57132211097911	1.6010633777173775	0.0770011256733128	1.0	1.3409710834603858	True	0.8145272979243852	4.0	1.5257396779650565	4.0
GNAI2	57	12	1.1602158403396603	0.0084610557609513	0.4001682264550971		12.0	1.313767101127565	1.375377287128509	1.6222964661247488	1.795944689515156	0.1752737579502872	1.0	1.281080956982213	True	0.8145272979243852	5.0	1.4371788471264384	5.0
GLIS3	100	40	0.6826907896995544	0.0009845027711486	0.3849689749474884		40.0	1.324521023688512	1.3052520157496912	1.4324193536253456	1.4609909902305092	0.0789600063984625	1.0	1.2379132478817412	True	0.8145272979243852	6.0	1.3676803556632455	6.0
NOTCH2	30	5	0.852181648015976	0.0014005516173661	0.2608822760340939		5.0	1.1334218762306711	1.199662432597018	1.3010129290083527	1.427690427095682	0.1583921973935103	1.0	1.1286219827443569	True	0.8145272979243852	7.0	1.200458297341744	7.0
DRGX	49	20	1.2996694946289062	0.0018915497692038	0.3685441416490864		20.0	0.9467013017519093	1.0602539167751368	1.5572464144267124	1.6392414986151922	0.272001304033435	0.75	1.030492124307442	True	0.8145272979243852	8.0	1.1909193468218304	8.0
ADCY2	82	15	0.869340922832489	0.0023581990975173	0.378008976269233		15.0	0.9764418707823918	0.9771029432393052	0.9981374820230884	1.0096052880320432	0.0132250123499109	1.0	0.9901111188187288	True	0.8145272979243852	9.0	0.9851201152786704	9.0
MSI2	156	52	0.6292339611053467	0.0042725526593693	0.3904257043837799		52.0	0.546868837860413	0.6499510939410718	1.632406927217696	1.8880118570544844	0.3351964152303284	0.25	0.7143492669485891	True	0.8145272979243852	10.0	0.9810840736033262	10.0
PSAT1	33	8	0.6911908084154129	0.0020686520574688	0.3456551401880498		8.0	0.7943530630200348	0.7985983413267366	0.8163453239574517	0.8193179065188102	0.0146042430937474	0.25	0.6093275561973769	True	0.8145272979243852	11.0	0.8031499673950016	11.0
SULF2	64	24	2.06330096244812	0.0031453812949686	0.2668393048088393		24.0	0.5135381239417787	0.5771333064750416	1.1320037814141906	1.2322893301953357	0.2231917962495492	0.125	0.5321661949302592	True	0.8145272979243852	12.0	0.7609243869307434	13.0
SPP1	28	5	1.4677719175815582	0.0040730399304871	0.2634599696012707		5.0	0.6823122444082125	0.5904411679345758	0.7489612458650035	0.8755386537826146	0.2085189303030256	0.2	0.5301652092295359	True	0.8145272979243852	13.0	0.7089718449909288	17.0
COLEC12	61	5	0.8860987949371337	0.0007543237223636	0.2873075336021846		5.0	0.6703686768420439	0.699091144703992	0.7424522752255394	0.8241231467998217	0.0722182816599877	0.2	0.5237605395432025	True	0.8145272979243852	14.0	0.699202116195442	18.0
GSN	44	7	0.8541339421272275	0.0033368693498816	0.3770281665601218		7.0	0.5698463536231293	0.6439605469531181	0.7663109462915935	0.8684685403268263	0.1305037252769685	0.2857142857142857	0.5195162780221501	True	0.8145272979243852	15.0	0.6484321906905149	20.0
TFF3	47	6	1.7276260912418366	0.0010950768065874	0.3356179149576014		6.0	0.7927683422193263	0.790197301900105	0.7976951155921478	0.7982294548928841	0.0081378579909674	0.0	0.5165311157857675	True	0.8145272979243852	16.0	0.7947390515684549	12.0
CSMD1	266	16	1.0383048057556157	0.0048032660012157	0.2983907394375729		16.0	0.7042030647212292	0.705348486199415	0.8039195455998943	0.81196281682242	0.072567862245513	0.0	0.4826611122884653	True	0.8145272979243852	17.0	0.7440896570726951	14.0
THSD4	118	26	1.1480708944797515	0.0020496988756429	0.3326458112200133		26.0	0.718776300625253	0.7304343171361791	0.7786748125417423	0.7817560946484254	0.0326573180904232	0.0	0.4821792233855367	True	0.8145272979243852	18.0	0.7427357053918487	15.0
ZFP36L1	46	13	0.8852793699502944	0.0028647530445664	0.3392693273849593		13.0	0.7054989144607586	0.7022775314073615	0.7293228776444836	0.7381183088572348	0.0208073625446499	0.0	0.4645302851954243	True	0.8145272979243852	19.0	0.7150284997342486	16.0
SV2C	73	5	0.435800404548645	0.0038250962510861	0.3693372118434486		5.0	0.5600667587477458	0.6010927116562218	0.6782798280246398	0.898984165862691	0.1543773128734396	0.2	0.4635966605052583	True	0.8145272979243852	20.0	0.6073519864585034	23.0
ARHGAP36	22	5	1.8177902126312253	0.0016357054863089	0.3389706137812754		5.0	0.6553072298866004	0.6574178055470894	0.6646639849931539	0.6695478806007784	0.010443635356216	0.0	0.4282888882029286	True	0.8145272979243852	21.0	0.6590499319292218	19.0
LRIG1	67	26	1.2506570887565611	0.0045286756178907	0.3648402485308318		26.0	0.3947205022154185	0.457140884173386	0.9128622975081776	1.0325955819890396	0.1722098598370273	0.1153846153846153	0.4264883906478272	True	0.8145272979243852	22.0	0.6019772203325222	24.0
NPAS3	149	36	1.2557933330535886	0.004912108458289	0.3341770511697975		36.0	0.5743760161155043	0.5905533733738482	0.7534373508694658	0.7971183090570885	0.060317233351198	0.0	0.4181097441635681	True	0.8145272979243852	23.0	0.6460005500170889	21.0
TPPP3	50	9	1.2201689410209653	0.0040009559589541	0.3926029994451139		9.0	0.604178558480096	0.60323635115231	0.6209363370136455	0.6374845960254293	0.0164213129318684	0.0	0.3969055076454498	True	0.8145272979243852	24.0	0.6108816698935158	22.0
AQP1	49	26	1.140864577293396	0.0008294933414795	0.4110534676387896		26.0	0.5737252006040133	0.575572933208191	0.6021093292602954	0.6141277767276774	0.01331783067445	0.0	0.3800174125566792	True	0.8145272979243852	25.0	0.5850788520665262	26.0
EDNRB	27	15	1.0200284671783448	0.0025334250836872	0.3524096685356541		15.0	0.4536656754213286	0.5293896375742818	0.7920665596090598	0.7949394401407569	0.1519252945589009	0.0	0.3794829100707964	True	0.8145272979243852	26.0	0.5890260290964211	25.0
RSPH1	50	12	1.278809041976929	0.0010844240177924	0.3969849600610977		12.0	0.5348907473386848	0.5346792625610717	0.5442486848159306	0.5450078853695971	0.007495141764555	0.0	0.3500184701394566	True	0.8145272979243852	27.0	0.5386339223295831	27.0
NOTCH1	70	31	1.2307552242279052	0.0034524821587662	0.4079181493769698		31.0	0.4820465056398049	0.4742307285516782	0.6054141463737449	0.6173988519398409	0.0659179279431484	0.0	0.3441721388493581	True	0.8145272979243852	28.0	0.5313935619333809	28.0
SLIT3	133	28	0.6695146238803863	0.0017357170518012	0.3459197225350947		28.0	0.4649848093285635	0.4423870554189659	0.6256793814631104	0.634925338341584	0.1493312212942763	0.0	0.342413769097203	True	0.8145272979243852	29.0	0.5292626381823823	29.0
SOX6	102	37	0.9289134985208513	0.0013628583818458	0.322664539287723		37.0	0.2802833182049657	0.3670347231537716	0.7913386456873606	0.8483359513412011	0.1750066132163351	0.027027027027027	0.3194074481632859	True	0.8145272979243852	30.0	0.4847054491979237	31.0
GATM	26	10	0.943304785490036	0.0026025832531322	0.3523194330295829		10.0	0.4680960884008709	0.4793257801733383	0.5201660716740422	0.5415392930156806	0.0325329074540753	0.0	0.3172799532788589	True	0.8145272979243852	31.0	0.4889240817101394	30.0
FAM181B	40	17	0.9161471205949784	0.0033327873759379	0.2730601384783886		17.0	0.4440247570662116	0.4235055592013002	0.5213279778937349	0.544496775411236	0.0741027922496609	0.0	0.3079418972999184	True	0.8145272979243852	32.0	0.4749460453972209	33.0
GRIA2	32	9	1.3970917677879335	0.0059374888168827	0.3527607072505537		9.0	0.4141449598769289	0.4177374728680733	0.5672089487862292	0.6304401887842991	0.1238708732906685	0.0	0.3074602211473288	True	0.8145272979243852	33.0	0.475370555440649	32.0
FLNC	40	13	0.6931471824645996	0.002132069247246	0.4452326726768074		13.0	0.4418009092335422	0.44353521748443	0.4848782344491849	0.5092572012042219	0.0295170652877426	0.0	0.2979399223057131	True	0.8145272979243852	34.0	0.4590318393197993	34.0
ADGRV1	86	25	1.0657559156417848	0.0025769137210597	0.2922849445933583		25.0	0.3966774567654396	0.4091096866069346	0.5357898043775235	0.5952039532323361	0.0582780085102424	0.0	0.2926184338005567	True	0.8145272979243852	35.0	0.45232239581027317	35.0
VIM	35	13	2.207325315475464	0.0681653377210808	0.4005830284862711		13.0	0.1063273341515424	0.2800464282853357	0.8523256613716255	1.1172433987900148	0.3271531593236396	0.0769230769230769	0.2825354259266003	True	0.8145272979243852	36.0	0.40472666503957566	38.0
SPOCK1	152	29	1.364834997653961	0.0091636564452467	0.4082893331035166		29.0	0.3407708555725123	0.4006046729545314	0.5838428485753901	0.603509789054748	0.1141167474206405	0.0	0.2822690543728524	True	0.8145272979243852	37.0	0.4379996527736635	36.0
ITM2C	42	5	1.3448471593856812	0.0109802175311458	0.3256577499362055		5.0	0.3892984612756198	0.4030638314896126	0.4438152342544308	0.4870953609894035	0.0600836498798988	0.0	0.2666731930738556	True	0.8145272979243852	38.0	0.41110517046714423	37.0
GRID2	130	24	1.76516185760498	0.003092426279041	0.2926157027965682		24.0	0.3423885865129232	0.3586564980098552	0.4797429460974753	0.5299869011664872	0.0573510739625798	0.0	0.2568911711295382	True	0.8145272979243852	39.0	0.39733033034674403	39.0
SLC4A4	65	18	0.9806770801544192	0.0025956400938132	0.3963305126293637		18.0	0.3470621090864173	0.3543528028660049	0.4644322197566167	0.5350991560507028	0.0640425716043777	0.0	0.2549328985737211	True	0.8145272979243852	40.0	0.3940101533544971	40.0
VCAN	37	6	0.9746551120281216	0.0055693281151325	0.3595041156574618		6.0	0.341170987774103	0.3784098317679604	0.468166924328487	0.5310554731191846	0.1136368113088044	0.0	0.2535101261917629	True	0.8145272979243852	41.0	0.39196936239585656	41.0
EFNB3	47	10	1.87173590183258	0.0092105206145392	0.312237831543698		10.0	0.3339794194752966	0.368836946718906	0.4726407148423184	0.5268807598433479	0.0802957002853659	0.0	0.2517519465006982	True	0.8145272979243852	42.0	0.3894439376221053	42.0
OLIG1	49	10	1.541381890773773	0.0051580004927734	0.3031587503940112		10.0	0.343208849771761	0.3621314795795641	0.4489918836008267	0.4947323180091261	0.0649400020246338	0.0	0.2495315108089111	True	0.8145272979243852	43.0	0.3855220633033873	43.0
SALL1	41	15	1.1739035093784331	0.0021567766814332	0.4134209422329467		15.0	0.3151125444733638	0.3577920105005117	0.4696842989701048	0.4979222423588885	0.0678912051897342	0.0	0.2434660925318717	True	0.8145272979243852	44.0	0.37694124627206016	44.0
PTTG1IP	49	12	0.7828521251678476	0.005929641588187	0.3731432411753141		12.0	0.3121557452224525	0.345365452389939	0.4644607645474055	0.5171429429869838	0.0770094347178379	0.0	0.2409774892258324	True	0.8145272979243852	45.0	0.3730777529524337	45.0
ROPN1L	51	15	1.057153134346008	0.0004769515341552	0.4337838018496624		15.0	0.3516055271567814	0.3572864942733617	0.3863015902517346	0.3983371349999315	0.0223831488054592	0.0	0.2372176084256462	True	0.8145272979243852	46.0	0.3654839523947627	46.0
EBF1	128	64	1.2237755060195925	0.0049137470142497	0.3702070473792793		64.0	0.2294865378768491	0.2522644934900923	0.5466254294197355	0.5670290687294969	0.0822492378653054	0.0	0.2284509725056735	True	0.8145272979243852	47.0	0.35634209449400367	47.0
CYBA	40	6	1.0603401947021485	0.0023167871664942	0.3450228833467946		6.0	0.3442268257444849	0.3304993444805026	0.3559557320819637	0.3628533815127822	0.0388117949813986	0.0	0.2266796633182849	True	0.8145272979243852	48.0	0.3489183882794764	48.0
CRB2	53	24	0.862527196407318	0.000952720677454	0.3706683590076868		24.0	0.3270689256539978	0.3311154791478134	0.3566959085765613	0.3663156652604011	0.0110211130946604	0.0	0.2200015474057395	True	0.8145272979243852	49.0	0.3389197188230232	49.0
NES	54	9	1.192427937984467	0.0034783342734464	0.3367173662514618		9.0	0.3173992968012022	0.3310679893430943	0.3642244172948987	0.4117793687600875	0.0312515012633357	0.0	0.2180158230442055	True	0.8145272979243852	50.0	0.3361293449986808	50.0
CNN3	42	12	1.1961621284484865	0.0050700650757619	0.3650979439976509		12.0	0.3104628451351287	0.3131800488864281	0.3465194634477167	0.3799441550803489	0.0264356613979516	0.0	0.2108150039159806	True	0.8145272979243852	51.0	0.32488549246016385	51.0
GLUD1	28	15	1.0822136306762695	0.0059596737557826	0.3500984820916288		15.0	0.2826903120585965	0.2811019655414024	0.3341454957483512	0.3649252152237751	0.0394183416488015	0.0	0.1966124987605264	True	0.8145272979243852	52.0	0.30327238553449837	52.0
TENM3	120	27	1.26699209690094	0.0064602481005403	0.398254095745704		27.0	0.2464655833794134	0.2573497799428067	0.3865721643938976	0.4627443374998993	0.060959506003493	0.0	0.1952292744502397	True	0.8145272979243852	53.0	0.3025082157852071	53.0
ITGB5	57	25	0.7159409523010254	0.0021938272578761	0.2969837576381995		25.0	0.241864663357107	0.2539152786249913	0.3708454249415077	0.5690210884704785	0.0668821409443088	0.0	0.1894572215782197	True	0.8145272979243852	54.0	0.2934569679908673	54.0
MGST1	44	9	1.100351700782777	0.0045038008854692	0.3897067118842125		9.0	0.2844718123156915	0.278629317862145	0.3000581757138277	0.3029297219374787	0.0202967189175184	0.0	0.1888032688547335	True	0.8145272979243852	55.0	0.290706357674946	55.0
AQP4	41	17	1.0627386283874511	0.0023671517130094	0.3708248293994055		17.0	0.2601331973972633	0.2660511453944598	0.3243989559980827	0.3522664856817959	0.0318417302131874	0.0	0.185153017958426	True	0.8145272979243852	56.0	0.2858395008375911	56.0
ASCL1	38	14	1.0187572860717773	0.0014466505638635	0.3148826150272378		14.0	0.2354178095967077	0.2421564818354729	0.3566304456144695	0.3937617052915715	0.0843472016684819	0.0	0.1833247352423004	True	0.8145272979243852	57.0	0.28390286400381237	57.0
NTN1	83	52	1.876827341318131	0.0016956016428745	0.2430602173812708		52.0	0.2663464878187147	0.2657273091722769	0.299539243528623	0.3357887697534196	0.013213169927941	0.0	0.1814234060096416	True	0.8145272979243852	58.0	0.279623590102678	58.0
CTNNA1	98	7	1.15520570397377	0.0045062855824202	0.3297063972106637		7.0	0.2654966390135786	0.2620947840552109	0.2858066777278175	0.3113473573475356	0.0274133462299394	0.0	0.1776503250373858	True	0.8145272979243852	59.0	0.27362065449927414	59.0
MLC1	46	10	0.9665982031822206	0.0033273039345055	0.3747481563788808		10.0	0.2502384422452132	0.2521952207885008	0.2830685822405371	0.3023814676190911	0.0252238629654832	0.0	0.1708625224582196	True	0.8145272979243852	60.0	0.26337049824334274	60.0
SPON1	89	30	1.7041560745239257	0.0025629276254544	0.3343780650955404		30.0	0.2326021305353058	0.2394904201749504	0.302495039825677	0.3108015400264355	0.0278056632584992	0.0	0.1686646121705415	True	0.8145272979243852	61.0	0.2605592942514543	61.0
IFI27L2	37	13	1.2684091424942017	0.0084566290259842	0.3230840446924203		13.0	0.2425716327337448	0.2363706940261208	0.2849280360298042	0.2959498907001897	0.0382645706104515	0.0	0.168260662100949	True	0.8145272979243852	62.0	0.2595141940521686	62.0
NKAIN4	67	12	0.9930362522602078	0.0061313291484401	0.3470214412881348		12.0	0.2514975324827722	0.2562900964258652	0.2694111732556501	0.2763366369660496	0.0088426529946615	0.0	0.1679518063070214	True	0.8145272979243852	63.0	0.25866298879192334	63.0
NPY	32	6	1.9372572493553155	0.0063851131089772	0.311164729081082		6.0	0.2505760025086325	0.241857567470929	0.270753840443274	0.2796499142229424	0.0352625375241766	0.0	0.1679188611142715	True	0.8145272979243852	64.0	0.2586471376824891	64.0
CTNNA3	133	17	0.6193699324131012	0.0023705688024462	0.3010346743757834		17.0	0.1949405719581253	0.2126514626708299	0.3483388262512663	0.4671356744531716	0.0752097633143863	0.0	0.1650609353460667	True	0.8145272979243852	65.0	0.2562998736753817	65.0
