gene	n_links_raw	n_links_pass_filter	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank	absolute_divergence_score	absolute_rank	latent_mask_percent_total	absolute_rank_maskge5
VIM	35	13	2.207325315475464	0.0681653377210808	0.4005830284862711		13.0	0.1063273341515424	0.2800464282853357	0.8523256613716255	1.1172433987900148	0.3271531593236396	0.0769230769230769	0.2825354259266003	True	0.8145272979243852	36.0	0.4047266650395756	38.0	31.696195935383013	1
NEFM	45	29	1.97498089313507	0.0229986836844209	0.3834811704875052		29.0	0.2008960911172635	0.2181182324320085	0.3195220132204416	0.3245520725712586	0.0455178020081456	0.0	0.1602389397520158	True	0.8145272979243852	66.0	0.2483464599585347	66.0	13.001563314226159	2
CD99	17	7	1.3611591291427616	0.0081947579576082	0.3543165698676681		7.0	0.1863756857491245	0.186134232581397	0.2075904885710591	0.2108354619268312	0.022575213216566	0.0	0.1264478964424146	True	0.8145272979243852	77.0	0.1948616068778983	77.0	5.927566440854612	3
SLC1A3	43	29	1.1772898936271667	0.0080922912661876	0.3202433012361038		29.0	0.1167864303280512	0.1257252721203131	0.2440942842407847	0.2956185924281411	0.0495964248478891	0.0	0.1077381431914166	True	0.8145272979243852	81.0	0.1677095718931446	81.0	5.0937988535695675	4
HOXB8	77	7	1.2165324950218197	0.0114330533135335	0.3638280756054706		7.0	0.1427483876472126	0.155086494456314	0.1790251666219671	0.2019705494402062	0.0255862762851839	0.0	0.1018556467143768	True	0.8145272979243852	84.0	0.1572590992371144	84.0	5.4325169359041166	5
RBFOX1	466	60	1.4291415643692005	0.0166830489717905	0.2858055493214053		60.0	0.1348199921425189	0.1370960635692956	0.1730873648351078	0.1791828114988332	0.0171329543141475	0.0	0.0971998380657845	True	0.8145272979243852	85.0	0.1501269412195544	85.0	7.360604481500782	6
NFIB	96	38	1.3357167625427255	0.0129392586755727	0.3671847803460931		38.0	0.1297468590366125	0.1315300292841837	0.1489797925833885	0.1492545975498816	0.0097741864461124	0.0	0.0891436917604921	True	0.8145272979243852	89.0	0.1374400324553229	89.0	5.145909327774882	7
PTN	49	25	2.4223179149627687	0.0651049004959462	0.4414874366785223		25.0	0.1168641515939864	0.1075555116530112	0.1454160626849562	0.1537758187369882	0.0279087446971425	0.0	0.0830996763088336	True	0.8145272979243852	91.0	0.1282849160303743	91.0	25.80771235018239	8
NEFL	48	26	1.9754095494747148	0.0466636793112556	0.4074729940997745		26.0	0.0964225969998881	0.0982271167998465	0.1518404847172352	0.1713578154348125	0.0266444378052087	0.0	0.076529159979264	True	0.8145272979243852	93.0	0.1185897520868269	93.0	37.636789994788955	9
VSTM2L	80	8	1.3940481579303723	0.0136060560444599	0.302857329605847		8.0	0.0865743074173542	0.1125930456830345	0.1610175881674902	0.2918516265325429	0.0680021914797084	0.0	0.0748841200088142	True	0.8145272979243852	94.0	0.1163516197174086	94.0	10.904116727462219	10
CST3	23	7	1.7006043767929075	0.0218749581757897	0.3139091102092542		7.0	0.1039228942480069	0.0969055853269336	0.1208386042569739	0.1279408941289378	0.0251453507648192	0.0	0.0717788087634462	True	0.8145272979243852	96.0	0.1106891782515936	96.0	17.326732673267326	11
TTYH1	29	14	1.4816045761108398	0.0174053840531513	0.3543345711908755		14.0	0.0984968618077821	0.1015647336953073	0.1251266413951364	0.1327429057812068	0.014800335224452	0.0	0.0706804050718969	True	0.8145272979243852	97.0	0.1091487736427238	97.0	12.245961438249088	12
SPARCL1	27	15	1.848697571754456	0.0243279017846913	0.3469652618264053		15.0	0.0955997394536511	0.0966623894547504	0.1280392450429672	0.146221121163865	0.0211081952412086	0.0	0.0702497070422022	True	0.8145272979243852	98.0	0.1085755416893775	98.0	20.45336112558624	13
FABP7	28	11	1.7917594909667969	0.0329401975140474	0.3759153468290993		11.0	0.0965602612123552	0.0931526258227861	0.1237600563176982	0.1382239651109786	0.0245335798184793	0.0	0.0695641185643666	True	0.8145272979243852	99.0	0.1074401792544924	99.0	20.81813444502345	14
HOPX	30	19	1.497666742801667	0.0104390063150836	0.3127438916234837		19.0	0.0936099751176671	0.0935029061317727	0.1148106172497804	0.1158893413701019	0.0138515967981493	0.0	0.0661466443595119	True	0.8145272979243852	100.0	0.1020902319705124	100.0	7.907764460656592	15
HSPB1	46	7	1.2745694541931152	0.0181786194346323	0.3791856349974236		7.0	0.0979526027292664	0.0957979559163972	0.106357599135408	0.1162353823007384	0.0123406054394963	0.0	0.0657704408755586	True	0.8145272979243852	101.0	0.101314601291723	101.0	6.149035956227202	16
GPM6B	50	29	1.4730380964279206	0.0134303871478066	0.3462772337988555		29.0	0.0829685264042058	0.0875649607616399	0.1188651161280406	0.1228264081459133	0.0139072639038498	0.0	0.0629036895936925	True	0.8145272979243852	102.0	0.0973271622937397	102.0	9.210526315789473	17
PCP4	49	9	1.9889390850067137	0.0321639112707298	0.3752915434585258		9.0	0.056714890045177	0.0610693096721968	0.0766426276341271	0.0964152760022174	0.0142998091600095	0.0	0.0418466129266026	True	0.8145272979243852	103.0	0.064685985080757	103.0	27.136529442417928	18
CKB	37	9	1.435084581375122	0.0298296609134626	0.3304120610279938		9.0	0.051688429327702	0.0570238287026427	0.0718618667418804	0.0760567592965298	0.0116015521570314	0.0	0.0386408384165509	True	0.8145272979243852	104.0	0.0597578042933733	104.0	23.280354351224595	19
STMN2	42	5	2.119369320869445	0.1942189926614644	0.5164782888378157		5.0	0.0383609638698728	0.0391054167058974	0.0401872832727822	0.0419524147528776	0.0017475804945507	0.0	0.0253912063661446	True	0.8145272979243852	106.0	0.0390914916310365	106.0	72.52475247524752	20
