gene	n_links_raw	n_links_pass_filter	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank
CHD7	67	5	0.77923266351223	0.0015804581617250334	0.4172383638782885		5.0	2.0164329342669367	2.014907192867775	2.0227552653558196	2.0315300237151837	0.011538173620060517	1.0	1.6622619900457294	True	0.8145272979243852	1.0
PDLIM5	31	6	0.9002832674980163	0.002669099472559103	0.39337137870735334		6.0	1.834997207069256	1.8075163501496523	1.8541802106348666	1.8637619121734395	0.0861959291582275	1.0	1.5475439354864189	True	0.8145272979243852	2.0
LMX1B	76	7	0.6931471824645996	0.002336765373940258	0.4044036523696888		7.0	1.6336430495842076	1.6311992406229596	1.6649746367044578	1.6916361173455057	0.03519081973452945	1.0	1.4197008790097976	True	0.8145272979243852	3.0
FGFR3	47	21	0.6664903610944748	0.0032438531931308474	0.394069457394259		21.0	1.495351389289021	1.4681010579419127	1.57132211097911	1.6010633777173777	0.07700112567331283	1.0	1.3409710834603858	True	0.8145272979243852	4.0
GNAI2	57	12	1.1602158403396603	0.008461055760951382	0.40016822645509714		12.0	1.3137671011275647	1.375377287128509	1.6222964661247488	1.795944689515156	0.17527375795028724	1.0	1.281080956982213	True	0.8145272979243852	5.0
GLIS3	100	40	0.6826907896995544	0.0009845027711486542	0.38496897494748844		40.0	1.3245210236885119	1.3052520157496912	1.4324193536253456	1.4609909902305092	0.07896000639846255	1.0	1.2379132478817412	True	0.8145272979243852	6.0
NOTCH2	30	5	0.852181648015976	0.0014005516173661425	0.2608822760340939		5.0	1.1334218762306711	1.199662432597018	1.3010129290083527	1.427690427095682	0.1583921973935103	1.0	1.1286219827443567	True	0.8145272979243852	7.0
DRGX	49	20	1.2996694946289062	0.0018915497692038184	0.3685441416490864		20.0	0.9467013017519093	1.0602539167751368	1.5572464144267124	1.6392414986151922	0.27200130403343503	0.75	1.0304921243074419	True	0.8145272979243852	8.0
ADCY2	82	15	0.869340922832489	0.0023581990975173185	0.378008976269233		15.0	0.9764418707823918	0.9771029432393052	0.9981374820230885	1.0096052880320432	0.013225012349910907	1.0	0.9901111188187288	True	0.8145272979243852	9.0
MSI2	156	52	0.6292339611053467	0.004272552659369365	0.39042570438377994		52.0	0.546868837860413	0.6499510939410718	1.632406927217696	1.8880118570544844	0.33519641523032845	0.25	0.7143492669485891	True	0.8145272979243852	10.0
PSAT1	33	8	0.6911908084154129	0.002068652057468815	0.3456551401880498		8.0	0.7943530630200348	0.7985983413267366	0.8163453239574517	0.8193179065188102	0.01460424309374743	0.25	0.6093275561973769	True	0.8145272979243852	11.0
SULF2	64	24	2.0633009624481193	0.0031453812949686286	0.2668393048088393		24.0	0.5135381239417787	0.5771333064750416	1.1320037814141906	1.2322893301953357	0.22319179624954927	0.125	0.5321661949302592	True	0.8145272979243852	12.0
SPP1	28	5	1.4677719175815582	0.00407303993048718	0.26345996960127077		5.0	0.6823122444082125	0.5904411679345758	0.7489612458650035	0.8755386537826146	0.20851893030302565	0.2	0.5301652092295359	True	0.8145272979243852	13.0
COLEC12	61	5	0.8860987949371337	0.0007543237223636865	0.28730753360218464		5.0	0.6703686768420439	0.699091144703992	0.7424522752255394	0.8241231467998217	0.0722182816599877	0.2	0.5237605395432025	True	0.8145272979243852	14.0
GSN	44	7	0.8541339421272275	0.003336869349881697	0.37702816656012184		7.0	0.5698463536231293	0.6439605469531181	0.7663109462915935	0.8684685403268263	0.13050372527696855	0.2857142857142857	0.5195162780221501	True	0.8145272979243852	15.0
TFF3	47	6	1.7276260912418366	0.0010950768065874803	0.33561791495760146		6.0	0.7927683422193263	0.790197301900105	0.7976951155921478	0.7982294548928841	0.008137857990967447	0.0	0.5165311157857675	True	0.8145272979243852	16.0
CSMD1	266	16	1.0383048057556155	0.004803266001215752	0.2983907394375729		16.0	0.7042030647212292	0.705348486199415	0.8039195455998943	0.81196281682242	0.07256786224551309	0.0	0.4826611122884653	True	0.8145272979243852	17.0
THSD4	118	26	1.1480708944797515	0.002049698875642928	0.3326458112200133		26.0	0.718776300625253	0.7304343171361791	0.7786748125417423	0.7817560946484254	0.03265731809042327	0.0	0.48217922338553676	True	0.8145272979243852	18.0
ZFP36L1	46	13	0.8852793699502944	0.0028647530445664047	0.3392693273849593		13.0	0.7054989144607586	0.7022775314073615	0.7293228776444836	0.7381183088572348	0.020807362544649932	0.0	0.46453028519542433	True	0.8145272979243852	19.0
SV2C	73	5	0.435800404548645	0.0038250962510861307	0.36933721184344864		5.0	0.5600667587477458	0.6010927116562218	0.6782798280246398	0.898984165862691	0.15437731287343961	0.2	0.4635966605052583	True	0.8145272979243852	20.0
ARHGAP36	22	5	1.8177902126312255	0.0016357054863089294	0.33897061378127546		5.0	0.6553072298866004	0.6574178055470894	0.6646639849931539	0.6695478806007784	0.010443635356216011	0.0	0.42828888820292865	True	0.8145272979243852	21.0
LRIG1	67	26	1.2506570887565613	0.004528675617890787	0.36484024853083186		26.0	0.39472050221541854	0.457140884173386	0.9128622975081776	1.0325955819890396	0.1722098598370273	0.11538461538461539	0.4264883906478272	True	0.8145272979243852	22.0
NPAS3	149	36	1.2557933330535886	0.004912108458289098	0.33417705116979757		36.0	0.5743760161155043	0.5905533733738482	0.7534373508694658	0.7971183090570885	0.060317233351198075	0.0	0.41810974416356816	True	0.8145272979243852	23.0
TPPP3	50	9	1.2201689410209653	0.004000955958954196	0.3926029994451139		9.0	0.604178558480096	0.60323635115231	0.6209363370136455	0.6374845960254293	0.016421312931868444	0.0	0.3969055076454498	True	0.8145272979243852	24.0
AQP1	49	26	1.1408645772933959	0.000829493341479512	0.4110534676387896		26.0	0.5737252006040133	0.575572933208191	0.6021093292602954	0.6141277767276774	0.013317830674450078	0.0	0.3800174125566792	True	0.8145272979243852	25.0
EDNRB	27	15	1.0200284671783448	0.002533425083687228	0.3524096685356541		15.0	0.4536656754213286	0.5293896375742818	0.7920665596090598	0.7949394401407569	0.15192529455890091	0.0	0.3794829100707964	True	0.8145272979243852	26.0
RSPH1	50	12	1.2788090419769287	0.0010844240177924989	0.39698496006109774		12.0	0.5348907473386848	0.5346792625610717	0.5442486848159306	0.5450078853695971	0.007495141764555085	0.0	0.3500184701394566	True	0.8145272979243852	27.0
NOTCH1	70	31	1.2307552242279052	0.0034524821587662837	0.40791814937696985		31.0	0.4820465056398049	0.47423072855167825	0.6054141463737449	0.6173988519398409	0.06591792794314841	0.0	0.34417213884935816	True	0.8145272979243852	28.0
SLIT3	133	28	0.6695146238803863	0.00173571705180129	0.34591972253509473		28.0	0.4649848093285635	0.4423870554189659	0.6256793814631104	0.634925338341584	0.14933122129427637	0.0	0.342413769097203	True	0.8145272979243852	29.0
SOX6	102	37	0.9289134985208511	0.00136285838184582	0.32266453928772304		37.0	0.28028331820496577	0.3670347231537716	0.7913386456873606	0.8483359513412011	0.1750066132163351	0.02702702702702703	0.3194074481632859	True	0.8145272979243852	30.0
GATM	26	10	0.9433047854900359	0.002602583253132256	0.35231943302958296		10.0	0.4680960884008709	0.4793257801733383	0.5201660716740422	0.5415392930156806	0.03253290745407534	0.0	0.31727995327885894	True	0.8145272979243852	31.0
FAM181B	40	17	0.9161471205949784	0.0033327873759379694	0.2730601384783886		17.0	0.4440247570662116	0.4235055592013002	0.5213279778937349	0.544496775411236	0.07410279224966096	0.0	0.3079418972999184	True	0.8145272979243852	32.0
GRIA2	32	9	1.3970917677879335	0.005937488816882759	0.35276070725055375		9.0	0.41414495987692895	0.4177374728680733	0.5672089487862292	0.6304401887842991	0.12387087329066857	0.0	0.30746022114732885	True	0.8145272979243852	33.0
FLNC	40	13	0.6931471824645996	0.002132069247246091	0.4452326726768074		13.0	0.44180090923354226	0.44353521748443	0.48487823444918493	0.5092572012042219	0.029517065287742696	0.0	0.29793992230571315	True	0.8145272979243852	34.0
ADGRV1	86	25	1.0657559156417848	0.0025769137210597867	0.2922849445933583		25.0	0.39667745676543964	0.4091096866069346	0.5357898043775235	0.5952039532323361	0.0582780085102424	0.0	0.29261843380055674	True	0.8145272979243852	35.0
VIM	35	13	2.207325315475464	0.06816533772108087	0.4005830284862711		13.0	0.10632733415154247	0.2800464282853357	0.8523256613716255	1.1172433987900148	0.32715315932363964	0.07692307692307693	0.2825354259266003	True	0.8145272979243852	36.0
SPOCK1	152	29	1.3648349976539613	0.009163656445246735	0.4082893331035166		29.0	0.3407708555725123	0.4006046729545314	0.5838428485753901	0.603509789054748	0.11411674742064053	0.0	0.28226905437285243	True	0.8145272979243852	37.0
ITM2C	42	5	1.3448471593856812	0.01098021753114583	0.3256577499362055		5.0	0.3892984612756198	0.40306383148961267	0.44381523425443087	0.48709536098940354	0.060083649879898865	0.0	0.2666731930738556	True	0.8145272979243852	38.0
GRID2	130	24	1.7651618576049801	0.0030924262790410725	0.2926157027965682		24.0	0.34238858651292325	0.3586564980098552	0.47974294609747536	0.5299869011664872	0.057351073962579845	0.0	0.2568911711295382	True	0.8145272979243852	39.0
SLC4A4	65	18	0.9806770801544191	0.002595640093813294	0.39633051262936375		18.0	0.3470621090864173	0.3543528028660049	0.4644322197566167	0.5350991560507028	0.06404257160437772	0.0	0.2549328985737211	True	0.8145272979243852	40.0
VCAN	37	6	0.9746551120281217	0.005569328115132568	0.3595041156574618		6.0	0.341170987774103	0.37840983176796045	0.468166924328487	0.5310554731191846	0.11363681130880449	0.0	0.25351012619176294	True	0.8145272979243852	41.0
EFNB3	47	10	1.8717359018325799	0.00921052061453926	0.312237831543698		10.0	0.3339794194752966	0.36883694671890604	0.47264071484231845	0.5268807598433479	0.08029570028536595	0.0	0.25175194650069826	True	0.8145272979243852	42.0
OLIG1	49	10	1.541381890773773	0.005158000492773463	0.3031587503940112		10.0	0.343208849771761	0.3621314795795641	0.4489918836008267	0.49473231800912615	0.06494000202463386	0.0	0.24953151080891112	True	0.8145272979243852	43.0
SALL1	41	15	1.1739035093784331	0.0021567766814332675	0.41342094223294673		15.0	0.3151125444733638	0.3577920105005117	0.46968429897010483	0.4979222423588885	0.06789120518973427	0.0	0.24346609253187174	True	0.8145272979243852	44.0
PTTG1IP	49	12	0.7828521251678476	0.00592964158818704	0.3731432411753141		12.0	0.31215574522245254	0.34536545238993904	0.4644607645474055	0.5171429429869838	0.07700943471783794	0.0	0.2409774892258324	True	0.8145272979243852	45.0
ROPN1L	51	15	1.057153134346008	0.00047695153415522914	0.4337838018496624		15.0	0.35160552715678145	0.3572864942733617	0.3863015902517346	0.3983371349999315	0.02238314880545924	0.0	0.23721760842564624	True	0.8145272979243852	46.0
EBF1	128	64	1.2237755060195923	0.004913747014249743	0.3702070473792793		64.0	0.22948653787684914	0.2522644934900923	0.5466254294197355	0.5670290687294969	0.0822492378653054	0.0	0.22845097250567353	True	0.8145272979243852	47.0
CYBA	40	6	1.0603401947021485	0.002316787166494242	0.3450228833467946		6.0	0.3442268257444849	0.33049934448050267	0.35595573208196374	0.36285338151278224	0.03881179498139861	0.0	0.2266796633182849	True	0.8145272979243852	48.0
CRB2	53	24	0.862527196407318	0.0009527206774540927	0.3706683590076868		24.0	0.32706892565399787	0.3311154791478134	0.35669590857656136	0.3663156652604011	0.011021113094660442	0.0	0.22000154740573952	True	0.8145272979243852	49.0
NES	54	9	1.1924279379844667	0.003478334273446472	0.33671736625146187		9.0	0.3173992968012022	0.33106798934309434	0.36422441729489874	0.4117793687600875	0.031251501263335736	0.0	0.21801582304420558	True	0.8145272979243852	50.0
CNN3	42	12	1.1961621284484865	0.005070065075761934	0.36509794399765094		12.0	0.31046284513512873	0.3131800488864281	0.3465194634477167	0.37994415508034896	0.026435661397951685	0.0	0.21081500391598068	True	0.8145272979243852	51.0
GLUD1	28	15	1.0822136306762697	0.005959673755782689	0.3500984820916288		15.0	0.2826903120585965	0.2811019655414024	0.3341454957483512	0.3649252152237751	0.039418341648801515	0.0	0.1966124987605264	True	0.8145272979243852	52.0
TENM3	120	27	1.26699209690094	0.006460248100540324	0.39825409574570403		27.0	0.24646558337941343	0.2573497799428067	0.3865721643938976	0.4627443374998993	0.060959506003493036	0.0	0.19522927445023977	True	0.8145272979243852	53.0
ITGB5	57	25	0.7159409523010254	0.0021938272578761984	0.29698375763819956		25.0	0.24186466335710705	0.2539152786249913	0.3708454249415077	0.5690210884704785	0.06688214094430883	0.0	0.18945722157821976	True	0.8145272979243852	54.0
MGST1	44	9	1.100351700782777	0.004503800885469242	0.3897067118842125		9.0	0.2844718123156915	0.27862931786214507	0.30005817571382776	0.3029297219374787	0.020296718917518487	0.0	0.18880326885473356	True	0.8145272979243852	55.0
AQP4	41	17	1.0627386283874511	0.0023671517130094822	0.3708248293994055		17.0	0.26013319739726337	0.2660511453944598	0.32439895599808277	0.35226648568179597	0.031841730213187425	0.0	0.18515301795842604	True	0.8145272979243852	56.0
ASCL1	38	14	1.0187572860717773	0.0014466505638635442	0.31488261502723786		14.0	0.23541780959670772	0.24215648183547292	0.3566304456144695	0.3937617052915715	0.0843472016684819	0.0	0.18332473524230047	True	0.8145272979243852	57.0
NTN1	83	52	1.8768273413181307	0.0016956016428745554	0.24306021738127087		52.0	0.26634648781871473	0.26572730917227694	0.29953924352862304	0.33578876975341965	0.013213169927941039	0.0	0.18142340600964166	True	0.8145272979243852	58.0
CTNNA1	98	7	1.15520570397377	0.004506285582420235	0.3297063972106637		7.0	0.2654966390135786	0.26209478405521097	0.2858066777278175	0.31134735734753566	0.027413346229939423	0.0	0.17765032503738581	True	0.8145272979243852	59.0
MLC1	46	10	0.9665982031822206	0.003327303934505553	0.37474815637888087		10.0	0.25023844224521324	0.2521952207885008	0.28306858224053716	0.3023814676190911	0.02522386296548328	0.0	0.1708625224582196	True	0.8145272979243852	60.0
SPON1	89	30	1.7041560745239257	0.0025629276254544426	0.3343780650955404		30.0	0.2326021305353058	0.2394904201749504	0.302495039825677	0.3108015400264355	0.027805663258499213	0.0	0.16866461217054157	True	0.8145272979243852	61.0
IFI27L2	37	13	1.2684091424942017	0.008456629025984206	0.32308404469242036		13.0	0.24257163273374488	0.23637069402612082	0.28492803602980427	0.29594989070018973	0.03826457061045151	0.0	0.16826066210094903	True	0.8145272979243852	62.0
NKAIN4	67	12	0.9930362522602078	0.006131329148440123	0.34702144128813484		12.0	0.2514975324827722	0.25629009642586525	0.2694111732556501	0.27633663696604965	0.008842652994661526	0.0	0.1679518063070214	True	0.8145272979243852	63.0
NPY	32	6	1.9372572493553153	0.006385113108977218	0.31116472908108206		6.0	0.25057600250863254	0.24185756747092904	0.27075384044327405	0.27964991422294244	0.035262537524176615	0.0	0.16791886111427154	True	0.8145272979243852	64.0
CTNNA3	133	17	0.6193699324131012	0.0023705688024462097	0.3010346743757834		17.0	0.1949405719581253	0.21265146267082996	0.3483388262512663	0.4671356744531716	0.07520976331438638	0.0	0.1650609353460667	True	0.8145272979243852	65.0
NEFM	45	29	1.97498089313507	0.022998683684420967	0.38348117048750524		29.0	0.20089609111726356	0.21811823243200854	0.3195220132204416	0.3245520725712586	0.04551780200814567	0.0	0.16023893975201584	True	0.8145272979243852	66.0
MT2A	36	11	1.2548541021347046	0.003940283082322358	0.3001873938285921		11.0	0.23409522170355218	0.2314467952361474	0.25306928612510543	0.255070251977931	0.016621523934465417	0.0	0.15690541021269722	True	0.8145272979243852	67.0
ADGRG1	62	10	0.9839493632316589	0.006483721597453168	0.32431485030957535		10.0	0.23616665354679184	0.21205020059095997	0.24789989312455543	0.24922653045005708	0.04478573488542767	0.0	0.1564416346998556	True	0.8145272979243852	68.0
NTRK2	114	43	1.5009598636627197	0.006303939943732821	0.33076991555145985		43.0	0.11188459074548683	0.13994811508169394	0.4420903987618492	0.6663894133136202	0.09766645718414847	0.0	0.15527643598865704	True	0.8145272979243852	69.0
S100B	26	5	1.2877369308471684	0.009054245731265453	0.35959411688787973		5.0	0.22413781594883692	0.215921416550693	0.2390079770522191	0.25514599089015255	0.03007969905182365	0.0	0.14940712064258954	True	0.8145272979243852	70.0
PDGFRA	43	9	1.0164024591445924	0.0012314144596357976	0.37061278091085154		9.0	0.22593828109784722	0.21038747767386598	0.23340976605926225	0.23635754810258167	0.024101974885552768	0.0	0.14872775395395446	True	0.8145272979243852	71.0
MSX1	48	19	1.2953134703636167	0.0011517738622479955	0.4149840225322735		19.0	0.2219507459878986	0.21853284410231671	0.23653068994704043	0.24063096392787392	0.015364492886005459	0.0	0.14791297088191954	True	0.8145272979243852	72.0
BCAN	55	23	1.2865115690231321	0.0072739017200451435	0.34631386210009446		23.0	0.1713101452737916	0.19186712949466211	0.3124782290734111	0.4893782716651835	0.06704151421126851	0.0	0.1466436153778694	True	0.8145272979243852	73.0
GOLM1	36	9	1.1319883978366851	0.01383642475325748	0.36102717134700907		9.0	0.19940417461369894	0.2195784531903966	0.25651564871258636	0.26852331987921024	0.02787629416881246	0.0	0.14389058202362617	True	0.8145272979243852	74.0
DDR1	36	5	0.9932629817724183	0.005811395677631564	0.325716988533448		5.0	0.1873470616850315	0.2269210910042904	0.2667830770589645	0.3307328225064685	0.06726195957104214	0.0	0.14163459393875372	True	0.8145272979243852	75.0
MAFA	51	13	1.4908630132675187	0.006231034398312999	0.3812642492144903		13.0	0.18070563089209368	0.18508247299263417	0.22435096092293616	0.2574515658308222	0.026704737953323093	0.0	0.12836999258757154	True	0.8145272979243852	76.0
CD99	17	7	1.3611591291427616	0.008194757957608293	0.35431656986766813		7.0	0.18637568574912455	0.18613423258139708	0.2075904885710591	0.21083546192683122	0.022575213216566067	0.0	0.1264478964424146	True	0.8145272979243852	77.0
PDLIM3	42	9	0.6070473858714104	0.003707310325527236	0.3374188606664346		9.0	0.18028467980209986	0.180279328667736	0.19759540961670163	0.20464862952810434	0.019283636789535354	0.0	0.12151272432501535	True	0.8145272979243852	78.0
RGMA	51	13	1.3208380651474	0.013070244383393942	0.36132428409902206		13.0	0.16934711810489042	0.16910292092739398	0.21053518191677253	0.22143301811628388	0.028220361658272398	0.0	0.12037264272114931	True	0.8145272979243852	79.0
QKI	80	42	1.2937505102157594	0.0078164594985748	0.3006289807769907		42.0	0.13796273854778085	0.14902518771862758	0.2593402517636992	0.2857055198019757	0.04048599198323037	0.0	0.12002015836003714	True	0.8145272979243852	80.0
SLC1A3	43	29	1.1772898936271667	0.008092291266187658	0.3202433012361038		29.0	0.11678643032805125	0.1257252721203131	0.2440942842407847	0.29561859242814115	0.04959642484788917	0.0	0.10773814319141667	True	0.8145272979243852	81.0
PTPRZ1	41	14	1.4260694837570198	0.008730977084630701	0.32970322812070924		14.0	0.14309365876925872	0.1550849270125394	0.2017980333217638	0.2523120597141269	0.030809184427432478	0.0	0.10768697183814444	True	0.8145272979243852	82.0
AK1	52	7	1.493527870178223	0.01102515781465605	0.3317887978130516		7.0	0.15493492837142814	0.15586992476913597	0.16782861096915488	0.1695713883163439	0.01180193493993729	0.0	0.10393112409085997	True	0.8145272979243852	83.0
HOXB8	77	7	1.2165324950218197	0.011433053313533552	0.3638280756054706		7.0	0.14274838764721262	0.15508649445631403	0.17902516662196713	0.2019705494402062	0.02558627628518397	0.0	0.10185564671437683	True	0.8145272979243852	84.0
RBFOX1	466	60	1.4291415643692003	0.01668304897179054	0.28580554932140534		60.0	0.13481999214251894	0.13709606356929568	0.1730873648351078	0.17918281149883325	0.017132954314147544	0.0	0.09719983806578453	True	0.8145272979243852	85.0
ZIC1	52	17	1.2688530075550077	0.0077031169818555225	0.33541648044205385		17.0	0.1340919902416021	0.13695758953153186	0.17115663148551916	0.18864592785348716	0.022075787292473035	0.0	0.09642595396802063	True	0.8145272979243852	86.0
GFAP	57	24	1.5540192198753358	0.007015268482312873	0.3541250462858438		24.0	0.10600940400250458	0.1166387882724673	0.1971364524439091	0.3102424925284243	0.04214463232158624	0.0	0.09168787471197912	True	0.8145272979243852	87.0
METRN	47	11	1.2199774873256681	0.009877904726578911	0.30406181673805727		11.0	0.13375705406690602	0.13358131109879412	0.14915635902929442	0.1506058455742278	0.014441733286977327	0.0	0.09079191138408602	True	0.8145272979243852	88.0
NFIB	96	38	1.3357167625427255	0.012939258675572768	0.36718478034609314		38.0	0.12974685903661254	0.13153002928418372	0.14897979258338856	0.1492545975498816	0.00977418644611244	0.0	0.08914369176049217	True	0.8145272979243852	89.0
HES6	47	5	1.3628067159652726	0.012530922822749731	0.3636956246632733		5.0	0.13194813104441888	0.12821071085976343	0.13862323873577623	0.14500131979835781	0.013684916786766187	0.0	0.08743506210171162	True	0.8145272979243852	90.0
PTN	49	25	2.4223179149627687	0.06510490049594629	0.44148743667852236		25.0	0.11686415159398647	0.10755551165301126	0.1454160626849562	0.15377581873698823	0.027908744697142517	0.0	0.08309967630883364	True	0.8145272979243852	91.0
EBF3	83	21	1.3051891922950754	0.012143257231240661	0.3830883364280507		21.0	0.10749865706021998	0.1134068624336249	0.15143852486393836	0.16507641194045714	0.02091947136388571	0.0	0.08085909404007258	True	0.8145272979243852	92.0
NEFL	48	26	1.9754095494747148	0.046663679311255694	0.4074729940997745		26.0	0.09642259699988814	0.0982271167998465	0.1518404847172352	0.17135781543481257	0.02664443780520875	0.0	0.07652915997926407	True	0.8145272979243852	93.0
VSTM2L	80	8	1.3940481579303723	0.013606056044459983	0.30285732960584705		8.0	0.08657430741735422	0.1125930456830345	0.16101758816749023	0.2918516265325429	0.06800219147970848	0.0	0.07488412000881425	True	0.8145272979243852	94.0
CLU	31	13	1.1655331945419307	0.010227756524963433	0.35147850667465785		13.0	0.10082375898791271	0.10656336205805331	0.12789388986868142	0.12880219239299293	0.014701146441254398	0.0	0.07230297606233543	True	0.8145272979243852	95.0
CST3	23	7	1.7006043767929075	0.021874958175789758	0.31390911020925427		7.0	0.10392289424800698	0.09690558532693369	0.12083860425697397	0.1279408941289378	0.02514535076481925	0.0	0.07177880876344629	True	0.8145272979243852	96.0
