absolute_rank	gene	latent_mask_area	percent_total	percent_valid	mask_low_center	mask_high_center	absolute_divergence_score
1	CHD7	3	0.03908285565398645	0.03908285565398645	0.0015804581617250334	0.4172383638782885	2.0189618667024902
2	PDLIM5	6	0.0781657113079729	0.0781657113079729	0.002669099472559103	0.39337137870735334	1.8426704084955
3	LMX1B	6	0.0781657113079729	0.0781657113079729	0.002336765373940258	0.4044036523696888	1.6461756844323077
4	FGFR3	7	0.09119332985930172	0.09119332985930172	0.0032438531931308474	0.394069457394259	1.5257396779650565
5	GNAI2	53	0.6904637832204273	0.6904637832204273	0.008461055760951382	0.40016822645509714	1.4371788471264384
6	GLIS3	8	0.10422094841063052	0.10422094841063052	0.0009845027711486542	0.38496897494748844	1.3676803556632455
7	NOTCH2	7	0.09119332985930172	0.09119332985930172	0.0014005516173661425	0.2608822760340939	1.200458297341744
8	DRGX	21	0.2735799895779052	0.2735799895779052	0.0018915497692038184	0.3685441416490864	1.1909193468218304
9	ADCY2	5	0.06513809275664409	0.06513809275664409	0.0023581990975173185	0.378008976269233	0.9851201152786704
10	MSI2	7	0.09119332985930172	0.09119332985930172	0.004272552659369365	0.39042570438377994	0.9810840736033262
