gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	mean_core_concordance	complexity_rank
LPA	20	0	3	17	1	0.6734616224988427	0.0	0.933616049700798		1
TRHDE	20	0	10	10	1	0.3135641149177354	0.0	0.7518939088804427		2
SVIL	20	0	6	14	1	0.2841507491639918	0.0	0.5529318266598822		3
CSF1R	20	0	7	13	1	0.1839115517097355	0.0	0.3824333206200232		4
CCDC158	20	0	8	12	1	0.1719140942270964	0.0	0.37773387302627087		5
FLI1	20	0	8	12	1	0.16823233851231	0.0	0.36964422888199416		6
LILRB4	5	0	3	2	1	0.2156851571916853	0.0	0.29900311719209055		7
MFGE8	20	0	10	10	1	0.11570014108492947	0.0	0.2774368213696569		8
CSF1	20	0	7	13	1	0.12281074461594023	0.0	0.25537776411901936		9
AFAP1L2	20	0	8	12	1	0.1136884767749328	0.0	0.24979911532980031		10
PRKCH	20	0	9	11	1	0.1076360902277948	0.0	0.2478412568266824		11
RCSD1	20	0	9	11	1	0.10752449673649868	0.0	0.24758430331714879		12
TCF7L2	20	0	7	13	1	0.11278366029082472	0.0	0.23452702843144743		13
MYH11	20	0	7	13	1	0.10446088264244414	0.0	0.21722029884724045		14
NEFL	20	0	11	9	2	0.08621990820589656	0.0	0.21424842324494334		15
ESAM	20	0	5	15	2	0.06687583113406775	0.7219280948873623	0.20633072910701936		16
AGR2	20	0	6	14	1	0.10094721217983649	0.0	0.19643420469958395		17
NEFM	20	0	7	13	2	0.052606210358516696	0.7219280948873623	0.18836436463953213		18
KCNQ5	20	0	4	16	1	0.11284454332919479	0.0	0.18161628624531864		19
MSX1	20	0	10	10	1	0.06907720275212668	0.0	0.16563989793745917		20
TMEM26	20	0	2	18	1	0.12370077220758562	0.0	0.13589918846498814		21
PLEKHF2	20	0	2	18	1	0.11143607802749814	0.0	0.12242504472198779		22
SLC25A18	20	0	6	14	1	0.06272452171071202	0.0	0.12205628339151486		23
SPP1	20	0	6	14	2	0.06236087699154569	0.0	0.12134866344183873		24
IGFBP7	20	0	4	16	1	0.07469875271853181	0.0	0.12022300463674492		25
GALNTL6	20	0	3	17	1	0.08633324310466006	0.0	0.11968328809318292		26
CTSS	20	0	3	17	1	0.0855639959033195	0.0	0.11861688503565725		27
APOE	20	0	6	14	1	0.05957262531912131	0.0	0.11592297621434768		28
LUZP2	20	0	8	12	1	0.04872816103111963	0.0	0.10706671302597306		29
SYK	20	0	3	17	1	0.0767675143496794	0.0	0.10642237226015085		30
PIEZO2	20	0	5	15	1	0.058069290828495775	0.0	0.10404620171331515		31
IL34	20	0	4	16	1	0.06279760364027129	0.0	0.10106884410866228		32
SLC18A3	20	0	7	13	1	0.04763324664856723	0.0	0.09905055184611251		33
DENND2D	17	0	4	13	1	0.0615009607295669	0.0	0.09898197784928574		34
NSUN2	20	0	3	17	2	0.03572624417531101	0.9182958340544894	0.09500761203931697		35
ITGA11	20	0	3	17	1	0.06542551071253398	0.0	0.09069901657417485		36
CCDC170	20	0	2	18	1	0.08228920726293626	0.0	0.09040393432381885		37
NTRK2	20	0	8	12	1	0.04030800731313	0.0	0.08856574433185731		38
AKR1D1	20	0	6	14	1	0.04453775340093353	0.0	0.08666646635899934		39
PTH2R	20	0	6	14	1	0.04411467595428043	0.0	0.08584319566172068		40
VIM	20	2	6	12	1	0.04192642263302217	0.0	0.08158505131518022	0.39891479874837854	41
CD86	16	0	3	13	1	0.05836885297481983	0.0	0.08091641174402868		42
CLDN9	20	0	4	16	1	0.04966237056225065	0.0	0.0799285020042374		43
SLC5A7	20	0	4	16	1	0.04717102536137619	0.0	0.0759188365849893		44
EGFR	20	0	5	15	1	0.04136943185392842	0.0	0.07412407126086097		45
BCAM	20	0	3	17	1	0.05169746135844752	0.0	0.07166789916542923		46
PTN	20	16	3	1	1	0.05122472392262038	0.0	0.0710125459238518	0.42544196172242577	47
ADHFE1	20	0	4	16	1	0.04410182215438906	0.0	0.07097914458269988		48
KLHL1	20	0	8	12	1	0.03171382160174287	0.0	0.06968238826460574		49
CCL2	20	0	3	17	2	0.026092887701287613	0.9182958340544894	0.06938940851281963		50
SPON1	20	0	4	16	1	0.041265156330935554	0.0	0.06641370706152772		51
CD93	20	0	3	17	1	0.04727603243709002	0.0	0.06553849718365894		52
SLC7A7	20	0	2	18	1	0.05586196824820615	0.0	0.06137064478666704		53
RERGL	20	0	2	18	2	0.027224262088790488	1.0	0.059817817761333145		54
NRK	12	0	2	10	1	0.053220885221840736	0.0	0.05846911851850923		55
MAFA	20	0	5	15	1	0.03174118988680757	0.0	0.05687257754425323		56
ATF6B	20	0	2	18	1	0.05112613437136313	0.0	0.056167799492476564		57
PROSER2	20	0	4	16	1	0.03485294843927554	0.0	0.05609365657828096		58
CMTM8	20	0	4	16	1	0.03448391951831847	0.0	0.05549972744210801		59
EMCN	20	0	2	18	2	0.024565148769778448	1.0	0.053975148622877805		60
PAX6	20	0	4	16	1	0.03037995857041622	0.0	0.048894657101405135		61
ETV3	20	0	2	18	1	0.04434765463146974	0.0	0.04872087835174187		62
LPAR6	20	0	2	18	1	0.04397249668895429	0.0	0.04830872522590295		63
LMOD2	12	0	2	10	1	0.04377340626991409	0.0	0.048090002044989304		64
DERL3	20	0	3	17	1	0.03451321511418117	0.0	0.04784547549690714		65
KIF9	20	0	3	17	1	0.0343072678294402	0.0	0.047559971937382775		66
KLHL6	20	0	3	17	1	0.03415054137583437	0.0	0.0473427029385107		67
TINCR	20	0	3	17	1	0.03408811018209262	0.0	0.04725615492666852		68
ARHGEF39	20	0	3	17	1	0.033930807023564234	0.0	0.047038086445014275		69
TAF4B	20	0	2	18	1	0.0413275952874335	0.0	0.04540300404387671		70
ZNF296	20	0	2	18	1	0.04043058139624622	0.0	0.044417533559912355		71
CGAS	20	0	3	17	1	0.031814796398952794	0.0	0.04410467284804566		72
STK32A	20	0	4	16	1	0.027361745635765444	0.0	0.04403703077657919		73
NSUN3	20	0	2	18	1	0.038847299152156886	0.0	0.0426781202301258		74
LRCH1	20	0	3	17	1	0.030101489230054915	0.0	0.04172952478093624		75
CETN2	15	0	4	11	1	0.02488142678011273	0.0	0.04004511157536655		76
LRRK2	20	0	3	17	1	0.02878277776771561	0.0	0.0399014025167511		77
CXorf58	20	0	3	17	1	0.028391036642145012	0.0	0.039358334003353826		78
FABP7	20	0	3	17	1	0.02833279477788685	0.0	0.039277593635351625		79
FOXP3	20	0	3	17	1	0.02820646821349798	0.0	0.039102467831479686		80
EPAS1	20	0	2	18	1	0.03486886651218704	0.0	0.03830736524221662		81
SHANK3	20	0	2	18	1	0.03450431525234949	0.0	0.03790686474830964		82
FLT4	20	0	2	18	1	0.03359197036118107	0.0	0.036904551439368445		83
ERGIC2	20	0	2	18	1	0.033199583178171815	0.0	0.036473470058198613		84
MECOM	20	0	2	18	2	0.01650606423456246	1.0	0.03626753001127099		85
CLDN16	20	0	3	17	1	0.026156782470873736	0.0	0.03626100004441186		86
S100Z	20	0	3	17	1	0.025560963535685884	0.0	0.03543501961431248		87
COL4A1	20	0	3	17	1	0.02469777327253711	0.0	0.03423838381993574		88
BRCA2	20	0	1	19	1	0.04911187039976156	0.0	0.03404175449962016		89
HCRTR1	20	0	2	18	1	0.030805205012344492	0.0	0.03384297678150211		90
RTTN	20	0	2	18	1	0.03076775980536027	0.0	0.033801839016957526		91
STK3	20	0	2	18	1	0.030077373703212472	0.0	0.03304337236121228		92
SAMSN1	20	0	1	19	1	0.047602242585252114	0.0	0.032995360236298066		93
DAPL1	20	0	3	17	1	0.023433608783522828	0.0	0.03248587971728723		94
PAPPA	20	0	3	17	1	0.023393811653415746	0.0	0.032430709180231033		95
OPRM1	20	0	2	18	1	0.029293384458773164	0.0	0.032182072143087624		96
HLA-E	20	0	3	17	1	0.023161819164344705	0.0	0.03210909930080968		97
SHROOM4	20	0	2	18	1	0.029124029815479548	0.0	0.03199601705082225		98
SMOC1	20	0	3	17	1	0.02284099173578652	0.0	0.031664338045706876		99
DNAJC1	17	0	2	15	1	0.028424719631028418	0.0	0.03122774628859348		100
