gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
TRHDE	20	0	10	10	1	0.3178014678220298	0.0	0.7620546373788287	1
TCF7L2	20	0	7	13	1	0.115723858138848	0.0	0.2406409979773848	2
GALNTL6	20	0	3	17	1	0.0874999085520174	0.0	0.1213006298241678	3
VIM	20	2	6	12	1	0.0427028378669668	0.0	0.0830958855987943	4
SLC5A7	20	0	4	16	1	0.0508062019207662	0.0	0.0817694275580634	5
PTN	20	16	3	1	1	0.0517421453763842	0.0	0.071729844367527	6
KLHL1	20	0	8	12	1	0.0321734422046679	0.0	0.0706922779496027	7
STK3	20	0	2	18	1	0.0322257575391568	0.0	0.0354036132441567	8
TNC	20	0	3	17	1	0.0210507626526555	0.0	0.0291825535626496	9
KANK1	20	0	3	17	1	0.0193260596032276	0.0	0.0267916074506214	10
CD99	17	0	2	15	1	0.0217936886561059	0.0	0.0239428141730047	11
TTYH1	20	0	2	18	1	0.0197514065493924	0.0	0.0216991379536423	12
AQP4	20	0	2	18	1	0.0185977021077528	0.0	0.020431664076566	13
BMPR1B	20	0	2	18	1	0.0179518195580638	0.0	0.0197220895704414	14
SHROOM3	20	0	2	18	1	0.0179050939377515	0.0	0.0196707562297707	15
RBFOX1	20	0	2	18	1	0.0149295805971222	0.0	0.0164018207086594	16
DLGAP1	20	0	2	18	1	0.0107939700734915	0.0	0.0118583881662536	17
OLFM3	20	0	1	19	1	0.0135324742214904	0.0	0.0093799963526262	18
ATP13A4	20	0	1	19	1	0.008277334711933	0.0	0.0057374112181273	19
ARHGAP31	20	0	1	19	1	0.007478062839709	0.0	0.0051833981733944	20
NOTCH2	20	0	1	19	1	0.007260880788296	0.0	0.0050328590467893	21
SPARCL1	20	6	1	13	1	0.0072196059718112	0.0	0.0050042495241147	22
TRPM3	20	0	1	19	1	0.006590411205512	0.0	0.0045681249458313	23
ADAMTS3	20	0	1	19	1	0.0064151648981429	0.0	0.0044466534619749	24
COL4A5	16	0	1	15	1	0.0057258652666941	0.0	0.0039688673658751	25
SPOCK1	20	0	1	19	1	0.0056858255015216	0.0	0.0039411139155355	26
SLC1A3	20	0	0	20	0	0.0	0.0	0.0	27
SLC4A4	20	0	0	20	0	0.0	0.0	0.0	28
EBF3	20	0	0	20	0	0.0	0.0	0.0	29
EDNRB	20	0	0	20	0	0.0	0.0	0.0	30
NFIB	20	0	0	20	0	0.0	0.0	0.0	31
PAX3	20	0	0	20	0	0.0	0.0	0.0	32
SOX6	20	0	0	20	0	0.0	0.0	0.0	33
SALL3	20	0	0	20	0	0.0	0.0	0.0	34
PTPRZ1	20	0	0	20	0	0.0	0.0	0.0	35
ADGRV1	20	0	0	20	0	0.0	0.0	0.0	36
QKI	20	0	0	20	0	0.0	0.0	0.0	37
LRIG1	20	0	0	20	0	0.0	0.0	0.0	38
GPM6B	20	0	0	20	0	0.0	0.0	0.0	39
ARHGEF26	20	0	0	20	0	0.0	0.0	0.0	40
DSCAM	20	0	0	20	0	0.0	0.0	0.0	41
PAX2	20	0	0	20	0	0.0	0.0	0.0	42
RIMS2	20	0	0	20	0	0.0	0.0	0.0	43
CDH20	20	0	0	20	0	0.0	0.0	0.0	44
EBF1	20	0	0	20	0	0.0	0.0	0.0	45
SCN9A	20	0	0	20	0	0.0	0.0	0.0	46
NRXN3	20	0	0	20	0	0.0	0.0	0.0	47
RFTN2	20	0	0	20	0	0.0	0.0	0.0	48
CHD7	20	0	0	20	0	0.0	0.0	0.0	49
SLC15A2	17	0	0	17	0	0.0	0.0	0.0	50
GLIS3	20	0	0	20	0	0.0	0.0	0.0	51
PDLIM5	20	0	0	20	0	0.0	0.0	0.0	52
MEIS2	20	0	0	20	0	0.0	0.0	0.0	53
GAD2	20	0	0	20	0	0.0	0.0	0.0	54
PLPP3	20	0	0	20	0	0.0	0.0	0.0	55
GLI3	20	0	0	20	0	0.0	0.0	0.0	56
TCF4	20	0	0	20	0	0.0	0.0	0.0	57
MEGF10	20	0	0	20	0	0.0	0.0	0.0	58
CNTN1	20	0	0	20	0	0.0	0.0	0.0	59
STK33	20	0	0	20	0	0.0	0.0	0.0	60
ATP8A2	20	0	0	20	0	0.0	0.0	0.0	61
RGS20	20	0	0	20	0	0.0	0.0	0.0	62
HOPX	20	0	0	20	0	0.0	0.0	0.0	63
CCSER1	20	0	0	20	0	0.0	0.0	0.0	64
RALYL	20	0	0	20	0	0.0	0.0	0.0	65
RUNX1T1	20	0	0	20	0	0.0	0.0	0.0	66
TCF7L1	20	0	0	20	0	0.0	0.0	0.0	67
ELAVL4	20	0	0	20	0	0.0	0.0	0.0	68
OPHN1	20	0	0	20	0	0.0	0.0	0.0	69
PTPN13	20	0	0	20	0	0.0	0.0	0.0	70
CTNNA3	20	0	0	20	0	0.0	0.0	0.0	71
FNDC3B	20	0	0	20	0	0.0	0.0	0.0	72
AASS	20	0	0	20	0	0.0	0.0	0.0	73
ADAMTS6	20	0	0	20	0	0.0	0.0	0.0	74
CALCRL	20	0	0	20	0	0.0	0.0	0.0	75
CA10	20	0	0	20	0	0.0	0.0	0.0	76
ITGB5	20	0	0	20	0	0.0	0.0	0.0	77
ANK3	20	0	0	20	0	0.0	0.0	0.0	78
SCN2A	20	0	0	20	0	0.0	0.0	0.0	79
MYT1L	20	0	0	20	0	0.0	0.0	0.0	80
GABRB1	20	0	0	20	0	0.0	0.0	0.0	81
DSCAML1	20	0	0	20	0	0.0	0.0	0.0	82
NXPH1	20	0	0	20	0	0.0	0.0	0.0	83
EEPD1	20	0	0	20	0	0.0	0.0	0.0	84
LMX1B	20	0	0	20	0	0.0	0.0	0.0	85
CECR2	20	0	0	20	0	0.0	0.0	0.0	86
HS3ST5	20	0	0	20	0	0.0	0.0	0.0	87
ERC2	20	0	0	20	0	0.0	0.0	0.0	88
RGMA	20	0	0	20	0	0.0	0.0	0.0	89
GRIA2	20	0	0	20	0	0.0	0.0	0.0	90
CHSY3	20	0	0	20	0	0.0	0.0	0.0	91
GRID2	20	0	0	20	0	0.0	0.0	0.0	92
SPOCK3	20	0	0	20	0	0.0	0.0	0.0	93
PHYHIPL	20	0	0	20	0	0.0	0.0	0.0	94
SLC4A10	20	0	0	20	0	0.0	0.0	0.0	95
FSTL5	20	0	0	20	0	0.0	0.0	0.0	96
CTNNA2	20	0	0	20	0	0.0	0.0	0.0	97
MSI2	20	0	0	20	0	0.0	0.0	0.0	98
KCNC2	20	0	0	20	0	0.0	0.0	0.0	99
GRM5	20	0	0	20	0	0.0	0.0	0.0	100
HECW1	20	0	0	20	0	0.0	0.0	0.0	101
FGFR3	20	0	0	20	0	0.0	0.0	0.0	102
CHRM2	20	0	0	20	0	0.0	0.0	0.0	103
PPFIA2	20	0	0	20	0	0.0	0.0	0.0	104
KCNJ3	20	0	0	20	0	0.0	0.0	0.0	105
NOVA1	20	0	0	20	0	0.0	0.0	0.0	106
CACHD1	20	0	0	20	0	0.0	0.0	0.0	107
ZEB2	20	0	0	20	0	0.0	0.0	0.0	108
SAMD5	20	0	0	20	0	0.0	0.0	0.0	109
ZFHX3	20	0	0	20	0	0.0	0.0	0.0	110
CACNA2D1	20	0	0	20	0	0.0	0.0	0.0	111
TANC1	20	0	0	20	0	0.0	0.0	0.0	112
BCAN	20	0	0	20	0	0.0	0.0	0.0	113
PTPRN2	20	0	0	20	0	0.0	0.0	0.0	114
PLCB1	20	0	0	20	0	0.0	0.0	0.0	115
RIMS1	20	0	0	20	0	0.0	0.0	0.0	116
SH3GL3	20	0	0	20	0	0.0	0.0	0.0	117
CDK6	20	0	0	20	0	0.0	0.0	0.0	118
FLRT2	20	0	0	20	0	0.0	0.0	0.0	119
TMEM132C	20	0	0	20	0	0.0	0.0	0.0	120
PCLO	20	0	0	20	0	0.0	0.0	0.0	121
XKR4	20	0	0	20	0	0.0	0.0	0.0	122
GRIK2	20	0	0	20	0	0.0	0.0	0.0	123
ETV1	20	0	0	20	0	0.0	0.0	0.0	124
CDH8	20	0	0	20	0	0.0	0.0	0.0	125
AGBL4	20	0	0	20	0	0.0	0.0	0.0	126
MTUS2	20	0	0	20	0	0.0	0.0	0.0	127
LHX1	20	0	0	20	0	0.0	0.0	0.0	128
RREB1	20	0	0	20	0	0.0	0.0	0.0	129
DTHD1	20	0	0	20	0	0.0	0.0	0.0	130
DNAH14	20	0	0	20	0	0.0	0.0	0.0	131
SSTR2	20	0	0	20	0	0.0	0.0	0.0	132
IFI44L	20	0	0	20	0	0.0	0.0	0.0	133
AFF1	20	0	0	20	0	0.0	0.0	0.0	134
FRMPD4	20	0	0	20	0	0.0	0.0	0.0	135
ANTXR2	20	0	0	20	0	0.0	0.0	0.0	136
PCDH15	20	0	0	20	0	0.0	0.0	0.0	137
FGF14	20	0	0	20	0	0.0	0.0	0.0	138
BCL11A	20	0	0	20	0	0.0	0.0	0.0	139
TAFA2	20	0	0	20	0	0.0	0.0	0.0	140
FAM181B	20	0	0	20	0	0.0	0.0	0.0	141
DTNA	20	0	0	20	0	0.0	0.0	0.0	142
TEAD1	20	0	0	20	0	0.0	0.0	0.0	143
PDGFRA	20	0	0	20	0	0.0	0.0	0.0	144
EDIL3	20	0	0	20	0	0.0	0.0	0.0	145
NCKAP5	20	0	0	20	0	0.0	0.0	0.0	146
PTPRR	20	0	0	20	0	0.0	0.0	0.0	147
PREX1	20	0	0	20	0	0.0	0.0	0.0	148
DAB1	20	0	0	20	0	0.0	0.0	0.0	149
VCAN	20	0	0	20	0	0.0	0.0	0.0	150
ROBO1	20	0	0	20	0	0.0	0.0	0.0	151
DAAM2	20	0	0	20	0	0.0	0.0	0.0	152
GRIN2A	20	0	0	20	0	0.0	0.0	0.0	153
LPAR1	20	0	0	20	0	0.0	0.0	0.0	154
CSMD1	20	0	0	20	0	0.0	0.0	0.0	155
TFPI	20	0	0	20	0	0.0	0.0	0.0	156
RTN1	20	0	0	20	0	0.0	0.0	0.0	157
KCNQ3	20	0	0	20	0	0.0	0.0	0.0	158
RCAN2	20	0	0	20	0	0.0	0.0	0.0	159
GPR149	20	0	0	20	0	0.0	0.0	0.0	160
PLPPR4	20	0	0	20	0	0.0	0.0	0.0	161
CDH18	20	0	0	20	0	0.0	0.0	0.0	162
DOK6	20	0	0	20	0	0.0	0.0	0.0	163
NFIX	20	0	0	20	0	0.0	0.0	0.0	164
SLC17A6	20	0	0	20	0	0.0	0.0	0.0	165
PTCH1	20	0	0	20	0	0.0	0.0	0.0	166
PDE4D	20	0	0	20	0	0.0	0.0	0.0	167
NRG3	20	0	0	20	0	0.0	0.0	0.0	168
BMP7	20	0	0	20	0	0.0	0.0	0.0	169
ARHGAP42	20	0	0	20	0	0.0	0.0	0.0	170
CNTNAP2	20	0	0	20	0	0.0	0.0	0.0	171
SYBU	20	0	0	20	0	0.0	0.0	0.0	172
PDLIM3	20	0	0	20	0	0.0	0.0	0.0	173
NPAS3	20	0	0	20	0	0.0	0.0	0.0	174
CALN1	20	0	0	20	0	0.0	0.0	0.0	175
