gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
LPA	20	0	3	17	1	0.7215660241059043	0.0	1.0003029103937142	1
TRHDE	20	0	10	10	1	0.3178014678220298	0.0	0.7620546373788287	2
SVIL	20	0	6	14	1	0.2936009385473904	0.0	0.5713210460915324	3
CSF1R	20	0	7	13	1	0.1899791694318144	0.0	0.3950505769703469	4
CCDC158	20	0	8	12	1	0.1758212327322587	0.0	0.3863187337768702	5
FLI1	20	0	8	12	1	0.1716656515431718	0.0	0.3771879886550925	6
LILRB4	5	0	3	2	1	0.2193408378220485	0.0	0.3040709666360183	7
MFGE8	20	0	10	10	1	0.117842736290203	0.0	0.282574540283903	8
CSF1	20	0	7	13	1	0.1264228253399412	0.0	0.262888874828408	9
AFAP1L2	20	0	8	12	1	0.1186011124739466	0.0	0.2605932792271729	10
RCSD1	20	0	9	11	1	0.1113410429694933	0.0	0.2563722257799649	11
PRKCH	20	0	9	11	1	0.1099991561331904	0.0	0.2532824171542088	12
TCF7L2	20	0	7	13	1	0.115723858138848	0.0	0.2406409979773848	13
MYH11	20	0	7	13	1	0.1080889421417932	0.0	0.224764636485873	14
NEFL	20	0	11	9	2	0.0871371412719173	0.0	0.2165276617901039	15
ESAM	20	0	5	15	2	0.0700421357205702	0.7219280948873623	0.2160996683909027	16
AGR2	20	0	6	14	1	0.1048934155147029	0.0	0.2041131618191366	17
NEFM	20	0	7	13	2	0.053444774402008	0.7219280948873623	0.1913669679858921	18
KCNQ5	20	0	4	16	1	0.1151474931930577	0.0	0.1853227410666546	19
UTP15	20	0	1	19	1	0.244474955189114	0.0	0.1694571259068533	20
MSX1	20	0	10	10	1	0.0697749522748749	0.0	0.1673130282196546	21
TMEM26	20	0	2	18	1	0.1374453024528705	0.0	0.1509990982944287	22
PLEKHF2	20	0	2	18	1	0.1238178644749985	0.0	0.1360278274688759	23
SLC25A18	20	0	6	14	1	0.0644886814379248	0.0	0.125489179709253	24
CTSS	20	0	3	17	1	0.0895624729691407	0.0	0.1241599512450724	25
SPP1	20	0	6	14	2	0.0637781696504447	0.0	0.124106587610972	26
IGFBP7	20	0	4	16	1	0.0762232170597269	0.0	0.1226765353436182	27
GALNTL6	20	0	3	17	1	0.0874999085520174	0.0	0.1213006298241678	28
APOE	20	0	6	14	1	0.0611004304709525	0.0	0.1188959477650751	29
SYK	20	0	3	17	1	0.0809798074670867	0.0	0.1122618504561967	30
IBSP	20	0	1	19	1	0.1591911724943008	0.0	0.1103429123844565	31
LUZP2	20	0	8	12	1	0.0498927848547246	0.0	0.1096256531145494	32
IL34	20	0	4	16	1	0.066102740673969	0.0	0.1063882569564853	33
PIEZO2	20	0	5	15	1	0.0591446480660582	0.0	0.1059729832265205	34
DENND2D	17	0	4	13	1	0.0651953647309891	0.0	0.104927891713023	35
SLC18A3	20	0	7	13	1	0.0486459613161595	0.0	0.1011564327957724	36
NSUN2	20	0	3	17	2	0.0376065728161153	0.9182958340544894	0.1000080126729611	37
CCDC170	20	0	2	18	1	0.0881670077817132	0.0	0.0968613582040869	38
KLHL6	20	0	5	15	1	0.0532871695625294	0.0	0.0954777906520231	39
ITGA11	20	0	3	17	1	0.0688689586447728	0.0	0.0954726490254475	40
PTH2R	20	0	6	14	1	0.0464365010045053	0.0	0.0903612585912842	41
NTRK2	20	0	8	12	1	0.0410019808961815	0.0	0.0900905601445601	42
