gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	consensus_rank
VIM	4	1	4.5	0.0940714112169749	1	9	6	1
SPARCL1	4	3	11.0	0.012313535009180903	1	12	1	2
PTN	3	1	2.0	0.11897018928275167	1	19	3	3
MAFA	3	4	4.0	0.10041308935824884	1	11	5	4
EGFR	3	3	5.0	0.08944637135649906	1	8	5	5
FABP7	3	5	6.0	0.054699320380295645	1	3	3	6
TTYH1	3	7	8.0	0.04257446112930896	1	10	2	7
SPON1	3	5	10.0	0.04620403303641054	1	8	3	8
NEFL	2	1	1.0	0.5039498712048623	2	12	8	9
MSX1	2	2	2.5	0.22159345994305968	1	7	7	10
NEFM	2	2	2.5	0.19894342609168003	2	7	5	11
NTRK2	2	6	6.0	0.07554655670025233	1	12	4	12
CD99	2	12	12.0	0.017572380345352613	1	5	1	13
KCNIP4	2	14	14.5	0.006994352031155697	1	4	1	14
GALNTL6	1	7	7.0	0.030122786370043772	1	3	1	15
AQP4	1	9	9.0	0.03975818248867848	1	5	2	16
ROPN1L	1	14	14.0	0.012799001415496147	1	1	2	17
