gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
NEFL	20	6	8	6	2	0.0871371412719171	0.0	0.1914598684014745	0.25	0.3981296039185806	1
NEFM	20	3	5	12	2	0.0475581740442389	0.7219280948873623	0.14673032931545224	0.25	0.2361533549042295	2
MSX1	20	3	7	10	1	0.06977495227487471	0.0	0.14509293432910242	0.25	0.2335180693355686	3
MAFA	20	8	5	7	1	0.0321190611949831	0.0	0.05754963203882634	0.25	0.13251292483989408	4
EGFR	20	3	5	12	1	0.0418930955482819	0.0	0.07506235064390976	0.25	0.12080819292273057	5
NTRK2	20	4	4	12	1	0.0329865138299996	0.0	0.053089745957033134	0.25	0.09512405503742596	6
VIM	20	8	3	9	1	0.023751996791164298	0.0	0.0329272592169288	0.25	0.07581781622605106	7
FABP7	20	2	3	15	1	0.028911015079475997	0.0	0.0400791771789297	0.25	0.05556153732147524	8
TTYH1	20	8	2	10	1	0.0197514065493924	0.0	0.021699137953642277	0.25	0.04996411158287803	9
SPON1	20	6	1	13	1	0.0230921066031473	0.0	0.016006228585161247	0.25	0.03328401664560756	10
PTN	20	19	1	0	1	0.0146167804408992	0.0	0.010131580151473035	0.25	0.03084582310075293	11
CD99	17	2	1	14	1	0.0152161044758456	0.0	0.010546999916537942	0.25	0.014621246511028505	12
SPARCL1	20	12	1	7	1	0.0072196059718112	0.0	0.005004249524114677	0.25	0.013206501385838506	13
ROPN1L	20	1	2	17	1	0.0106044263933739	0.0	0.011650153150037009	0.25	0.012799001415496147	14
KCNIP4	20	1	1	18	1	0.0069822969740922	0.0	0.004839759461424246	0.25	0.005317019218518429	15
