gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
TCAF1	19	0	0	19	0	0.0	0.0	0.0
PSMG1	20	0	0	20	0	0.0	0.0	0.0
ENPP1	20	0	0	20	0	0.0	0.0	0.0
NBEAL1	20	0	0	20	0	0.0	0.0	0.0
TINAG	17	0	0	17	0	0.0	0.0	0.0
KCNG2	20	0	0	20	0	0.0	0.0	0.0
RPLP0	20	0	0	20	0	0.0	0.0	0.0
CNOT2	13	0	0	13	0	0.0	0.0	0.0
PLAT	20	0	0	20	0	0.0	0.0	0.0
CRLS1	20	0	0	20	0	0.0	0.0	0.0
CDC42BPB	20	0	0	20	0	0.0	0.0	0.0
SNRK	20	0	0	20	0	0.0	0.0	0.0
CDK19	20	0	0	20	0	0.0	0.0	0.0
NELFA	20	0	0	20	0	0.0	0.0	0.0
ALPK3	20	0	0	20	0	0.0	0.0	0.0
FRMD6	20	0	0	20	0	0.0	0.0	0.0
KIF2C	20	0	0	20	0	0.0	0.0	0.0
TMEM255B	20	0	0	20	0	0.0	0.0	0.0
NEMP1	20	0	0	20	0	0.0	0.0	0.0
SLC6A6	20	0	0	20	0	0.0	0.0	0.0
UGDH	15	0	0	15	0	0.0	0.0	0.0
CEP295	20	0	0	20	0	0.0	0.0	0.0
PHLDB1	20	0	0	20	0	0.0	0.0	0.0
TMEM67	20	0	0	20	0	0.0	0.0	0.0
ANP32A	20	0	0	20	0	0.0	0.0	0.0
ZRANB3	20	0	0	20	0	0.0	0.0	0.0
PPIP5K1	18	0	0	18	0	0.0	0.0	0.0
PSME4	20	0	0	20	0	0.0	0.0	0.0
MKI67	20	0	0	20	0	0.0	0.0	0.0
MIA2	20	0	0	20	0	0.0	0.0	0.0
PLEKHH1	20	0	0	20	0	0.0	0.0	0.0
LAMP2	20	0	0	20	0	0.0	0.0	0.0
PPP3R1	20	0	0	20	0	0.0	0.0	0.0
KCNA4	20	0	0	20	0	0.0	0.0	0.0
TLE1	20	0	0	20	0	0.0	0.0	0.0
MLLT11	20	0	0	20	0	0.0	0.0	0.0
RPS18	20	0	0	20	0	0.0	0.0	0.0
TMEM241	20	0	0	20	0	0.0	0.0	0.0
SLC19A1	20	0	0	20	0	0.0	0.0	0.0
SUCLA2	20	0	0	20	0	0.0	0.0	0.0
CSF1	20	0	7	13	1	0.12642282533994126	0.0	0.26288887482840806
RPL7A	20	0	0	20	0	0.0	0.0	0.0
MFSD9	20	0	0	20	0	0.0	0.0	0.0
CYBA	20	0	0	20	0	0.0	0.0	0.0
TMED8	20	0	0	20	0	0.0	0.0	0.0
VAV1	20	0	0	20	0	0.0	0.0	0.0
POU3F4	7	0	0	7	0	0.0	0.0	0.0
FAM111B	20	0	0	20	0	0.0	0.0	0.0
PIGK	20	0	0	20	0	0.0	0.0	0.0
NCAPG	20	0	0	20	0	0.0	0.0	0.0
RADIL	20	0	0	20	0	0.0	0.0	0.0
MAPRE3	20	0	0	20	0	0.0	0.0	0.0
DAP	20	0	0	20	0	0.0	0.0	0.0
VLDLR	20	0	0	20	0	0.0	0.0	0.0
TROAP	20	0	0	20	0	0.0	0.0	0.0
STIL	20	0	0	20	0	0.0	0.0	0.0
CCZ1	20	0	0	20	0	0.0	0.0	0.0
CDH24	20	0	0	20	0	0.0	0.0	0.0
CD34	20	0	0	20	0	0.0	0.0	0.0
SLC25A4	20	0	0	20	0	0.0	0.0	0.0
TBCB	20	0	0	20	0	0.0	0.0	0.0
SPRR2F	19	0	0	19	0	0.0	0.0	0.0
TMEM245	20	0	0	20	0	0.0	0.0	0.0
SERPINB7	14	0	0	14	0	0.0	0.0	0.0
CNST	20	0	0	20	0	0.0	0.0	0.0
DCBLD2	20	0	0	20	0	0.0	0.0	0.0
FYN	20	0	0	20	0	0.0	0.0	0.0
PCOLCE2	20	0	0	20	0	0.0	0.0	0.0
DENND4A	20	0	0	20	0	0.0	0.0	0.0
RGL3	20	0	0	20	0	0.0	0.0	0.0
RPL13	20	0	0	20	0	0.0	0.0	0.0
CBR4	20	0	0	20	0	0.0	0.0	0.0
C18orf54	15	0	0	15	0	0.0	0.0	0.0
CYP2C8	10	0	0	10	0	0.0	0.0	0.0
RDH13	20	0	0	20	0	0.0	0.0	0.0
PEAR1	20	0	0	20	0	0.0	0.0	0.0
ANKRD12	20	0	0	20	0	0.0	0.0	0.0
BEX2	20	0	0	20	0	0.0	0.0	0.0
KCTD3	20	0	0	20	0	0.0	0.0	0.0
ABAT	20	0	0	20	0	0.0	0.0	0.0
CARMIL3	20	0	0	20	0	0.0	0.0	0.0
ADGRA1	20	0	0	20	0	0.0	0.0	0.0
PDP1	20	0	0	20	0	0.0	0.0	0.0
PLAAT1	20	0	0	20	0	0.0	0.0	0.0
CHEK2	20	0	0	20	0	0.0	0.0	0.0
GOLPH3	20	0	0	20	0	0.0	0.0	0.0
GBF1	20	0	0	20	0	0.0	0.0	0.0
CDC25C	20	0	0	20	0	0.0	0.0	0.0
KIAA0408	18	0	0	18	0	0.0	0.0	0.0
ITGA7	20	0	0	20	0	0.0	0.0	0.0
MARCKS	20	0	0	20	0	0.0	0.0	0.0
GDPD5	20	0	0	20	0	0.0	0.0	0.0
NPR3	20	0	0	20	0	0.0	0.0	0.0
AP1AR	20	0	0	20	0	0.0	0.0	0.0
MZT2A	20	0	0	20	0	0.0	0.0	0.0
PFKFB4	20	0	0	20	0	0.0	0.0	0.0
ACYP1	20	0	0	20	0	0.0	0.0	0.0
TMEM25	20	0	0	20	0	0.0	0.0	0.0
IGF1R	20	0	0	20	0	0.0	0.0	0.0
MAGEE1	4	0	0	4	0	0.0	0.0	0.0
FAH	20	0	0	20	0	0.0	0.0	0.0
TMEM44	20	0	0	20	0	0.0	0.0	0.0
EFEMP2	20	0	0	20	0	0.0	0.0	0.0
UBE2F	20	0	0	20	0	0.0	0.0	0.0
STARD8	19	0	0	19	0	0.0	0.0	0.0
TUBB2A	20	0	0	20	0	0.0	0.0	0.0
ZNF83	19	0	0	19	0	0.0	0.0	0.0
THAP9	20	0	0	20	0	0.0	0.0	0.0
TTC8	20	0	0	20	0	0.0	0.0	0.0
MYLIP	20	0	0	20	0	0.0	0.0	0.0
C7orf57	20	0	0	20	0	0.0	0.0	0.0
AK4	20	0	0	20	0	0.0	0.0	0.0
BIVM	20	0	0	20	0	0.0	0.0	0.0
ST7L	20	0	0	20	0	0.0	0.0	0.0
GRTP1	20	0	0	20	0	0.0	0.0	0.0
WIPF3	20	0	0	20	0	0.0	0.0	0.0
PRR5	20	0	0	20	0	0.0	0.0	0.0
INO80	20	0	0	20	0	0.0	0.0	0.0
ZNF577	20	0	0	20	0	0.0	0.0	0.0
UBE2B	20	0	0	20	0	0.0	0.0	0.0
NHLRC3	17	0	0	17	0	0.0	0.0	0.0
AFAP1	20	0	1	19	1	0.008792888545178507	0.0	0.006094765904068321
TMPRSS11D	13	0	0	13	0	0.0	0.0	0.0
CPNE5	20	0	0	20	0	0.0	0.0	0.0
RAPGEF1	20	0	0	20	0	0.0	0.0	0.0
PKNOX1	20	0	0	20	0	0.0	0.0	0.0
PSTK	17	0	0	17	0	0.0	0.0	0.0
SMARCC1	20	0	0	20	0	0.0	0.0	0.0
DCUN1D4	17	0	0	17	0	0.0	0.0	0.0
MRPS6	20	0	0	20	0	0.0	0.0	0.0
SLC35D1	20	0	0	20	0	0.0	0.0	0.0
CDK5R2	20	0	0	20	0	0.0	0.0	0.0
MORF4L2	20	0	0	20	0	0.0	0.0	0.0
EDN1	20	0	0	20	0	0.0	0.0	0.0
TM9SF2	20	0	0	20	0	0.0	0.0	0.0
TCEAL2	8	0	0	8	0	0.0	0.0	0.0
PRKRA	20	0	0	20	0	0.0	0.0	0.0
CUL1	20	0	0	20	0	0.0	0.0	0.0
PSMD14	20	0	0	20	0	0.0	0.0	0.0
IL3RA	8	0	0	8	0	0.0	0.0	0.0
UBLCP1	20	0	0	20	0	0.0	0.0	0.0
LTN1	20	0	0	20	0	0.0	0.0	0.0
SLC12A7	20	0	0	20	0	0.0	0.0	0.0
TMEM114	20	0	0	20	0	0.0	0.0	0.0
ARG2	20	0	0	20	0	0.0	0.0	0.0
ZNF277	20	0	0	20	0	0.0	0.0	0.0
SLC38A5	15	0	0	15	0	0.0	0.0	0.0
FOLH1	11	0	0	11	0	0.0	0.0	0.0
FIP1L1	20	0	0	20	0	0.0	0.0	0.0
COL14A1	20	0	0	20	0	0.0	0.0	0.0
GOT2	20	0	0	20	0	0.0	0.0	0.0
PTPN3	20	0	0	20	0	0.0	0.0	0.0
ASNS	15	0	0	15	0	0.0	0.0	0.0
HOXB9	20	0	0	20	0	0.0	0.0	0.0
PAQR8	20	0	0	20	0	0.0	0.0	0.0
DNAJA4	20	0	0	20	0	0.0	0.0	0.0
AHR	20	0	0	20	0	0.0	0.0	0.0
MMD	20	0	0	20	0	0.0	0.0	0.0
UBR5	20	0	0	20	0	0.0	0.0	0.0
KCNS2	20	0	0	20	0	0.0	0.0	0.0
SHOX	20	0	0	20	0	0.0	0.0	0.0
DHRSX	11	0	0	11	0	0.0	0.0	0.0
PILRB	20	0	0	20	0	0.0	0.0	0.0
MYOM3	20	0	0	20	0	0.0	0.0	0.0
RASGEF1A	20	0	0	20	0	0.0	0.0	0.0
TDRD3	20	0	0	20	0	0.0	0.0	0.0
RYBP	20	0	0	20	0	0.0	0.0	0.0
UTP23	20	0	0	20	0	0.0	0.0	0.0
EXD2	20	0	0	20	0	0.0	0.0	0.0
HOMER2	20	0	0	20	0	0.0	0.0	0.0
PSMD1	20	0	0	20	0	0.0	0.0	0.0
CEMIP2	20	0	0	20	0	0.0	0.0	0.0
TRRAP	20	0	0	20	0	0.0	0.0	0.0
ZNF706	20	0	0	20	0	0.0	0.0	0.0
C2orf80	20	0	0	20	0	0.0	0.0	0.0
DNAJC15	20	0	0	20	0	0.0	0.0	0.0
CDO1	20	0	0	20	0	0.0	0.0	0.0
NCOR1	20	0	0	20	0	0.0	0.0	0.0
DCP1B	20	0	0	20	0	0.0	0.0	0.0
LRRC63	20	0	0	20	0	0.0	0.0	0.0
HEATR4	20	0	0	20	0	0.0	0.0	0.0
VPS35L	20	0	0	20	0	0.0	0.0	0.0
RAB15	20	0	0	20	0	0.0	0.0	0.0
TRAPPC8	20	0	0	20	0	0.0	0.0	0.0
ATG4A	20	0	1	19	1	0.029849922603900653	0.0	0.020690389692826317
ZBTB8OS	20	0	0	20	0	0.0	0.0	0.0
