gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
NEFL	0.25197493560243117	2	20	0	11	2	0.0871371412719171	0.0	20	0.01	0.83006936	0.6218082334549244	1	False	True	True
MSX1	0.11079672997152984	2	20	0	10	1	0.06977495227487471	0.0	20	0.0111111111111111	0.016516304	0.02840020844189682	2	False	False	True
NEFM	0.09947171304584002	2	20	0	7	2	0.0534447744020078	0.7219280948873623	20	0.0153846153846153	0.4176013	0.4050286607608129	3	False	True	False
VIM	0.0940714112169749	4	20	2	6	1	0.0427028378669666	0.0	11	0.0181818181818181	1.055963	0.7351485148514851	4	True	True	False
PTN	0.08922764196206376	3	20	16	3	1	0.0517421453763841	0.0	20	0.0105263157894736	1.0757043	0.6594580510682647	5	True	True	False
MAFA	0.07530981701868664	3	20	0	5	1	0.0321190611949831	0.0	19	0.0117647058823529	0.12126059	0.16141219385096403	6	False	True	False
EGFR	0.0670847785173743	3	20	0	5	1	0.0418930955482819	0.0	19	0.0117647058823529	0.015864048	0.03478374153204794	7	False	False	False
FABP7	0.04102449028522173	3	20	0	3	1	0.028911015079475997	0.0	12	0.025	0.5142194	0.5308754559666493	8	False	True	False
NTRK2	0.037773278350126165	2	20	0	8	1	0.0410019808961813	0.0	20	0.0125	0.106343135	0.1783480979676915	9	False	True	False
SPON1	0.0346530247773079	3	20	0	4	1	0.0417564081920177	0.0	19	0.0117647058823529	0.045935865	0.07803543512245961	10	False	False	False
TTYH1	0.03193084584698173	3	20	0	2	1	0.0197514065493924	0.0	16	0.0153846153846153	0.28896642	0.3899166232412715	11	False	True	False
SPARCL1	0.012313535009180903	4	20	6	1	1	0.0072196059718112	0.0	15	0.0142857142857142	0.49537966	0.4794163626889005	12	False	True	False
AQP4	0.00993954562216962	1	20	0	2	1	0.0185977021077527	0.0	19	0.0117647058823529	0.033883743	0.0627931214174049	13	False	False	False
CD99	0.008786190172676307	2	17	0	2	1	0.0217936886561058	0.0	9	0.0242857142857142	0.13373747	0.22342365815528922	14	False	True	False
GALNTL6	0.007530696592510943	1	20	0	3	1	0.08749990855201731	0.0	20	0.0117647058823529	0.048319962	0.0781657113079729	15	False	False	False
KCNIP4	0.0034971760155778483	2	20	0	1	1	0.0069822969740922	0.0	19	0.0117647058823529	0.06492893	0.1199843668577384	16	False	True	False
ROPN1L	0.0031997503538740367	1	20	0	2	1	0.0106044263933739	0.0	18	0.0133333333333333	0.0076514096	0.01641479937467431	17	False	False	False
A1CF	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00030484624	0.000781657113079729	18	False	False	False
A2M	0.0	0	15	0	0	0	0.0	0.0	0	1.0	0.01810954	0.038952579468473164	19	False	False	False
A2ML1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0034041698	0.006644085461177697	20	False	False	False
A3GALT2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.001197413	0.0032569046378322043	21	False	False	False
A4GALT	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0028878334	0.0070349140177175615	22	False	False	False
A4GNT	0.0	0	18	0	0	0	0.0	0.0	0	1.0	0.0001642596	0.0005211047420531526	23	False	False	False
AAAS	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.03999237	0.07985930171964564	24	False	False	False
AACS	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.022037672	0.04650859822824388	25	False	False	False
AADAT	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.016596772	0.03764981761334028	26	False	False	False
AAGAB	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.019007545	0.040906722251172485	27	False	False	False
AAMDC	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.018808672	0.039734236581552895	28	False	False	False
AAMP	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.050418243	0.10943199583116206	29	False	False	False
AANAT	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0009960193	0.0020844189682126106	30	False	False	False
AAR2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.012957612	0.030224075039082855	31	False	False	False
AARD	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.011711272	0.023840541948931735	32	False	False	False
AARSD1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.047434933	0.09445023449713393	33	False	False	False
AASDH	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.009359136	0.016023970818134444	34	False	False	False
AASDHPPT	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.11788543	0.21000521104742054	35	False	False	False
AASS	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0048300195	0.013027618551328817	36	False	False	False
AATK	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.017612144	0.03882230328295987	37	False	False	False
ABAT	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.082022995	0.16010943199583116	38	False	False	False
ABCA1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0057564005	0.0121156852527358	39	False	False	False
ABCA10	0.0	0	14	0	0	0	0.0	0.0	0	1.0	0.0015820272	0.004038561750911933	40	False	False	False
ABCA12	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00058986904	0.0013027618551328818	41	False	False	False
ABCA13	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0005949942	0.0014330380406461698	42	False	False	False
ABCA2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.03381713	0.07243355914538822	43	False	False	False
ABCA3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.087234095	0.1641479937467431	44	False	False	False
ABCA4	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00035100148	0.0009119332985930171	45	False	False	False
ABCA5	0.0	0	17	0	0	0	0.0	0.0	0	1.0	0.02294947	0.046117769671704015	46	False	False	False
ABCA6	0.0	0	11	0	0	0	0.0	0.0	0	1.0	0.0004135417	0.0013027618551328818	47	False	False	False
ABCA8	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0009704422	0.0024752475247524753	48	False	False	False
ABCA9	0.0	0	15	0	0	0	0.0	0.0	0	1.0	0.0017285921	0.0032569046378322043	49	False	False	False
ABCB1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.003768808	0.008858780614903595	50	False	False	False
ABCB10	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.007424815	0.016023970818134444	51	False	False	False
