gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	mean_core_concordance	complexity_rank
NEFL	20	12	6	2	2	0.06826761444736756	0.7219280948873623	0.22874548056681956	0.2554736339779938	1
MSX1	20	7	5	8	1	0.05266562651249282	0.0	0.09436413500658711	0.23853658069408182	2
NEFM	20	7	3	10	2	0.02717534040206166	0.9182958340544894	0.07226799954918503	0.24009209958791636	3
FABP7	20	3	3	14	1	0.028188239702489466	0.0	0.03907719774945697	0.2726285076080313	4
MAFA	20	11	3	6	1	0.018234942076761004	0.0	0.025278997376361606	0.27468292535811006	5
TTYH1	20	10	2	8	1	0.01944753875632531	0.0	0.021365305062048316	0.2737546230981421	6
NTRK2	20	12	2	6	1	0.01895761213480026	0.0	0.020827065655095244	0.24216877388598634	7
AQP4	20	5	2	13	1	0.018378905612367165	0.0	0.020191291558017858	0.2308926866913104	8
EGFR	20	8	2	10	1	0.016982980592528688	0.0	0.018657711177164034	0.25867950161368536	9
SPON1	20	8	1	11	1	0.022820434760757343	0.0	0.015817920013571123	0.2651240003397494	10
VIM	20	9	2	9	1	0.01356045876988678	0.0	0.014897686644574856	0.3135656875476554	11
CD99	17	5	1	11	1	0.014846570510003381	0.0	0.010290858489993273	0.254983394749984	12
SPARCL1	20	12	1	7	1	0.007116468743642563	0.0	0.004932760245198819	0.343600051330315	13
KCNIP4	20	4	1	15	1	0.0068353012483213915	0.0	0.004737869788551847	0.22297931929146694	14
PTN	20	20	0	0	0	0.0	0.0	0.0	0.39526601671041667	15
GALNTL6	20	9	0	11	0	0.0	0.0	0.0	0.26537355481651315	16
ROPN1L	20	4	0	16	0	0.0	0.0	0.0	0.22278830704567845	17
