gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank	rna_mean	rna_detected_fraction	passes_expression_filter	passes_stability_filter	priority_score	priority_eligible	priority_rank
NEFL	2	1	1.0	0.4989103724928104	2	12	8	6	6	9	0.8300693035125732	0.6218082334549244	True	True	0.3741827793696078	True	1.0
NEFM	2	2	2.5	0.1954607556195975	2	7	5	3	3	11	0.4176013171672821	0.4050286607608129	True	True	0.14659556671469812	True	2.0
VIM	4	1	4.5	0.092361021922121	1	9	6	2	2	1	1.0559630393981934	0.7351485148514851	True	True	0.092361021922121	True	3.0
PTN	3	1	2.0	0.1177178715008276	1	19	3	16	1	3	1.0757044553756714	0.6594580510682647	True	True	0.08828840362562071	True	4.0
MAFA	3	4	4.0	0.0992317588952123	1	11	5	4	3	4	0.12126059830188751	0.16141219385096403	True	True	0.07442381917140922	True	5.0
FABP7	3	5	6.0	0.0533318373707888	1	3	3	1	3	6	0.5142194032669067	0.5308754559666493	True	True	0.0399988780280916	True	6.0
NTRK2	2	6	6.0	0.0742363736030581	1	12	4	4	2	12	0.10634313523769379	0.1783480979676915	True	True	0.03711818680152905	True	7.0
TTYH1	3	7	8.0	0.0419194694196281	1	10	2	1	2	7	0.28896641731262207	0.3899166232412715	True	True	0.03143960206472107	True	8.0
SPARCL1	4	3	11.0	0.0121376273661926	1	12	1	6	1	2	0.49537965655326843	0.4794163626889005	True	True	0.0121376273661926	True	9.0
CD99	2	12	12.0	0.017145622536965	1	5	1	2	1	13	0.1337374895811081	0.22342365815528922	True	True	0.0085728112684825	True	10.0
KCNIP4	2	14	14.5	0.0068471025147097	1	4	1	1	1	14	0.06492893397808075	0.1199843668577384	True	True	0.00342355125735485	True	11.0
MSX1	2	2	2.5	0.2191313103881378	1	7	7	3	5	10	0.01651630364358425	0.02840020844189682	False	True	0.1095656551940689	False	
EGFR	3	3	5.0	0.088394061105246	1	8	5	2	2	5	0.015864048153162003	0.03478374153204794	False	True	0.0662955458289345	False	
SPON1	3	5	10.0	0.0456604561771586	1	8	3	2	1	8	0.04593586549162865	0.07803543512245961	False	True	0.03424534213286895	False	
AQP4	1	9	9.0	0.0392904391652816	1	5	2	5	2	16	0.03388373926281929	0.0627931214174049	False	False	0.0098226097913204	False	
GALNTL6	1	7	7.0	0.0297684006480439	1	3	1	3	1	15	0.04831996187567711	0.0781657113079729	False	False	0.007442100162010975	False	
ROPN1L	1	14	14.0	0.01262834806329	1	1	2	1	2	17	0.007651410065591335	0.01641479937467431	False	False	0.0031570870158225	False	
