gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank
VIM	4	1	4.5	0.09236102192212106	1	9	6	2	2	1
SPARCL1	4	3	11.0	0.012137627366192661	1	12	1	6	1	2
PTN	3	1	2.0	0.11771787150082769	1	19	3	16	1	3
MAFA	3	4	4.0	0.09923175889521231	1	11	5	4	3	4
EGFR	3	3	5.0	0.088394061105246	1	8	5	2	2	5
FABP7	3	5	6.0	0.05333183737078883	1	3	3	1	3	6
TTYH1	3	7	8.0	0.0419194694196281	1	10	2	1	2	7
SPON1	3	5	10.0	0.045660456177158644	1	8	3	2	1	8
NEFL	2	1	1.0	0.49891037249281045	2	12	8	6	6	9
MSX1	2	2	2.5	0.21913131038813788	1	7	7	3	5	10
NEFM	2	2	2.5	0.19546075561959758	2	7	5	3	3	11
NTRK2	2	6	6.0	0.07423637360305813	1	12	4	4	2	12
CD99	2	12	12.0	0.01714562253696509	1	5	1	2	1	13
KCNIP4	2	14	14.5	0.0068471025147097755	1	4	1	1	1	14
GALNTL6	1	7	7.0	0.02976840064804395	1	3	1	3	1	15
AQP4	1	9	9.0	0.039290439165281674	1	5	2	5	2	16
ROPN1L	1	14	14.0	0.012628348063290079	1	1	2	1	2	17
