gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
NEFL	20	12	6	2	2	0.0682676144473674	0.7219280948873623	0.22874548056681904	0.2	0.6036724371062284	1
MSX1	20	7	5	8	1	0.0526656265124926	0.0	0.09436413500658672	0.2	0.20733919665554545	2
NEFM	20	7	3	10	2	0.027175340402061602	0.9182958340544894	0.07226799954918486	0.2	0.15878902476439183	3
MAFA	20	11	3	6	1	0.0182349420767609	0.0	0.025278997376361464	0.2	0.06483934807777021	4
FABP7	20	3	3	14	1	0.0281882397024894	0.0	0.03907719774945688	0.2	0.0628923235696604	5
NTRK2	20	12	2	6	1	0.0189576121348002	0.0	0.020827065655095178	0.2	0.054963820271457145	6
TTYH1	20	10	2	8	1	0.0194475387563252	0.0	0.021365305062048194	0.2	0.053090788623432784	7
EGFR	20	8	2	10	1	0.0169829805925286	0.0	0.018657711177163937	0.2	0.04296096762592607	8
AQP4	20	5	2	13	1	0.0183789056123671	0.0	0.020191291558017785	0.2	0.039290439165281674	9
SPON1	20	8	1	11	1	0.0228204347607573	0.0	0.01581792001357109	0.2	0.03642210682542097	10
VIM	20	9	2	9	1	0.0135604587698867	0.0	0.014897686644574769	0.2	0.03572309238065726	11
CD99	17	5	1	11	1	0.0148465705100033	0.0	0.010290858489993216	0.2	0.020025085978169835	12
SPARCL1	20	12	1	7	1	0.0071164687436425	0.0	0.004932760245198775	0.2	0.013017837080326587	13
KCNIP4	20	4	1	15	1	0.0068353012483213	0.0	0.004737869788551784	0.2	0.008489123057607182	14
