gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank	rna_mean	rna_detected_fraction	passes_expression_filter	passes_stability_filter	priority_score	priority_eligible	priority_rank
NEFL	2	1	1.0	0.4989103724928104	2	12	8	6	6	9	0.8300693035125732	0.6218082334549244	True	True	0.3741827793696078	True	1
NEFM	2	2	2.5	0.1954607556195975	2	7	5	3	3	11	0.4176013171672821	0.4050286607608129	True	True	0.14659556671469812	True	2
VIM	4	1	4.5	0.092361021922121	1	9	6	2	2	1	1.0559630393981934	0.7351485148514851	True	True	0.092361021922121	True	3
PTN	3	1	2.0	0.1177178715008276	1	19	3	16	1	3	1.0757044553756714	0.6594580510682647	True	True	0.08828840362562071	True	4
MAFA	3	4	4.0	0.0992317588952123	1	11	5	4	3	4	0.12126059830188751	0.16141219385096403	True	True	0.07442381917140922	True	5
FABP7	3	5	6.0	0.0533318373707888	1	3	3	1	3	6	0.5142194032669067	0.5308754559666493	True	True	0.0399988780280916	True	6
NTRK2	2	6	6.0	0.0742363736030581	1	12	4	4	2	12	0.10634313523769379	0.1783480979676915	True	True	0.03711818680152905	True	7
TTYH1	3	7	8.0	0.0419194694196281	1	10	2	1	2	7	0.28896641731262207	0.3899166232412715	True	True	0.03143960206472107	True	8
SPARCL1	4	3	11.0	0.0121376273661926	1	12	1	6	1	2	0.49537965655326843	0.4794163626889005	True	True	0.0121376273661926	True	9
CD99	2	12	12.0	0.017145622536965	1	5	1	2	1	13	0.1337374895811081	0.22342365815528922	True	True	0.0085728112684825	True	10
KCNIP4	2	14	14.5	0.0068471025147097	1	4	1	1	1	14	0.06492893397808075	0.1199843668577384	True	True	0.00342355125735485	True	11
