enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005082357209175825	0.005082357209175825	0.0
0	0	0.004652547184377909	0.004652547184377909	0.0
0	1	0.005655437242239714	0.005655437242239714	0.0
1	all_test	0.005082357209175825	0.18916286528110504	0.18408050807192922
1	0	0.004652547184377909	0.26962170004844666	0.26496915286406875
1	1	0.005655437242239714	0.08188445121049881	0.0762290139682591
2	all_test	0.005082357209175825	0.005082357209175825	0.0
2	0	0.004652547184377909	0.004652547184377909	0.0
2	1	0.005655437242239714	0.005655437242239714	0.0
3	all_test	0.005082357209175825	0.005082357209175825	0.0
3	0	0.004652547184377909	0.004652547184377909	0.0
3	1	0.005655437242239714	0.005655437242239714	0.0
