enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.003421125700697303	0.003421125700697303	0.0
0	0	0.005010329186916351	0.005010329186916351	0.0
0	1	0.0013021879130974412	0.0013021879130974412	0.0
1	all_test	0.003421125700697303	0.19588519632816315	0.19246407062746584
1	0	0.005010329186916351	0.25781458616256714	0.2528042569756508
1	1	0.0013021879130974412	0.11331263929605484	0.1120104513829574
2	all_test	0.003421125700697303	0.003421125700697303	0.0
2	0	0.005010329186916351	0.005010329186916351	0.0
2	1	0.0013021879130974412	0.0013021879130974412	0.0
3	all_test	0.003421125700697303	0.003421125700697303	0.0
3	0	0.005010329186916351	0.005010329186916351	0.0
3	1	0.0013021879130974412	0.0013021879130974412	0.0
