enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.003995242062956095	0.004625222180038691	0.0006299801170825958
0	0	0.0	0.0	0.0
0	1	0.003995242062956095	0.004625222180038691	0.0006299801170825958
1	all_test	0.003995242062956095	0.15901052951812744	0.15501528745517135
1	0	0.0	0.0	0.0
1	1	0.003995242062956095	0.15901052951812744	0.15501528745517135
2	all_test	0.003995242062956095	0.003995242062956095	0.0
2	0	0.0	0.0	0.0
2	1	0.003995242062956095	0.003995242062956095	0.0
3	all_test	0.003995242062956095	0.003995242062956095	0.0
3	0	0.0	0.0	0.0
3	1	0.003995242062956095	0.003995242062956095	0.0
