enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.007936103269457817	0.007936103269457817	0.0
0	0	0.007616271730512381	0.007616271730512381	0.0
0	1	0.00836254470050335	0.00836254470050335	0.0
1	all_test	0.007936103269457817	0.20998822152614594	0.20205211825668812
1	0	0.007616271730512381	0.3052402138710022	0.2976239421404898
1	1	0.00836254470050335	0.0829855278134346	0.07462298311293125
2	all_test	0.007936103269457817	0.007936103269457817	0.0
2	0	0.007616271730512381	0.007616271730512381	0.0
2	1	0.00836254470050335	0.00836254470050335	0.0
3	all_test	0.007936103269457817	0.007936103269457817	0.0
3	0	0.007616271730512381	0.007616271730512381	0.0
3	1	0.00836254470050335	0.00836254470050335	0.0
