enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.023003114387392998	0.037941593676805496	0.014938479289412498
0	0	0.0	0.0	0.0
0	1	0.023003114387392998	0.037941593676805496	0.014938479289412498
1	all_test	0.023003114387392998	0.04268283024430275	0.019679715856909752
1	0	0.0	0.0	0.0
1	1	0.023003114387392998	0.04268283024430275	0.019679715856909752
2	all_test	0.023003114387392998	0.02200520597398281	-0.0009979084134101868
2	0	0.0	0.0	0.0
2	1	0.023003114387392998	0.02200520597398281	-0.0009979084134101868
3	all_test	0.023003114387392998	0.02234598807990551	-0.0006571263074874878
3	0	0.0	0.0	0.0
3	1	0.023003114387392998	0.02234598807990551	-0.0006571263074874878
