enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.018272578716278076	0.03303620591759682	0.01476362720131874
0	0	0.0	0.0	0.0
0	1	0.018272578716278076	0.03303620591759682	0.01476362720131874
1	all_test	0.018272578716278076	0.03679262101650238	0.018520042300224304
1	0	0.0	0.0	0.0
1	1	0.018272578716278076	0.03679262101650238	0.018520042300224304
2	all_test	0.018272578716278076	0.016540825366973877	-0.0017317533493041992
2	0	0.0	0.0	0.0
2	1	0.018272578716278076	0.016540825366973877	-0.0017317533493041992
3	all_test	0.018272578716278076	0.016659459099173546	-0.0016131196171045303
3	0	0.0	0.0	0.0
3	1	0.018272578716278076	0.016659459099173546	-0.0016131196171045303
