enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.011248608119785786	0.01624806970357895	0.004999461583793163
0	0	0.0	0.0	0.0
0	1	0.011248608119785786	0.01624806970357895	0.004999461583793163
1	all_test	0.011248608119785786	0.24869364500045776	0.23744503688067198
1	0	0.0	0.0	0.0
1	1	0.011248608119785786	0.24869364500045776	0.23744503688067198
2	all_test	0.011248608119785786	0.01772218570113182	0.006473577581346035
2	0	0.0	0.0	0.0
2	1	0.011248608119785786	0.01772218570113182	0.006473577581346035
3	all_test	0.011248608119785786	0.01132143847644329	7.283035665750504e-05
3	0	0.0	0.0	0.0
3	1	0.011248608119785786	0.01132143847644329	7.283035665750504e-05
