model	mse	r2	pearson	selected_enhancer	coefficients	fold
spatial_attribution	0.003013266194717	0.831141106141539	0.9544634339169696			0
spatial_mean	0.0216184465170272	-0.2114651444348398	0.0			0
best_single	0.0248363454138486	-0.3917913463542932	-0.1321425032869677	1.0		0
global_elastic_net	0.0026775720046163	0.8499529023626945	0.9549769370798552		[0.7941115674856895, 0.8434418143109955, 0.22719815626029205, 0.0]	0
spatial_attribution	0.0255716089765511	0.6677536303609208	0.989707116017152			1
spatial_mean	0.0875736594534298	-0.1378255649103592	0.0			1
best_single	0.1617305180444836	-1.10132954595861	0.4426166297517162	1.0		1
global_elastic_net	0.0172865765466426	0.7753992599223335	0.9897852885617318		[0.6590926880590608, 0.8577203672928898, 0.06727651857078887, 0.0]	1
spatial_attribution	0.0102551648309971	0.8206627722918683	0.9480444762051432			2
spatial_mean	0.0766374473948606	-0.340197605881454	-5.140173705678612e-16			2
best_single	0.0510640132272381	0.1070179057342561	0.6309472322088564	1.0		2
global_elastic_net	0.0221337373429718	0.6129361975820571	0.948041873688479		[0.8675520434171763, 0.9089839591909088, 0.0, 0.0]	2
spatial_attribution	0.0118904411118243	0.8734964381253992	0.9788751257821884			3
spatial_mean	0.1032413386326051	-0.0983946639909449	0.0			3
best_single	0.1587627562948524	-0.6890924378201306	0.4126103986295875	0.0		3
global_elastic_net	0.013331733230449	0.858162390801747	0.97887581127511		[0.7979660194552222, 0.7026011516652612, 0.3669062357853163, 0.0]	3
spatial_attribution	0.0074961620706732	0.8212417939910543	0.9735602655290072			4
spatial_mean	0.0419346460532112	-3.6577303408336084e-09	0.0			4
best_single	0.0636041967248088	-0.5167457685644441	-0.1675083637577737	0.0		4
global_elastic_net	0.0086559593762141	0.7935845363546967	0.9735896691667388		[0.8145416484380463, 0.8041642715252553, 0.19167605994603554, 0.0]	4
