enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.01595320552587509	0.24757243692874908	0.231619231402874
0	0	0.01595320552587509	0.24757243692874908	0.231619231402874
0	1	0.0	0.0	0.0
1	all_test	0.01595320552587509	0.021217046305537224	0.005263840779662132
1	0	0.01595320552587509	0.021217046305537224	0.005263840779662132
1	1	0.0	0.0	0.0
2	all_test	0.01595320552587509	0.023952282965183258	0.007999077439308167
2	0	0.01595320552587509	0.023952282965183258	0.007999077439308167
2	1	0.0	0.0	0.0
3	all_test	0.01595320552587509	0.01605951599776745	0.00010631047189235687
3	0	0.01595320552587509	0.01605951599776745	0.00010631047189235687
3	1	0.0	0.0	0.0
