enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.0059709250926971436	0.0059709250926971436	0.0
0	0	0.005705689080059528	0.005705689080059528	0.0
0	1	0.006324573419988155	0.006324573419988155	0.0
1	all_test	0.0059709250926971436	0.19899258017539978	0.19302165508270264
1	0	0.005705689080059528	0.2825998365879059	0.27689414750784636
1	1	0.006324573419988155	0.08751624077558517	0.08119166735559702
2	all_test	0.0059709250926971436	0.0059709250926971436	0.0
2	0	0.005705689080059528	0.005705689080059528	0.0
2	1	0.006324573419988155	0.006324573419988155	0.0
3	all_test	0.0059709250926971436	0.0059709250926971436	0.0
3	0	0.005705689080059528	0.005705689080059528	0.0
3	1	0.006324573419988155	0.006324573419988155	0.0
