enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005804903339594603	0.005804903339594603	0.0
0	0	0.007053050212562084	0.007053050212562084	0.0
0	1	0.0041407071985304356	0.0041407071985304356	0.0
1	all_test	0.005804903339594603	0.19560804963111877	0.18980314629152417
1	0	0.007053050212562084	0.27733922004699707	0.270286169834435
1	1	0.0041407071985304356	0.08663315325975418	0.08249244606122375
2	all_test	0.005804903339594603	0.005804903339594603	0.0
2	0	0.007053050212562084	0.007053050212562084	0.0
2	1	0.0041407071985304356	0.0041407071985304356	0.0
3	all_test	0.005804903339594603	0.005804903339594603	0.0
3	0	0.007053050212562084	0.007053050212562084	0.0
3	1	0.0041407071985304356	0.0041407071985304356	0.0
