scenario	seed	fold	mean_true_contribution_correlation	background_mean	n_true_enhancers
single	20260814	0	1.0	0.0	1
single	20260814	1	0.9999999999999993	0.0	1
single	20260814	3	0.9999999999999996	0.0	1
single	20260814	2	0.9999999999999991	0.0	1
single	20260814	4	0.9999999999999991	0.0	1
single	20260824	1	0.9999999999999998	0.0	1
single	20260824	0	1.0	0.0	1
single	20260824	2	0.999999999999999	0.0	1
single	20260824	3	0.9999999999999998	0.0	1
single	20260824	4	0.9999999999999996	0.0	1
single	20260834	0	0.9999999999999998	0.0	1
single	20260834	1	0.9999999999999986	0.0	1
single	20260834	2	0.9999999999999988	0.0	1
single	20260834	3	0.9999999999999991	0.0	1
single	20260834	4	0.9999999999999983	0.0	1
redundant	20260814	0	0.9999999999999994	0.0	2
redundant	20260814	1	0.9999999999999991	0.0	2
redundant	20260814	2	0.9999999999999994	0.0	2
redundant	20260814	3	0.9999999999999991	0.0	2
redundant	20260814	4	0.9999999999999998	0.0	2
redundant	20260824	0	0.9999999999999993	0.0	2
redundant	20260824	1	0.9999999999999999	0.0	2
redundant	20260824	2	0.9999999999999989	0.0	2
redundant	20260824	3	0.9999999999999991	0.0	2
redundant	20260824	4	0.9999999999999998	0.0	2
redundant	20260834	0	1.0	0.0	2
redundant	20260834	1	0.9999999999999993	0.0	2
redundant	20260834	2	0.9999999999999997	0.0	2
redundant	20260834	3	0.9999999999999994	0.0	2
redundant	20260834	4	0.9999999999999999	0.0	2
complementary	20260814	0	0.9737354176451389	0.0012721074745059013	2
complementary	20260814	1	0.9737250824561592	0.0	2
complementary	20260814	2	0.97372508218432	0.0	2
complementary	20260814	3	0.9737250820727703	0.0	2
complementary	20260814	4	0.9737381505541429	0.0016087016556411982	2
complementary	20260824	0	0.9726871892320742	0.004949860740453005	2
complementary	20260824	1	0.9726487340770403	0.0015174755826592445	2
complementary	20260824	3	0.9726514472530632	0.001758698606863618	2
complementary	20260824	2	0.9726316374662156	0.0	2
complementary	20260824	4	0.9726976630698203	0.005889578256756067	2
complementary	20260834	2	0.9724373852542254	0.0006301581161096692	2
complementary	20260834	0	0.9728460928308698	0.014399616047739983	2
complementary	20260834	3	0.972846092423728	0.014399616047739983	2
complementary	20260834	1	0.9728460923470315	0.014399616047739983	2
complementary	20260834	4	0.9728460922799521	0.014399616047739983	2
partial_switching	20260814	0	0.956196451350263	0.015324979089200497	2
partial_switching	20260814	2	0.9559008828923989	0.0	2
partial_switching	20260814	1	0.9560206355731649	0.00622714776545763	2
partial_switching	20260814	3	0.9560409887019292	0.00728303799405694	2
partial_switching	20260814	4	0.9561964517183901	0.015324979089200497	2
partial_switching	20260824	0	0.9554092560806229	0.014139956794679165	2
partial_switching	20260824	1	0.955177364874979	0.0062023657374084	2
partial_switching	20260824	2	0.9549956512437368	0.0	2
partial_switching	20260824	3	0.955199996408188	0.006975891068577766	2
partial_switching	20260824	4	0.95540925601527	0.014139956794679165	2
partial_switching	20260834	0	0.9569582007314315	0.015173145569860935	2
partial_switching	20260834	1	0.9569582015200021	0.015173145569860935	2
partial_switching	20260834	2	0.9569582004761055	0.015173145569860935	2
partial_switching	20260834	3	0.956958200715099	0.015173145569860935	2
partial_switching	20260834	4	0.9569582007739024	0.015173145569860935	2
unrelated_missing_factor	20260814	0		0.00781325064599514	0
unrelated_missing_factor	20260814	1		0.0026726997457444668	0
unrelated_missing_factor	20260814	2		0.008542435243725777	0
unrelated_missing_factor	20260814	3		0.015110515989363194	0
unrelated_missing_factor	20260814	4		0.012397008016705513	0
unrelated_missing_factor	20260824	0		0.01442161574959755	0
unrelated_missing_factor	20260824	1		0.01442161574959755	0
unrelated_missing_factor	20260824	2		0.01442161574959755	0
unrelated_missing_factor	20260824	3		0.01442161574959755	0
unrelated_missing_factor	20260824	4		0.01442161574959755	0
unrelated_missing_factor	20260834	0		0.017052963376045227	0
unrelated_missing_factor	20260834	1		0.015472915954887867	0
unrelated_missing_factor	20260834	2		0.010493704117834568	0
unrelated_missing_factor	20260834	3		0.017052963376045227	0
unrelated_missing_factor	20260834	4		0.017052963376045227	0
