enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.022133739665150642	0.044325701892375946	0.022191962227225304
0	0	0.014960505068302155	0.07591741532087326	0.060956910252571106
0	1	0.03169805184006691	0.0022034221328794956	-0.029494629707187414
1	all_test	0.022133739665150642	0.019217712804675102	-0.00291602686047554
1	0	0.014960505068302155	0.002877878723666072	-0.012082626344636083
1	1	0.03169805184006691	0.04100416228175163	0.009306110441684723
2	all_test	0.022133739665150642	0.022133739665150642	0.0
2	0	0.014960505068302155	0.014960505068302155	0.0
2	1	0.03169805184006691	0.03169805184006691	0.0
3	all_test	0.022133739665150642	0.022133739665150642	0.0
3	0	0.014960505068302155	0.014960505068302155	0.0
3	1	0.03169805184006691	0.03169805184006691	0.0
