enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.04788752645254135	0.045178137719631195	-0.0027093887329101562
0	0	0.03586824983358383	0.07700352370738983	0.041135273873806
0	1	0.06391321867704391	0.002744295634329319	-0.061168923042714596
1	all_test	0.04788752645254135	0.019957493990659714	-0.027930032461881638
1	0	0.03586824983358383	0.003802487626671791	-0.03206576220691204
1	1	0.06391321867704391	0.041497502475976944	-0.02241571620106697
2	all_test	0.04788752645254135	0.04788752645254135	0.0
2	0	0.03586824983358383	0.03586824983358383	0.0
2	1	0.06391321867704391	0.06391321867704391	0.0
3	all_test	0.04788752645254135	0.04788752645254135	0.0
3	0	0.03586824983358383	0.03586824983358383	0.0
3	1	0.06391321867704391	0.06391321867704391	0.0
