scenario	seed	fold	attribution_recovery
single	20260814	3	0.9999999999999996
single	20260814	2	0.9999999999999991
single	20260814	1	0.9999999999999993
single	20260814	0	1.0
single	20260814	4	0.9999999999999991
single	20260824	0	1.0
single	20260824	1	0.9999999999999998
single	20260824	2	0.999999999999999
single	20260824	3	0.9999999999999998
single	20260824	4	0.9999999999999996
single	20260834	0	0.9999999999999998
single	20260834	1	0.9999999999999986
single	20260834	2	0.9999999999999988
single	20260834	3	0.9999999999999991
single	20260834	4	0.9999999999999983
redundant	20260814	0	0.9999999999999994
redundant	20260814	1	0.9999999999999991
redundant	20260814	2	0.9999999999999994
redundant	20260814	3	0.9999999999999991
redundant	20260814	4	0.9999999999999998
redundant	20260824	0	0.9999999999999993
redundant	20260824	1	0.9999999999999999
redundant	20260824	2	0.9999999999999989
redundant	20260824	3	0.9999999999999991
redundant	20260824	4	0.9999999999999998
redundant	20260834	1	0.9999999999999993
redundant	20260834	0	1.0
redundant	20260834	2	0.9999999999999997
redundant	20260834	3	0.9999999999999994
redundant	20260834	4	0.9999999999999999
complementary	20260814	1	0.9737250824561592
complementary	20260814	0	0.9737250824339008
complementary	20260814	2	0.97372508218432
complementary	20260814	3	0.9737250820727703
complementary	20260814	4	0.9737250825783045
complementary	20260824	0	0.9726316372622675
complementary	20260824	1	0.9726316371507518
complementary	20260824	2	0.9726316374662156
complementary	20260824	4	0.9726316375860646
complementary	20260824	3	0.9726316374836447
complementary	20260834	0	0.9724171821981712
complementary	20260834	1	0.9724171826983039
complementary	20260834	2	0.9724171819879569
complementary	20260834	3	0.9724171822535213
complementary	20260834	4	0.9728460922799521
partial_switching	20260814	1	0.9559008832678261
partial_switching	20260814	0	0.9559008836478333
partial_switching	20260814	2	0.9559008828923989
partial_switching	20260814	3	0.9559008833537102
partial_switching	20260814	4	0.9559008827881279
partial_switching	20260824	1	0.9549956504450673
partial_switching	20260824	0	0.9549956510107869
partial_switching	20260824	3	0.954995650661526
partial_switching	20260824	2	0.9549956512437368
partial_switching	20260824	4	0.9549956503209469
partial_switching	20260834	0	0.9555975369771007
partial_switching	20260834	1	0.9569582015200021
partial_switching	20260834	2	0.9555975363455067
partial_switching	20260834	3	0.956958200715099
partial_switching	20260834	4	0.9555975365045276
unrelated_missing_factor	20260814	0	
unrelated_missing_factor	20260814	1	
unrelated_missing_factor	20260814	2	
unrelated_missing_factor	20260814	3	
unrelated_missing_factor	20260814	4	
unrelated_missing_factor	20260824	0	
unrelated_missing_factor	20260824	1	
unrelated_missing_factor	20260824	2	
unrelated_missing_factor	20260824	3	
unrelated_missing_factor	20260824	4	
unrelated_missing_factor	20260834	0	
unrelated_missing_factor	20260834	1	
unrelated_missing_factor	20260834	2	
unrelated_missing_factor	20260834	3	
unrelated_missing_factor	20260834	4	
