enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.00815016683191061	0.14789636433124542	0.1397461974993348
0	0	0.00815016683191061	0.14789636433124542	0.1397461974993348
0	1	0.0	0.0	0.0
1	all_test	0.00815016683191061	0.009588452987372875	0.001438286155462265
1	0	0.00815016683191061	0.009588452987372875	0.001438286155462265
1	1	0.0	0.0	0.0
2	all_test	0.00815016683191061	0.00815016683191061	0.0
2	0	0.00815016683191061	0.00815016683191061	0.0
2	1	0.0	0.0	0.0
3	all_test	0.00815016683191061	0.00815016683191061	0.0
3	0	0.00815016683191061	0.00815016683191061	0.0
3	1	0.0	0.0	0.0
