enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005881877616047859	0.004549114033579826	-0.0013327635824680328
0	0	0.0	0.0	0.0
0	1	0.005881877616047859	0.004549114033579826	-0.0013327635824680328
1	all_test	0.005881877616047859	0.06113860756158829	0.05525672994554043
1	0	0.0	0.0	0.0
1	1	0.005881877616047859	0.06113860756158829	0.05525672994554043
2	all_test	0.005881877616047859	0.005881877616047859	0.0
2	0	0.0	0.0	0.0
2	1	0.005881877616047859	0.005881877616047859	0.0
3	all_test	0.005881877616047859	0.005881877616047859	0.0
3	0	0.0	0.0	0.0
3	1	0.005881877616047859	0.005881877616047859	0.0
