enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.00395737262442708	0.00395737262442708	0.0
0	0	0.0034529652912169695	0.0034529652912169695	0.0
0	1	0.004629915580153465	0.004629915580153465	0.0
1	all_test	0.00395737262442708	0.1862550526857376	0.18229768006131053
1	0	0.0034529652912169695	0.2611958086490631	0.25774284335784614
1	1	0.004629915580153465	0.08633406460285187	0.0817041490226984
2	all_test	0.00395737262442708	0.00395737262442708	0.0
2	0	0.0034529652912169695	0.0034529652912169695	0.0
2	1	0.004629915580153465	0.004629915580153465	0.0
3	all_test	0.00395737262442708	0.00395737262442708	0.0
3	0	0.0034529652912169695	0.0034529652912169695	0.0
3	1	0.004629915580153465	0.004629915580153465	0.0
