run	scenario	seed	fold	enabled	strength	gate_mean_gain	gate_worst_gain	spatial_r2	elastic_r2	r2_gain
complementary_seed20260844_fold0	complementary	20260844	0	False	0.0	0.0	0.0	0.8606048842464518	0.8606047439486801	1.4029777162249957e-07
complementary_seed20260844_fold1	complementary	20260844	1	False	0.0	-0.006243985611945391	-0.024975942447781563	0.7231742778597552	0.7231742990292145	-2.1169459296643822e-08
complementary_seed20260844_fold2	complementary	20260844	2	False	0.0	0.0	0.0	0.5852924247124094	0.5852922833395262	1.4137288317783714e-07
complementary_seed20260844_fold3	complementary	20260844	3	False	0.0	-0.002535830484703183	-0.008182094432413578	0.8151723406063456	0.815172494538748	-1.539324023802635e-07
complementary_seed20260844_fold4	complementary	20260844	4	False	0.0	0.0	0.0	0.864673131333211	0.8646731959173025	-6.458409151921529e-08
complementary_seed20260854_fold0	complementary	20260854	0	False	0.0	-0.01831771992146969	-0.07327087968587875	0.8620815263958107	0.8620815940949802	-6.769916949256327e-08
complementary_seed20260854_fold1	complementary	20260854	1	False	0.0	-0.029173949733376503	-0.11669579893350601	0.7853594241491015	0.7853594229512348	1.1978666947243255e-09
complementary_seed20260854_fold2	complementary	20260854	2	False	0.0	0.0	0.0	0.5528398088038198	0.5528397106770342	9.812678558596133e-08
complementary_seed20260854_fold3	complementary	20260854	3	False	0.0	-0.026438744738698006	-0.10575497895479202	0.8882284858734246	0.888228483185168	2.688256617311424e-09
complementary_seed20260854_fold4	complementary	20260854	4	False	0.0	-0.017141690477728844	-0.06856676191091537	0.6353914413268643	0.6353914490065131	-7.679648805769546e-09
complementary_seed20260864_fold0	complementary	20260864	0	False	0.0	-0.013086349703371525	-0.0523453988134861	0.8593192297889837	0.8593192732657744	-4.347679072314037e-08
complementary_seed20260864_fold1	complementary	20260864	1	False	0.0	-0.02074224129319191	-0.08296896517276764	0.6815709720464536	0.6815710190035669	-4.695711330882091e-08
complementary_seed20260864_fold2	complementary	20260864	2	False	0.0	0.0	0.0	0.6326219597917473	0.6326221123579201	-1.5256617280634543e-07
complementary_seed20260864_fold3	complementary	20260864	3	False	0.0	-0.02202605828642845	-0.0881042331457138	0.850485845824916	0.8504858307204395	1.5104476558391866e-08
complementary_seed20260864_fold4	complementary	20260864	4	False	0.0	-0.013596120290458202	-0.05438448116183281	0.8510722550327218	0.851072232746362	2.2286359757650587e-08
unrelated_missing_factor_seed20260844_fold0	unrelated_missing_factor	20260844	0	False	0.0	-0.07058268343098462	-0.14652426540851593	-0.8908615456046218	-0.890861337244788	-2.0835983383094003e-07
unrelated_missing_factor_seed20260844_fold1	unrelated_missing_factor	20260844	1	False	0.0	-0.09238877892494202	-0.1943138688802719	-0.9977010232212608	-0.997700970715981	-5.250527979061559e-08
unrelated_missing_factor_seed20260844_fold2	unrelated_missing_factor	20260844	2	False	0.0	-0.026499928906559944	-0.059644170105457306	-0.2194334466120795	-0.2194334869457519	4.0333672401970944e-08
unrelated_missing_factor_seed20260844_fold3	unrelated_missing_factor	20260844	3	False	0.0	-0.04065217636525631	-0.11751490086317062	-67.42532486542495	-67.42532839300041	3.527575458406318e-06
unrelated_missing_factor_seed20260844_fold4	unrelated_missing_factor	20260844	4	False	0.0	-0.04291359707713127	-0.1309674084186554	-223.45762488687384	-223.4576172984242	-7.588449648210371e-06
unrelated_missing_factor_seed20260854_fold0	unrelated_missing_factor	20260854	0	False	0.0	-0.08913837434374727	-0.18052618205547333	-0.7430705210376127	-0.7430705736445584	5.2606945688538076e-08
unrelated_missing_factor_seed20260854_fold1	unrelated_missing_factor	20260854	1	False	0.0	-0.09783521294593811	-0.19802851974964142	-1.3500893515234615	-1.350089282947876	-6.8575585654429e-08
unrelated_missing_factor_seed20260854_fold2	unrelated_missing_factor	20260854	2	False	0.0	-0.07698158547282219	-0.15669578313827515	-0.164011959939299	-0.1640119656688103	5.7295112820821e-09
unrelated_missing_factor_seed20260854_fold3	unrelated_missing_factor	20260854	3	False	0.0	-0.044259692542254925	-0.12743352353572845	-32.25130181423787	-32.25130307607583	1.2618379585660477e-06
unrelated_missing_factor_seed20260854_fold4	unrelated_missing_factor	20260854	4	False	0.0	-0.048863484524190426	-0.1450757533311844	-185.27463254888693	-185.2746024863525	-3.0062534420949305e-05
unrelated_missing_factor_seed20260864_fold0	unrelated_missing_factor	20260864	0	False	0.0	-0.08826073096133769	-0.17214497923851013	-0.9411458943555162	-0.9411458741271626	-2.0228353658779952e-08
unrelated_missing_factor_seed20260864_fold1	unrelated_missing_factor	20260864	1	False	0.0	-0.12439718842506409	-0.25380370020866394	-1.1713600041464574	-1.1713599332315754	-7.091488196664386e-08
unrelated_missing_factor_seed20260864_fold2	unrelated_missing_factor	20260864	2	False	0.0	-0.07311170920729637	-0.14966005086898804	-0.0020887255297403	-0.0020887091021497	-1.6427590599898262e-08
unrelated_missing_factor_seed20260864_fold3	unrelated_missing_factor	20260864	3	False	0.0	-0.030944843776524067	-0.07970433682203293	-43.64771626818801	-43.64769625753197	-2.0010656044178177e-05
unrelated_missing_factor_seed20260864_fold4	unrelated_missing_factor	20260864	4	False	0.0	-0.0433055255562067	-0.11470447480678558	-92.38606540969649	-92.38604880322556	-1.6606470921942673e-05
