enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.01122894138097763	0.017225930467247963	0.005996989086270332
0	0	0.0	0.0	0.0
0	1	0.01122894138097763	0.017225930467247963	0.005996989086270332
1	all_test	0.01122894138097763	0.25491705536842346	0.24368811398744583
1	0	0.0	0.0	0.0
1	1	0.01122894138097763	0.25491705536842346	0.24368811398744583
2	all_test	0.01122894138097763	0.01122894138097763	0.0
2	0	0.0	0.0	0.0
2	1	0.01122894138097763	0.01122894138097763	0.0
3	all_test	0.01122894138097763	0.01122894138097763	0.0
3	0	0.0	0.0	0.0
3	1	0.01122894138097763	0.01122894138097763	0.0
