enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.0021683990489691496	0.0021683990489691496	0.0
0	0	0.0021683990489691496	0.0021683990489691496	0.0
0	1	0.0	0.0	0.0
1	all_test	0.0021683990489691496	0.16376589238643646	0.1615974933374673
1	0	0.0021683990489691496	0.16376589238643646	0.1615974933374673
1	1	0.0	0.0	0.0
2	all_test	0.0021683990489691496	0.0021683990489691496	0.0
2	0	0.0021683990489691496	0.0021683990489691496	0.0
2	1	0.0	0.0	0.0
3	all_test	0.0021683990489691496	0.0021683990489691496	0.0
3	0	0.0021683990489691496	0.0021683990489691496	0.0
3	1	0.0	0.0	0.0
