enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.0052986047230660915	0.0052986047230660915	0.0
0	0	0.006124540232121944	0.006124540232121944	0.0
0	1	0.004197358153760433	0.004197358153760433	0.0
1	all_test	0.0052986047230660915	0.1944529414176941	0.189154336694628
1	0	0.006124540232121944	0.27171510457992554	0.2655905643478036
1	1	0.004197358153760433	0.0914367213845253	0.08723936323076487
2	all_test	0.0052986047230660915	0.0052986047230660915	0.0
2	0	0.006124540232121944	0.006124540232121944	0.0
2	1	0.004197358153760433	0.004197358153760433	0.0
3	all_test	0.0052986047230660915	0.0052986047230660915	0.0
3	0	0.006124540232121944	0.006124540232121944	0.0
3	1	0.004197358153760433	0.004197358153760433	0.0
