gene	absolute_rank_maskgt2pct	absolute_divergence_score	latent_mask_fraction	n_enhancers_retained
ITM2C	1	0.4111051704671442	0.0281396560708702	5.0
VIM	2	0.4047266650395757	0.3169619593538301	13.0
EFNB3	3	0.3894439376221053	0.0453361125586242	10.0
IFI27L2	4	0.2595141940521686	0.030745179781136	13.0
NPY	5	0.2586471376824891	0.0396039603960396	6.0
NEFM	6	0.2483464599585347	0.1300156331422615	29.0
NTRK2	7	0.2439669139520318	0.032569046378322	43.0
S100B	8	0.2300858803901898	0.0209744658676393	5.0
BCAN	9	0.2277773787936394	0.023970818134445	23.0
GOLM1	10	0.2222487642532539	0.0289213131839499	9.0
MAFA	11	0.1981637629044306	0.0397342365815528	13.0
CD99	12	0.1948616068778983	0.0592756644085461	7.0
QKI	13	0.1865137438341481	0.0347837415320479	42.0
RGMA	14	0.1858223436296432	0.0285304846274101	13.0
SLC1A3	15	0.1677095718931446	0.0509379885356956	29.0
PTPRZ1	16	0.1665754085902607	0.0298332464825429	14.0
AK1	17	0.1600924014105188	0.0337415320479416	7.0
HOXB8	18	0.1572590992371144	0.0543251693590411	7.0
RBFOX1	19	0.1501269412195545	0.0736060448150078	60.0
ZIC1	20	0.1489178467391689	0.0341323606044815	17.0
