gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
rplp0	26	6	0.7428698553948831	0.24765747133365787	0.481694068131197	244.97617577015725	6	True		1.6869915718759523	1.7796585342197941	2.3028440263642116	2.928712906489518	0.6582931422733953	1.933332553671256	1.0
mki67	35	18	0.5004226918798665	0.10789101491638209	0.2724571164971727	45.36658535583383	18	True		1.5748955072696558	1.568966447344783	2.0512653825209743	2.132005991642548	0.3341720866746181	1.7654434573701834	2.0
rpl6	46	26	0.5178642936596218	0.2872272700066109	0.45203062435860203	88.91874820282999	26	True		1.506503952031625	1.434692146324218	2.1196707961976755	2.385866240954257	0.4678897904050569	1.7517706896980454	3.0
dlgap5	51	24	0.49619577308120133	0.12537070042074422	0.3025901383276699	37.80889433778201	24	True		1.5182707809232157	1.466809542787561	1.9824524884922885	2.059490819850258	0.34632085838249554	1.7039434639508448	4.0
uhrf1	47	20	0.443559510567297	0.1360783677748076	0.3825324486932318	68.94164989122473	20	True		1.4690121283191089	1.4518182174805498	2.048975760663296	2.123790542405745	0.39221892763071636	1.7009975812567837	5.0
tuba8l4	48	22	0.6862736373748609	0.23278575351383998	0.4647312803414637	236.83377317076116	22	True		1.4117637509387724	1.4235129251901701	2.0664441928960393	2.2009671224711735	0.39398202760818196	1.6736359277216792	6.0
rpl31	70	48	0.41908787541713016	0.17686497988724142	0.3157250334805149	36.77172993977474	48	True		1.4222135303368564	1.3565878180335318	2.0135175608728777	2.1214540029254176	0.36625262452324137	1.658735142551265	7.0
lamb1a	67	49	0.2961957730812013	0.1204118297277129	0.34642951569775304	99.8008217089361	49	True		1.41035238321794	1.321988840998374	2.024538436196691	2.1167652017451957	0.4655768617112572	1.6560268044094406	8.0
lmo2	34	28	0.004449388209121246	0.010946919179186151	0.5182517390490732	121.0381814131321	28	True		1.4374921352417203	1.371734308725435	1.9606582680980928	2.0260755141036015	0.3956482362976744	1.6467585883842695	9.0
supt16h	45	25	0.44507230255839825	0.18643672923473842	0.41288246834024733	140.82447259783032	25	True		1.3448830159415162	1.355177351824227	2.027708043162754	2.0904959527071836	0.4332257031734876	1.6180130268300112	10.0
ved	64	43	0.07426028921023359	0.03087202229344172	0.26956783889729863	47.70081268370569	43	True		1.3479332125938446	1.246160737053105	2.022977153043452	2.278261741427231	0.44000526298882137	1.6179507887736877	11.0
