gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
tfap2a	20	6	5	9	2	0.0779385475746621	0.7219280948873623	0.2404623176104371	1
mycn	20	10	2	8	2	0.0137516329679581	1.0	0.0302154259357045	2
cdx4	20	10	1	9	1	0.0256382693835261	0.0	0.0177710941376275	3
sox2	20	8	1	11	1	0.008891577429234	0.0	0.006163171825804	4
krt4	20	16	1	3	1	0.0057292852456454	0.0	0.0039712379146428	5
krt99	20	11	1	8	1	0.0054369588901599	0.0	0.0037686127255347	6
fn1b	20	4	1	15	1	0.005065180975752	0.0	0.0035109159123684	7
krt8	20	20	0	0	0	0.0	0.0	0.0	8
hoxc3a	20	13	0	7	0	0.0	0.0	0.0	9
krt18a.1	20	16	0	4	0	0.0	0.0	0.0	10
