gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
aplnra	20	0	9	11	4	0.2114792638022896	0.9602297178607612	0.954531901487325	1
prdm1a	20	0	6	14	2	0.2282505252736013	0.9709505944546688	0.8754075881974969	2
zic3	20	0	13	7	3	0.1875157765980188	0.7219280948873623	0.8521217480511659	3
xbp1	20	1	9	10	3	0.1527178530372752	0.9709505944546688	0.6930766007170043	4
dbx1a	20	1	7	12	2	0.19087177871599	0.7219280948873623	0.6834448077599291	5
tcf7l1a	20	0	10	10	3	0.1652074565469611	0.7219280948873623	0.6821421231611219	6
tbx16	20	7	3	10	2	0.2149165797120207	0.9182958340544894	0.5715325385422733	7
foxa3	20	5	7	8	3	0.1368608830393826	0.9709505944546688	0.5609211187511589	8
bambia	20	3	7	10	3	0.1395647941212585	0.8649735207179272	0.5412467044321715	9
meis1b	20	1	8	11	2	0.1163502191871762	0.9709505944546688	0.5038687126717479	10
zgc:174154	14	6	6	2	2	0.1251127048485635	0.9709505944546688	0.4798438517197732	11
clic4	20	2	5	13	2	0.1325821362994119	0.9709505944546688	0.4682097561340759	12
foxo1a	20	1	7	12	1	0.2207790875243038	0.0	0.4590972061322057	13
tram1	20	1	7	12	5	0.1053426701594635	0.9609640474436812	0.4295568702803735	14
lhx1a	20	1	7	12	3	0.1131394694898963	0.7219280948873623	0.4051127070526156	15
nog1	20	0	6	14	2	0.1177386142008473	0.7219280948873623	0.3945088180488299	16
foxg1a	20	2	6	12	1	0.1980694511309864	0.0	0.385425355173602	17
pcdh10b	20	2	7	11	2	0.1838646470797517	0.0	0.3823357851839378	18
id3	20	1	7	12	4	0.0965048601577405	0.8649735207179272	0.3742558275597994	19
gata5	20	5	6	9	2	0.1099043762932391	0.7219280948873623	0.3682585011224598	20
lmo4a	20	0	6	14	2	0.1817893448516252	0.0	0.3537457311368938	21
creb3l1	20	0	6	14	3	0.0942043161013189	0.8649735207179272	0.3418741423763788	22
pax6b	20	7	5	8	3	0.0969605595543106	0.8649735207179272	0.3240018511028634	23
sox10	20	3	8	9	2	0.0835918174586791	0.7219280948873623	0.3162665259290236	24
ephb3a	20	0	6	14	2	0.080023933153163	0.9709505944546688	0.3069152118520462	25
