gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank
foxa3	4	2	6.0	0.704428612065727	3	9	7	5	4	1
xbp1	4	5	6.0	0.6413916087019527	3	5	9	1	5	2
meis1b	4	2	6.5	0.655921929050825	2	8	8	1	5	3
pax6b	4	4	7.5	0.5147903147503047	3	17	5	7	1	4
pcdh10b	4	4	8.5	0.5742601445911288	2	5	7	2	5	5
dbx1a	4	3	13.5	0.48267539595846476	2	8	7	1	1	6
efnb2b	4	9	13.5	0.44066329915677577	3	7	7	2	4	7
lhx1a	4	5	14.0	0.492469631991185	3	4	7	1	5	8
tram1	4	11	15.5	0.43240202022744173	5	4	7	1	4	9
id3	4	10	15.5	0.42077692323929394	4	3	7	1	5	10
tbx16	4	1	16.5	0.7457446149637432	2	16	3	7	1	11
foxo1a	4	14	16.5	0.3496414452568204	1	6	7	1	2	12
dlx3b	4	12	17.5	0.3784862539024691	3	9	8	5	5	13
bambia	4	4	18.5	0.4526419203326141	3	9	7	3	3	14
foxc1a	4	18	20.5	0.3128679809910047	4	10	4	5	2	15
fzd8a	4	6	22.5	0.3466028687801416	2	12	8	2	1	16
pitx2	4	18	24.5	0.30137590206290227	1	8	7	3	2	17
clic4	4	9	26.5	0.35310613010516084	2	6	5	2	1	18
irx1b	4	22	26.5	0.2360685025906188	3	9	6	2	1	19
ntd5	4	17	28.0	0.2545409573541098	4	3	5	3	5	20
gli2a	4	21	30.5	0.25447580386947954	4	9	6	3	2	21
zgc:174154	4	3	32.0	0.42426671798675303	2	10	6	6	2	22
cnn3a	4	32	32.5	0.18870253392730388	3	5	4	1	1	23
bhlha15	4	17	33.5	0.24891010616875808	2	6	5	4	3	24
tuba8l2	4	12	34.0	0.2648442784759275	2	7	6	4	5	25
sox10	4	13	34.5	0.24429806085056302	2	8	8	3	3	26
shha	4	28	35.0	0.189330037913145	2	4	5	1	2	27
gata5	4	4	36.0	0.4044577500097326	2	10	6	5	1	28
sp8b	4	24	37.0	0.21081104643027698	2	10	7	2	3	29
zic2b	4	30	37.5	0.18059370571229783	3	8	5	3	2	30
fn1a	4	27	38.5	0.17604854004564274	3	11	4	1	1	31
fezf2	4	31	39.5	0.17110708263628674	2	14	3	7	1	32
lft1	4	35	42.0	0.17848470166687974	2	3	4	1	2	33
msx3	4	28	42.5	0.16829562082839838	3	3	4	1	3	34
csrp1a	4	33	42.5	0.1576219653888869	2	4	3	2	2	35
unc5b	4	24	44.0	0.17005507719607374	1	7	4	1	1	36
nop58	4	22	45.0	0.18364737766599581	1	2	3	1	3	37
hdlbpa	4	23	47.5	0.1774094686189568	3	3	5	1	4	38
grhl2b	4	39	49.0	0.14834027777674974	3	9	6	1	2	39
nrarpa	4	47	50.5	0.13148200535198143	2	5	3	4	2	40
mych	4	36	51.5	0.13378659720848335	3	4	4	2	3	41
emx2	4	23	61.5	0.1615952409002805	1	6	6	2	2	42
msx1b	4	60	61.5	0.09192894479435364	2	7	4	2	1	43
anp32e	4	41	62.5	0.10063206826214705	1	1	3	1	3	44
lmo2	4	56	64.5	0.08319863496692201	2	4	3	2	2	45
foxa	4	46	65.0	0.10208270551245098	2	5	5	1	1	46
lhfpl6	4	37	65.5	0.11936102163667284	2	12	5	3	1	47
spon1b	4	45	69.0	0.08435184891697789	2	3	3	1	2	48
foxg1a	4	11	70.0	0.18655929946663863	1	7	6	2	1	49
fscn1a	4	54	71.0	0.0627741470753685	3	6	3	1	2	50
tbxtb	4	39	73.0	0.07413885031957554	1	6	3	1	3	51
hoxb1b	4	60	74.5	0.05333415434797026	2	10	3	3	2	52
foxh1	4	67	75.5	0.055176979765863665	1	3	3	2	2	53
foxa2	4	49	76.5	0.07689164916667586	2	8	4	2	1	54
cd63	4	73	76.5	0.0521789332858513	1	2	3	1	2	55
lhx5	4	80	82.0	0.03595007872011174	1	7	2	4	1	56
zbtb18	4	62	85.5	0.05911873847922515	1	10	6	1	1	57
foxd3	4	83	86.5	0.03266764936380264	2	4	2	2	1	58
foxb1a	4	75	87.0	0.03961423409466034	2	10	2	4	1	59
pbx4	4	73	87.5	0.03476957651132154	2	8	2	2	1	60
uncx4.1	4	66	88.0	0.037091909376697034	1	7	2	3	2	61
gata6	4	54	88.5	0.0574821208393046	2	7	4	4	2	62
atp2b1a	4	84	89.0	0.03134898001437799	1	12	3	1	1	63
six4b	4	66	92.0	0.0412610656703892	2	13	3	5	1	64
foxd5	4	74	94.0	0.026921470329901855	1	4	2	1	2	65
myod1	4	83	100.5	0.02780988522081624	1	16	2	8	1	66
tcf3b	4	95	100.5	0.017286253757160912	1	4	2	1	1	67
dact2	4	88	101.5	0.01593095135647794	1	4	1	1	1	68
rasgef1ba	4	87	102.0	0.016188928393077655	1	13	1	4	1	69
rreb1a	4	81	106.0	0.027041911384632692	2	4	3	1	1	70
myclb	4	96	107.5	0.013030758368247242	1	7	1	2	1	71
her9	4	101	107.5	0.012788859883982037	1	19	1	6	1	72
pmp22b	4	67	109.0	0.029722521540046256	1	7	3	4	1	73
lbx2	4	107	110.5	0.01093998240818587	1	7	1	4	1	74
raraa	4	112	113.0	0.010255553991556095	1	2	1	1	1	75
ved	4	92	114.5	0.014663814125639468	1	5	2	3	1	76
twist2	4	110	116.0	0.009465621789768883	1	5	1	3	1	77
pax3a	4	82	119.0	0.019629183592797826	2	6	2	2	1	78
fbln2	4	85	119.5	0.018318961323747676	1	4	2	3	1	79
her6	4	115	122.5	0.00861936080726563	1	13	1	3	1	80
klf7a	4	119	122.5	0.00791362114348932	1	2	1	1	1	81
chrd	4	109	124.5	0.008686759328089566	1	4	1	1	1	82
etv4	4	124	129.0	0.006908690782799837	1	1	1	1	1	83
ripply1	4	127	130.5	0.006215098517539177	1	2	1	1	1	84
bmp2b	4	130	132.0	0.006037669683749319	1	3	1	2	1	85
lef1	4	123	133.0	0.006763319894930254	1	3	1	1	1	86
efemp2b	4	131	135.0	0.006063238281828761	1	4	1	3	1	87
arl4d	4	133	136.0	0.005146487169309156	1	4	1	1	1	88
bmp7a	4	132	136.5	0.004976675663093703	1	3	1	1	1	89
aplnra	3	2	2.0	0.7808841514925642	4	6	8	1	4	90
zic2a	3	20	24.0	0.29801751645377705	3	14	6	6	2	91
tfap2a	3	15	28.0	0.28523900919537254	2	11	5	6	2	92
ephb3a	3	21	29.0	0.2325756356859777	2	2	5	1	4	93
gli1	3	26	41.0	0.18856572392175477	2	5	5	1	2	94
klf2b	3	27	43.0	0.20092004798122767	2	6	5	2	3	95
tcf7l1b	3	23	43.0	0.16446479472936623	2	12	3	3	1	96
aldob	3	33	47.0	0.14910369534464607	1	4	5	1	3	97
prdm1a	3	8	50.0	0.2557703871691473	2	4	4	2	2	98
tcf7l2	3	35	51.0	0.14037667211914315	2	9	5	2	1	99
pax6a	3	52	52.0	0.137145493774772	2	11	3	9	2	100
fzd7a	3	26	52.0	0.13618448265515806	2	7	4	1	3	101
tdgf1	3	34	55.0	0.12041236217901034	3	1	3	1	3	102
