gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
tbx16	20	7	3	10	2	0.2149165797120206	0.9182958340544894	0.5715325385422729	0.35	1.2557853404324422	1
foxa3	20	5	7	8	3	0.1368608830393825	0.9709505944546688	0.5609211187511584	0.35	1.0915020977973395	2
zgc:174154	14	6	6	2	2	0.1251127048485633	0.9709505944546688	0.4798438517197721	0.35	0.9978072387857534	3
bambia	20	3	7	10	3	0.13956479412125838	0.8649735207179272	0.541246704432171	0.35	0.8711029660931499	4
xbp1	20	1	9	10	3	0.1527178530372749	0.9709505944546688	0.6930766007170029	0.35	0.7614224705360203	5
dbx1a	20	1	7	12	2	0.1908717787159897	0.7219280948873623	0.6834448077599279	0.35	0.7508408644314707	6
gata5	20	5	6	9	2	0.10990437629323889	0.7219280948873623	0.36825850112245895	0.35	0.7165979548100904	7
pax6b	20	7	5	8	3	0.0969605595543105	0.8649735207179272	0.32400185110286284	0.35	0.7119048303456406	8
clic4	20	2	5	13	2	0.1325821362994116	0.9709505944546688	0.46820975613407484	0.35	0.649076544749987	9
meis1b	20	1	8	11	2	0.11635021918717599	0.9709505944546688	0.5038687126717469	0.35	0.5535563596165621	10
foxg1a	20	2	6	12	1	0.19806945113098628	0.0	0.3854253551736016	0.35	0.5343129965097949	11
pcdh10b	20	2	7	11	2	0.18386464707975148	0.0	0.3823357851839373	0.35	0.5300299430548381	12
sox10	20	3	8	9	2	0.08359181745867889	0.7219280948873623	0.31626652592902266	0.35	0.5090113372639915	13
foxo1a	20	1	7	12	1	0.22077908752430359	0.0	0.4590972061322052	0.35	0.504369832350037	14
tfap2a	20	6	5	9	2	0.077938547574662	0.7219280948873623	0.24046231761043657	0.35	0.5000273324477525	15
dlx3b	20	5	8	7	3	0.0678271347913268	0.7219280948873623	0.25662143659905895	0.35	0.4993622579432634	16
bhlha15	20	4	5	11	2	0.0861831173469886	0.7219280948873623	0.26589913182942676	0.35	0.4764272873148943	17
tram1	20	1	7	12	5	0.1053426701594632	0.9609640474436812	0.4295568702803723	0.35	0.47191645637183016	18
lhx1a	20	1	7	12	3	0.113139469489896	0.7219280948873623	0.40511270705261454	0.35	0.44506179826360637	19
zic2a	20	6	6	8	3	0.0527559177557513	0.9602297178607612	0.2012338029754444	0.35	0.41845392949735444	20
id3	20	1	7	12	4	0.09650486015774029	0.8649735207179272	0.37425582755979847	0.35	0.41116205126284766	21
efnb2b	20	2	7	11	3	0.0798540316721757	0.7219280948873623	0.28592924366389527	0.35	0.3963820981705332	22
emx2	20	2	6	12	1	0.1464044947459476	0.0	0.28488999219345473	0.35	0.39494138971727594	23
sp8b	20	2	7	11	2	0.06701247541514929	0.9709505944546688	0.27464905855775945	0.35	0.38074444116550854	24
gli2a	20	3	6	11	4	0.0640017417494016	0.8649735207179272	0.23226685863987515	0.35	0.37381908809698694	25
