gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	initial_spearman_rho	link_pvalue
her8a	7-26503945-26504445	0	0.5278598184767854	0.5603279178491053	1	0.03246809937231987	0.07145256041891096	0.0012999208920419143	core_concordant	True	0.4821496317692246	0.0
her8a	7-26493099-26493599	1	0.4341168487842762	0.4488205940485632	2	0.014703745264287027	0.10337104637467837	0.0006821810620276731	core_concordant	True	0.428144997820316	0.0
her8a	7-26432015-26432515	2	0.35006221334597165	0.3430358195241384	1	-0.007026393821833232	0.04881995637930098	0.0	core_concordant	True	0.3799740902809471	0.0
her8a	7-26504494-26504994	3	0.2714471202991633	0.27607330886306325	2	0.004626188563899958	0.061408235654139026	7.842858342079119e-05	unsupported	True	0.2727901481975908	0.0
her8a	7-26419500-26420000	4	0.21681466312836106	0.2932523458290656	5	0.07643768270070456	0.12716720647017543	0.002850520301346933	unsupported	True	0.2500729331748497	0.0
her8a	7-26492500-26493000	5	0.2297906240190829	0.2681716626656572	5	0.03838103864657427	0.0801397900908491	0.0008248553743343733	unsupported	True	0.2230049647881097	1.406639157089712e-251
her8a	7-26450340-26450840	6	0.17856974164100142	0.2051281825237254	5	0.026558440882723966	0.027489629799068577	0.0001497603338366838	unsupported	True	0.1858499943137748	4.178839018298862e-174
her8a	7-26494807-26495307	7	0.10227168221968679	0.07906271664975485	5	-0.023208965569931933	0.01764671785563765	0.0	unsupported	True	0.1751834808903088	1.182473746886166e-154
her8a	7-26507179-26507679	8	0.11771321073703594	0.18442328754455098	2	0.06671007680751503	0.07826926813500551	0.0009629383275180233	unsupported	True	0.1417074331330522	1.910738009036429e-101
her8a	7-26358978-26359478	9	0.10377957790890147	0.08771739418695246	2	-0.016062183721949008	0.019678320154829357	0.0	unsupported	True	0.1411339885808858	1.2319847313421822e-100
her8a	7-26440758-26441258	10	0.1099113757759219	0.12602443644185304	5	0.016113060665931142	0.021291455110366855	4.323526741278743e-05	unsupported	True	0.1271587495384296	5.875793945501516e-82
her8a	7-26482085-26482585	11	0.08326955719580391	0.11967717929436476	2	0.036407622098560855	0.06067404856194968	0.00026436662950935787	unsupported	True	0.1250284331997138	2.7568992083224433e-79
her8a	7-26417778-26418278	12	0.09667357696213953	0.09436729494546281	3	-0.0023062820166767223	0.030701202884581683	0.0	unsupported	True	0.1216735095092469	3.577267015422028e-75
her8a	7-26474860-26475360	13	0.0562753303764123	0.05729360660260388	3	0.0010182762261915779	0.07021345991854715	4.096303630943296e-06	unsupported	True	0.1184808797805245	2.2980057000919498e-71
her8a	7-26432655-26433155	14	0.10839575195911183	0.10544533497113884	4	-0.0029504169879729925	0.037352947325295	0.0	unsupported	True	0.1179367200595055	1.0000805383004352e-70
her8a	7-26425451-26425951	15	0.07609894644328395	0.13068343372579097	0	0.05458448728250702	0.03961744872416759	0.0002826026805377631	unsupported	True	0.1157214627503857	3.7076569613396037e-68
