gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
dnmt3bb.2	19	0	0	19	0	0.0	0.0	0.0
rpl31	20	0	0	20	0	0.0	0.0	0.0
cldnd	20	0	0	20	0	0.0	0.0	0.0
rbm4.3	19	0	0	19	0	0.0	0.0	0.0
dynll1	20	0	0	20	0	0.0	0.0	0.0
PCDH8	20	0	0	20	0	0.0	0.0	0.0
mibp2	20	0	0	20	0	0.0	0.0	0.0
zgc:113372	20	0	0	20	0	0.0	0.0	0.0
drll.3	16	0	0	16	0	0.0	0.0	0.0
dlgap5	20	0	0	20	0	0.0	0.0	0.0
uhrf1	20	0	0	20	0	0.0	0.0	0.0
coq10b	20	0	0	20	0	0.0	0.0	0.0
elob	20	0	0	20	0	0.0	0.0	0.0
rpl6	20	0	1	19	1	0.006051388340074496	0.0	0.004194502766395964
si:ch211-113a14.18	20	0	0	20	0	0.0	0.0	0.0
twist2	20	3	1	16	1	0.008063510060558577	0.0	0.005589199263892931
gmnn	20	0	0	20	0	0.0	0.0	0.0
nkx2.5	20	0	0	20	0	0.0	0.0	0.0
nckap5l	20	0	0	20	0	0.0	0.0	0.0
mcm5	20	0	0	20	0	0.0	0.0	0.0
mixl1	20	0	0	20	0	0.0	0.0	0.0
tbx3b	20	0	1	19	1	0.028994635576228257	0.0	0.0200975499010257
si:ch211-163l21.7	20	0	0	20	0	0.0	0.0	0.0
tmed10	20	0	0	20	0	0.0	0.0	0.0
irf2a	20	0	0	20	0	0.0	0.0	0.0
si:ch211-114n24.6	20	0	0	20	0	0.0	0.0	0.0
si:ch211-161h7.4	17	0	0	17	0	0.0	0.0	0.0
cdh2	12	0	1	11	1	0.00589484724828831	0.0	0.004085996749982594
acvr1ba	20	0	0	20	0	0.0	0.0	0.0
fosab	20	0	0	20	0	0.0	0.0	0.0
C7H16orf87	20	0	0	20	0	0.0	0.0	0.0
dynll2b	20	0	0	20	0	0.0	0.0	0.0
pcdh7b	16	0	0	16	0	0.0	0.0	0.0
ppp1r7	20	0	0	20	0	0.0	0.0	0.0
ube2c	20	0	0	20	0	0.0	0.0	0.0
chaf1a	20	0	0	20	0	0.0	0.0	0.0
hes6	20	0	0	20	0	0.0	0.0	0.0
kif15	20	0	0	20	0	0.0	0.0	0.0
cdt1	17	0	0	17	0	0.0	0.0	0.0
mespaa	20	0	0	20	0	0.0	0.0	0.0
plekhg5b	20	0	0	20	0	0.0	0.0	0.0
igfbp1a	20	0	0	20	0	0.0	0.0	0.0
rpl4	20	0	0	20	0	0.0	0.0	0.0
pdap1a	20	0	0	20	0	0.0	0.0	0.0
snrpc	20	0	0	20	0	0.0	0.0	0.0
aplnrb	20	0	0	20	0	0.0	0.0	0.0
rrp8	19	0	0	19	0	0.0	0.0	0.0
cbx5	20	0	0	20	0	0.0	0.0	0.0
apex1	20	0	0	20	0	0.0	0.0	0.0
lft2	20	0	0	20	0	0.0	0.0	0.0
