gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
tbx16	0.7457446149637432	4	20	7	3	2	0.2149165797120206	0.9182958340544894	13	0.0142857142857142	12.12356818416772	0.38963292547274747	1	True	True	True
foxa3	0.704428612065727	4	20	5	7	3	0.1368608830393825	0.9709505944546688	15	0.01	3.582673351156932	0.667230255839822	2	True	True	True
aplnra	0.5856631136194231	3	20	0	9	4	0.2114792638022894	0.9602297178607612	12	0.0166666666666666	5.257057166257339	0.8118798665183538	3	False	True	True
pcdh10b	0.5742601445911288	4	20	2	7	2	0.18386464707975148	0.0	12	0.025	6.157603724512522	0.6820022246941045	4	True	True	True
xbp1	0.5397094275153448	4	20	1	8	2	0.1527178530372749	0.9709505944546688	10	0.025	11.492118480739332	0.9422914349276974	5	True	True	True
zic3	0.5195130982887617	2	20	0	11	3	0.18751577659801869	0.7219280948873623	12	0.025	3.8952149184252494	0.6712347052280312	6	False	True	True
pax6b	0.5147903147503047	4	20	7	5	3	0.0969605595543105	0.8649735207179272	18	0.0111111111111111	4.050303871968659	0.575083426028921	7	True	True	True
lhx1a	0.492469631991185	4	20	1	7	3	0.113139469489896	0.7219280948873623	15	0.0166666666666666	1.6993002481893544	0.36137931034482756	8	True	True	True
dbx1a	0.48267539595846476	4	20	1	7	2	0.1908717787159897	0.7219280948873623	13	0.02	0.520285680450591	0.24809788654060067	9	True	True	True
bambia	0.4526419203326141	4	20	3	7	3	0.13956479412125838	0.8649735207179272	11	0.04	7.0799895117412674	0.8741713014460512	10	True	True	True
efnb2b	0.44066329915677577	4	20	2	7	3	0.0798540316721757	0.7219280948873623	11	0.025	5.107188004032881	0.8206451612903226	11	True	True	True
zgc:174154	0.42426671798675303	4	14	6	6	2	0.1251127048485633	0.9709505944546688	12	0.007	0.5156078176319076	0.2903225806451613	12	True	True	True
id3	0.42077692323929394	4	20	1	7	4	0.09650486015774029	0.8649735207179272	8	0.02	5.711102446514128	0.734238042269188	13	True	True	True
gata5	0.4044577500097326	4	20	5	6	2	0.10990437629323889	0.7219280948873623	15	0.0111111111111111	1.8379239219823718	0.4564182424916574	14	True	True	True
clic4	0.35310613010516084	4	20	2	5	2	0.1325821362994116	0.9709505944546688	7	0.0142857142857142	4.9386341022321085	0.8751946607341491	15	True	True	True
foxo1a	0.3496414452568204	4	20	1	7	1	0.22077908752430359	0.0	8	0.0166666666666666	0.3275104217502301	0.17877641824249166	16	True	True	True
dlx3b	0.3447217852569056	4	20	5	7	3	0.0678271347913268	0.7219280948873623	14	0.01	8.732623440442492	0.7393548387096774	17	True	True	True
