gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank	rna_mean	rna_detected_fraction	passes_expression_filter	passes_stability_filter	priority_score	priority_eligible	priority_rank
foxa3	4	2	3.5	0.704428612065727	3	9	7	5	4	1	3.582673351156932	0.667230255839822	True	True	1.408857224131454	True	1
tbx16	4	1	7.0	0.7457446149637432	2	16	3	7	1	5	12.12356818416772	0.38963292547274747	True	True	1.1186169224456148	True	2
id3	4	5	10.0	0.42077692323929394	4	3	7	1	5	9	5.711102446514128	0.734238042269188	True	True	1.0519423080982349	True	3
pax6b	4	1	6.5	0.5147903147503047	3	17	5	7	1	4	4.050303871968659	0.575083426028921	True	True	1.0295806295006094	True	4
lhx1a	4	2	9.0	0.492469631991185	3	4	7	1	5	6	1.6993002481893544	0.36137931034482756	True	True	0.98493926398237	True	5
bambia	4	4	10.5	0.4526419203326141	3	9	7	3	3	10	7.0799895117412674	0.8741713014460512	True	True	0.9052838406652282	True	6
efnb2b	4	4	9.0	0.44066329915677577	3	7	7	2	4	8	5.107188004032881	0.8206451612903226	True	True	0.8813265983135515	True	7
pcdh10b	4	1	5.5	0.5742601445911288	2	5	7	2	5	2	6.157603724512522	0.6820022246941045	True	True	0.8613902168866933	True	8
xbp1	4	3	6.0	0.5397094275153449	2	5	8	1	4	3	11.492118480739332	0.9422914349276974	True	True	0.8095641412730173	True	9
foxc1a	4	7	14.5	0.3128679809910047	4	10	4	5	2	13	8.448755045179666	0.6197552836484983	True	True	0.7821699524775118	True	10
dbx1a	4	2	9.0	0.48267539595846476	2	8	7	1	1	7	0.520285680450591	0.24809788654060067	True	True	0.7240130939376972	True	11
dlx3b	4	9	12.5	0.3447217852569056	3	9	7	5	4	12	8.732623440442492	0.7393548387096774	True	True	0.6894435705138112	True	12
zgc:174154	4	3	16.5	0.42426671798675303	2	10	6	6	2	15	0.5156078176319076	0.2903225806451613	True	True	0.6364000769801296	True	13
gli2a	4	16	20.5	0.25447580386947954	4	9	6	3	2	19	7.160039587172108	0.917686318131257	True	True	0.6361895096736989	True	14
gata5	4	3	21.5	0.4044577500097326	2	10	6	5	1	20	1.8379239219823718	0.4564182424916574	True	True	0.6066866250145989	True	15
clic4	4	8	18.0	0.35310613010516084	2	6	5	2	1	16	4.9386341022321085	0.8751946607341491	True	True	0.5296591951577413	True	16
tram1	4	16	21.5	0.22828478452434534	3	4	4	1	1	21	6.722259447417378	0.9385094549499444	True	True	0.45656956904869067	True	17
cnn3a	4	18	24.5	0.18870253392730388	3	5	4	1	1	23	2.5963947915262082	0.7853170189098999	True	True	0.37740506785460776	True	18
bhlha15	4	10	19.0	0.24891010616875808	2	6	5	4	3	18	0.5223262240903201	0.32048943270300334	True	True	0.3733651592531371	True	19
meis1b	4	11	18.0	0.2408400278866964	2	8	3	1	1	17	17.273227852329086	0.9492769744160178	True	True	0.36126004183004456	True	20
fn1a	4	15	27.0	0.17604854004564274	3	11	4	1	1	25	36.14619468310427	0.9343715239154616	True	True	0.3520970800912855	True	21
foxo1a	4	8	12.0	0.3496414452568204	1	6	7	1	2	11	0.3275104217502301	0.17877641824249166	True	True	0.3496414452568204	True	22
sox10	4	13	23.0	0.2161132831561829	2	8	7	3	2	22	1.0078918218575694	0.4357285873192436	True	True	0.3241699247342743	True	23
pitx2	4	10	16.0	0.30137590206290227	1	8	7	3	2	14	0.9531894793419136	0.4585984427141268	True	True	0.30137590206290227	True	24
tuba8l2	4	8	27.0	0.1989574165106286	2	7	3	4	3	24	15.276080947240084	0.8447608453837597	True	True	0.2984361247659429	True	25
grhl2b	4	18	29.5	0.14834027777674974	3	9	6	1	2	28	3.6921889827660244	0.7190211345939933	True	True	0.2966805555534995	True	26
irx1b	3	20	20.0	0.24929576012868748	2	4	5	2	3	49	6.733966802957287	0.5772191323692992	True	True	0.28045773014477343	True	27
zic2b	4	29	32.5	0.1316252149173588	3	8	4	3	1	31	16.434188591682748	0.899888765294772	True	True	0.2632504298347176	True	28
fezf2	4	17	27.0	0.17110708263628674	2	14	3	7	1	26	1.3257081790809584	0.30407119021134593	True	True	0.2566606239544301	True	29
shha	4	21	29.0	0.15701983792974133	2	4	4	1	1	27	1.6729077001271546	0.4812013348164627	True	True	0.235529756894612	True	30
sp8b	4	23	35.0	0.13771226142049972	2	10	5	2	1	34	7.7546838732761385	0.7318353726362625	True	True	0.20656839213074957	True	31
nrarpa	4	16	36.5	0.13148200535198143	2	5	3	4	2	36	12.889659225781493	0.9516796440489432	True	True	0.19722300802797216	True	32
foxg1a	4	10	35.0	0.18655929946663863	1	7	6	2	1	33	1.1813325755110766	0.2925027808676307	True	True	0.18655929946663863	True	33
mych	4	24	39.5	0.09076577111205941	3	4	3	2	2	40	20.480470513364256	0.9802002224694104	True	True	0.18153154222411882	True	34
