gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank
foxa3	4	2	3.5	0.704428612065727	3	9	7	5	4	1
pcdh10b	4	1	5.5	0.5742601445911288	2	5	7	2	5	2
xbp1	4	3	6.0	0.5397094275153449	2	5	8	1	4	3
pax6b	4	1	6.5	0.5147903147503047	3	17	5	7	1	4
tbx16	4	1	7.0	0.7457446149637432	2	16	3	7	1	5
lhx1a	4	2	9.0	0.492469631991185	3	4	7	1	5	6
dbx1a	4	2	9.0	0.48267539595846476	2	8	7	1	1	7
efnb2b	4	4	9.0	0.44066329915677577	3	7	7	2	4	8
id3	4	5	10.0	0.42077692323929394	4	3	7	1	5	9
bambia	4	4	10.5	0.4526419203326141	3	9	7	3	3	10
foxo1a	4	8	12.0	0.3496414452568204	1	6	7	1	2	11
dlx3b	4	9	12.5	0.3447217852569056	3	9	7	5	4	12
foxc1a	4	7	14.5	0.3128679809910047	4	10	4	5	2	13
pitx2	4	10	16.0	0.30137590206290227	1	8	7	3	2	14
zgc:174154	4	3	16.5	0.42426671798675303	2	10	6	6	2	15
clic4	4	8	18.0	0.35310613010516084	2	6	5	2	1	16
meis1b	4	11	18.0	0.2408400278866964	2	8	3	1	1	17
bhlha15	4	10	19.0	0.24891010616875808	2	6	5	4	3	18
gli2a	4	16	20.5	0.25447580386947954	4	9	6	3	2	19
gata5	4	3	21.5	0.4044577500097326	2	10	6	5	1	20
tram1	4	16	21.5	0.22828478452434534	3	4	4	1	1	21
sox10	4	13	23.0	0.2161132831561829	2	8	7	3	2	22
cnn3a	4	18	24.5	0.18870253392730388	3	5	4	1	1	23
tuba8l2	4	8	27.0	0.1989574165106286	2	7	3	4	3	24
fn1a	4	15	27.0	0.17604854004564274	3	11	4	1	1	25
fezf2	4	17	27.0	0.17110708263628674	2	14	3	7	1	26
shha	4	21	29.0	0.15701983792974133	2	4	4	1	1	27
grhl2b	4	18	29.5	0.14834027777674974	3	9	6	1	2	28
unc5b	4	14	30.0	0.17005507719607374	1	7	4	1	1	29
emx2	4	19	31.5	0.1615952409002805	1	6	6	2	2	30
zic2b	4	29	32.5	0.1316252149173588	3	8	4	3	1	31
msx3	4	17	34.0	0.11437515209838131	2	3	3	1	2	32
foxg1a	4	10	35.0	0.18655929946663863	1	7	6	2	1	33
sp8b	4	23	35.0	0.13771226142049972	2	10	5	2	1	34
lft1	4	28	36.0	0.11592760314559666	2	3	3	1	1	35
nrarpa	4	16	36.5	0.13148200535198143	2	5	3	4	2	36
hdlbpa	4	11	36.5	0.12058889489923345	2	3	4	1	3	37
lhfpl6	4	24	37.5	0.11936102163667284	2	12	5	3	1	38
spon1b	4	28	39.0	0.08435184891697789	2	3	3	1	2	39
mych	4	24	39.5	0.09076577111205941	3	4	3	2	2	40
msx1b	4	35	40.5	0.09192894479435364	2	7	4	2	1	41
foxa	4	32	41.0	0.10208270551245098	2	5	5	1	1	42
csrp1a	4	34	41.0	0.09307521230279149	2	4	2	2	1	43
lmo2	4	27	42.0	0.08319863496692201	2	4	3	2	2	44
anp32e	4	22	42.0	0.06959484567141357	1	1	2	1	2	45
nop58	4	20	44.5	0.05886157480643237	1	2	1	1	1	46
fscn1a	4	46	49.0	0.024052717610796047	2	6	2	1	1	47
ntd5	4	47	49.5	0.007475679160686849	1	3	1	3	1	48
irx1b	3	20	20.0	0.24929576012868748	2	4	5	2	3	49
fzd8a	3	25	34.0	0.17402996224742182	1	7	4	2	3	50
