gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
pax6b	20	11	4	5	2	0.0904163448232472	0.8112781244591328	0.2635762748282893	0.25	0.6760597967629262	1
pcdh10b	20	3	7	10	2	0.18386464707975148	0.0	0.3823357851839373	0.25	0.6153457079552886	2
xbp1	20	4	5	11	2	0.0943375885477028	0.7219280948873623	0.2910579666400561	0.25	0.5215058678215839	3
foxa3	20	7	5	8	3	0.0668862408674166	0.9602297178607612	0.23492187897315342	0.25	0.5161761262338176	4
lhx1a	20	3	5	12	2	0.10289603496064481	0.7219280948873623	0.31746317848505873	0.25	0.5109372752556871	5
id3	20	2	6	12	4	0.0875096818151163	0.8649735207179272	0.317578839890902	0.25	0.440257754951754	6
efnb2b	20	7	4	9	3	0.0625940556570553	0.946394630357186	0.19608222079050416	0.25	0.43083667469956277	7
foxo1a	20	3	5	12	1	0.1328099595759527	0.0	0.23796350267800845	0.25	0.38298748298560037	8
bambia	20	7	4	9	2	0.0579398401266811	0.8112781244591328	0.16890272720702518	0.25	0.3711172233983907	9
pitx2	20	4	6	10	1	0.1047276083450333	0.0	0.2037905159648902	0.25	0.36514358671896313	10
meis1b	20	4	2	14	2	0.0798798180623046	1.0	0.17551389947964133	0.25	0.3144786913737883	11
foxc1a	20	7	3	10	3	0.0494434044282739	0.9999999999999998	0.13708622550697264	0.25	0.3012092238981756	12
dbx1a	20	5	3	12	1	0.1083941952692814	0.0	0.15026626167993312	0.25	0.2924046436635834	13
unc5b	20	2	4	14	1	0.1151848044376249	0.0	0.1853827911982211	0.25	0.25699511808676	14
fn1a	20	3	3	14	2	0.0571736726610022	0.9182958340544894	0.15204324541881717	0.25	0.24470416350656668	15
tram1	20	2	3	15	2	0.0662907903130918	0.9182958340544894	0.17628860332870716	0.25	0.2443878967242879	16
fezf2	20	9	3	8	2	0.0370270828908382	0.9182958340544894	0.0984669619615777	0.25	0.23611346261448415	17
cnn3a	20	2	3	15	3	0.060918282616062504	0.9999999999999998	0.16890134335951057	0.25	0.23414697988486396	18
dlx3b	20	8	5	7	1	0.0529110627763116	0.0	0.09480389775637636	0.25	0.2182940417315639	19
irx1b	20	4	3	13	2	0.0437118720845613	0.9182958340544894	0.11624397359384885	0.25	0.20828124042747465	20
shha	20	1	4	15	2	0.0643202642508039	0.8112781244591328	0.18750255476860608	0.25	0.20599261082545592	21
gli2a	20	5	4	11	4	0.0320286352368507	1.0	0.10309619966742051	0.25	0.20061594126186658	22
tuba8l2	20	5	3	12	2	0.038730904358524595	0.9182958340544894	0.1029979730634409	0.25	0.20042480111627542	23
bhlha15	20	5	4	11	1	0.061439296653341594	0.0	0.0988827333471735	0.25	0.19241691438659517	24
fzd8a	20	7	3	10	1	0.060225711924937704	0.0	0.08349056483597209	0.25	0.183447521033281	25
grhl2b	20	4	4	12	3	0.0320245732970934	0.946394630357186	0.10032022028364228	0.25	0.17974970464826043	26
clic4	20	5	2	13	1	0.0760383448447966	0.0	0.08353666005647696	0.25	0.16255483462208212	27
lft1	20	1	3	16	2	0.0507458138906869	0.9182958340544894	0.13494949469324652	0.25	0.1482571732195525	28
msx3	20	2	3	15	2	0.0360188879336056	0.9182958340544894	0.09578584622809279	0.25	0.13278737850110198	29
tbx16	20	16	1	3	1	0.0651977104998637	0.0	0.04519160921194406	0.25	0.13062055096008326	30
hdlbpa	20	2	3	15	2	0.0306664698108372	0.9182958340544894	0.08155203922658302	0.25	0.11305513211764016	31
zic2b	20	5	2	13	2	0.0243464672535095	1.0	0.053494656220722525	0.25	0.10409579446012891	32
emx2	20	5	3	12	1	0.037943202130270005	0.0	0.05260044715602553	0.25	0.10235574396575776	33
mych	20	2	3	15	3	0.025892889930572302	0.9999999999999998	0.07179033460770073	0.25	0.09952253604956567	34
msx1b	20	3	3	14	2	0.0218194792429917	0.9182958340544894	0.058025036403089474	0.25	0.093387693457501	35
gata5	20	9	2	9	2	0.0168970942811195	1.0	0.03712671084004305	0.25	0.08902596441789125	36
nrarpa	20	5	2	13	2	0.0203241705302444	1.0	0.0446567670030255	0.25	0.08689805613518575	37
anp32e	20	1	2	17	1	0.0576617967544863	0.0	0.06334795850116158	0.25	0.06959484567141357	38
sox10	20	8	2	10	1	0.0269996247382748	0.0	0.02966211952689619	0.25	0.06829955424923877	39
zgc:174154	14	10	2	2	2	0.0113973716506437	1.0	0.025042585107829415	0.25	0.062228486262327264	40
lmo2	20	4	2	14	2	0.0156571571560957	1.0	0.03440229051458914	0.25	0.06164062979264958	41
nop58	20	1	1	18	1	0.072547562597311	0.0	0.050286138470822264	0.25	0.05524496967371153	42
spon1b	20	2	2	16	2	0.015480233942342	1.0	0.0340135504810282	0.25	0.047152793233516135	43
sp8b	20	7	1	12	1	0.0298122102539647	0.0	0.020664249483795923	0.25	0.04540399683800369	44
foxa	20	4	2	14	2	0.010744942621515	1.0	0.023609052010060225	0.25	0.04230174249852305	45
lhfpl6	20	10	2	8	1	0.011918660660210599	0.0	0.013093987065772531	0.25	0.03253733553197623	46
foxg1a	20	7	1	12	1	0.0115450110622051	0.0	0.008002391867300843	0.25	0.017583052088308897	47
csrp1a	20	3	1	16	1	0.0076807916799876	0.0	0.005323919097451691	0.25	0.00856851723817069	48
ntd5	20	3	1	16	1	0.0067011750929171	0.0	0.004644900622094017	0.25	0.007475679160686849	49
fscn1a	20	2	1	17	1	0.0062887343438692	0.0	0.0043590184797434334	0.25	0.00604288273848572	50
