gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	permutation_pvalue	permutation_qvalue	initial_spearman_rho	link_pvalue
aplnra	8-40335980-40336480	0	0.1837821912209651	0.255930560821381	1	0.0721483696004159	0.08382486415558943	0.0015478238277265345	unsupported	True	0.05	0.08333333333333333	0.2983642183677158	0.0
aplnra	8-40353404-40353904	1	0.24407612189135522	0.39290024056273276	2	0.14882411867137754	0.19853413280632387	0.011608892706140269	regional_candidate	True	0.005	0.016666666666666666	0.2971862371261874	0.0
aplnra	8-40335354-40335854	2	0.18853330066736543	0.30259450053423625	1	0.11406119986687083	0.19135974771962577	0.006604646172344838	regional_candidate	True	0.015	0.0375	0.2774241897575028	0.0
aplnra	8-40333178-40333678	3	0.30502780777022787	0.5130893993808073	1	0.20806159161057947	0.37238601465223437	0.039753769995669534	regional_candidate	True	0.005	0.016666666666666666	0.2763285478729305	0.0
aplnra	8-40292066-40292566	4	0.25625556258546833	0.45061808983144486	1	0.19436252724597652	0.37087156824452006	0.03248214497963352	regional_candidate	True	0.005	0.016666666666666666	0.2510083991953417	0.0
aplnra	8-40331734-40332234	5	0.21683965228824773	0.302337672689396	3	0.08549802040114826	0.10996270423970195	0.002842455907568379	unsupported	True	0.005	0.016666666666666666	0.2199023140959105	1.6071975956200586e-244
aplnra	8-40420808-40421308	6	0.2072809026897271	0.3324659787231304	3	0.1251850760334033	0.12967892243454074	0.005397208069986664	regional_candidate	True	0.02	0.044444444444444446	0.1941575509931341	4.160365686330945e-190
aplnra	8-40360525-40361025	7	0.10852883183338137	0.19991803880818873	2	0.09138920697480736	0.16799197828578794	0.003069272412940884	unsupported	True	0.105	0.16153846153846155	0.1824316546979033	9.731169226093188e-168
aplnra	8-40336490-40336990	8	0.08812389209615903	0.12030665904812368	5	0.03218276695196465	0.032519094428581696	0.00012590746788568565	unsupported	True	0.37	0.38947368421052636	0.1765463850225853	4.5232635792537e-157
aplnra	8-40316417-40316917	9	0.09581830886702332	0.16520571108960078	0	0.06938740222257746	0.09309425479264967	0.0010671576076898128	unsupported	True	0.195	0.21666666666666667	0.1758585877622543	7.548492798098223e-156
aplnra	8-40412827-40413327	10	0.09254010285889787	0.17193130487538064	3	0.07939120201648277	0.0952219816964374	0.001299764144116464	unsupported	True	0.13	0.17333333333333334	0.1653659956642571	7.955868981255322e-138
aplnra	8-40368674-40369174	11	0.1721818178951421	0.2812478981518771	4	0.10906608025673503	0.07662683064746198	0.0023504978262564036	unsupported	True	0.04	0.07272727272727274	0.157966547996563	8.113374194821088e-126
aplnra	8-40340781-40341281	12	0.07167944083298268	0.10337289119156286	1	0.03169345035858018	0.05242822894907312	0.00017176764931270763	unsupported	True	0.405	0.4050000000000001	0.154694858461314	1.0843720575658907e-120
aplnra	8-40349538-40350038	13	0.14458579340213987	0.31555464429985725	0	0.17096885089771738	0.17872832592928337	0.0096423958525462	regional_candidate	True	0.01	0.028571428571428574	0.1539619427598498	1.4726755410082217e-119
aplnra	8-40350504-40351004	14	0.2982078637393343	0.5648938164752739	0	0.26668595273593965	0.18665108474894238	0.028118845115567757	regional_candidate	True	0.005	0.016666666666666666	0.1209734504607606	2.4967195185316517e-74
aplnra	8-40364050-40364550	15	0.07787340826107746	0.16916985640090573	1	0.09129644813982828	0.14525378234879113	0.0022433875867966155	unsupported	True	0.175	0.21666666666666667	0.1140158416581852	3.2603044252712255e-66
aplnra	8-40392151-40392651	16	0.06476913849050975	0.5039563799421167	0	0.439187241451607	0.4496230331128191	0.09951561100527852	regional_candidate	True	0.005	0.016666666666666666	0.1130102781449325	4.422434155979156e-65
aplnra	8-40291109-40291609	17	0.04648986134697288	0.15678613075169626	2	0.11029626940472337	0.1818695949297045	0.0031450573224275275	unsupported	True	0.195	0.21666666666666667	0.1106832315807871	1.686757300380914e-62
aplnra	8-40426320-40426820	18	0.12679711174821942	0.2813256664882193	0	0.15452855473999985	0.15552672105388837	0.006761189605980621	regional_candidate	True	0.025	0.05	0.1068615092242129	2.22823775158624e-58
aplnra	8-40388470-40388970	19	0.048848370965113894	0.17976702567850808	0	0.1309186547133942	0.13138722416619594	0.0030921795538809975	unsupported	True	0.115	0.1642857142857143	0.1039989461055599	2.1793214762550435e-55
prdm1a	16-7503827-7504327	0	0.07616825744501511	0.11968757955739998	5	0.043519322112384864	0.05337775953862019	0.0002780299279066182	unsupported	True	0.37	0.41111111111111115	0.2420950345114849	2.00743917915858e-297
prdm1a	16-7487975-7488475	1	0.16610698886178435	0.26734685380718193	1	0.10123986494539758	0.04833478766175142	0.0013082370661138536	unsupported	True	0.06	0.17142857142857143	0.2182174622185244	9.844592799405263e-241
prdm1a	16-7482405-7482905	2	0.31700403765831353	0.5713204690277144	0	0.25431643136940085	0.4986601659394321	0.07245341865105548	regional_candidate	True	0.005	0.03333333333333333	0.2005948425445055	5.0298557041208874e-203
prdm1a	16-7345241-7345741	3	0.14211808164285492	0.26710935069850256	0	0.12499126905564764	0.18155012151280897	0.006061293488462689	regional_candidate	True	0.045	0.15	0.1929850689372106	8.376895819864892e-188
prdm1a	16-7434971-7435471	4	0.021682475222409247	0.11541903099200268	3	0.09373655576959343	0.10071686742621286	0.0010896540196381754	unsupported	True	0.26	0.4	0.1923995809619178	1.1693999804841269e-186
prdm1a	16-7419147-7419647	5	0.08150643439158398	0.14490216476295792	3	0.06339573037137394	0.018681440386779963	0.00017161104729183075	unsupported	True	0.2	0.36363636363636365	0.1903439442015438	1.142970403140322e-182
prdm1a	16-7383665-7384165	6	0.11460519976749636	0.15027967286267424	3	0.03567447309517788	0.0173692318051491	9.311902489468428e-05	unsupported	True	0.2	0.36363636363636365	0.1812891624293247	1.2249067128691437e-165
prdm1a	16-7435493-7435993	7	0.04616756365778867	0.06898399291503247	4	0.022816429257243802	0.032463817491781635	5.109702268805189e-05	unsupported	True	0.68	0.68	0.1677406678130829	8.399243972138907e-142
prdm1a	16-7445858-7446358	8	0.0645162651273349	0.11711699377951262	3	0.05260072865217773	0.05154837940226045	0.00031756065769993774	unsupported	True	0.32	0.4	0.159085257048545	1.3510299300689994e-127
prdm1a	16-7518756-7519256	9	0.04694594474161123	0.10743890913834442	4	0.06049296439673319	0.05909389246743381	0.00038406882335015086	unsupported	True	0.37	0.41111111111111115	0.1584279435136749	1.5040538167449734e-126
prdm1a	16-7474472-7474972	10	0.12479219968650247	0.1610095774160079	2	0.03621737772950544	0.04807323151190128	0.0002803315829880718	unsupported	True	0.1	0.25	0.1575022581161232	4.4002132551633415e-125
prdm1a	16-7399194-7399694	11	0.06972464665245953	0.08615618286513278	2	0.01643153621267325	0.02077639413639916	2.9412693212711398e-05	unsupported	True	0.44	0.46315789473684216	0.1556545643072508	3.4928140827391497e-122
prdm1a	16-7518074-7518574	12	0.059746711423038126	0.11912749615246283	4	0.05938078472942471	0.052262446070797414	0.0003696984917427245	unsupported	True	0.26	0.4	0.1547773869373648	8.077089745463741e-121
prdm1a	16-7492797-7493297	13	0.20415318047820613	0.3343276631378649	5	0.13017448265965875	0.17969004255780976	0.007820277869474432	regional_candidate	True	0.025	0.1	0.1525724336524725	1.997836541331852e-117
prdm1a	16-7487384-7487884	14	0.04111066807064346	0.12603620983617903	3	0.08492554176553557	0.08841327131109042	0.0009463485488182007	unsupported	True	0.315	0.4	0.15136732611558	1.3604301810618e-115
prdm1a	16-7525983-7526483	15	0.09633764364537882	0.13598263896272722	3	0.0396449953173484	0.03630240427426715	0.00019570738989983422	unsupported	True	0.305	0.4	0.1420133574583286	7.0469980668922244e-102
prdm1a	16-7499369-7499869	16	0.18609964273963056	0.37262284555354214	0	0.18652320281391158	0.23327993663630062	0.016213610318358742	regional_candidate	True	0.015	0.075	0.1368402353963772	1.1045827560796375e-94
prdm1a	16-7429681-7430181	17	0.31107745236844786	0.4514394993093528	5	0.14036204694090493	0.2321703180969429	0.014711465750261573	regional_candidate	True	0.005	0.03333333333333333	0.1357332056604296	3.524419977964931e-93
prdm1a	16-7493752-7494252	18	0.0842209431860399	0.19489952813342143	2	0.11067858494738153	0.15386210193577987	0.0033189907857589583	unsupported	True	0.19	0.36363636363636365	0.1263570673396255	6.02269871677414e-81
prdm1a	16-7456841-7457341	19	0.29955744840900855	0.6221459696425818	0	0.3225885212335733	0.5832257889736985	0.1170517526844511	regional_candidate	True	0.005	0.03333333333333333	0.1248195078408122	5.010865909042307e-79
zic3	14-31987918-31988418	0	0.29351043501148005	0.3394175548119837	0	0.04590711980050366	0.0633995025555193	0.000987870910040882	unsupported	True	0.005	0.025	0.3196392017245266	0.0
zic3	14-31939688-31940188	1	0.18322491975914332	0.41063014964365474	2	0.22740522988451142	0.3865358796306125	0.03609450536254044	regional_candidate	True	0.01	0.04	0.2267388871129324	3.232512148679908e-260
zic3	14-32061406-32061906	2	0.16091982347930844	0.2936875321655606	1	0.13276770868625215	0.1686571921880414	0.006576318463025872	regional_candidate	True	0.015	0.04285714285714286	0.2202264461913926	2.977333349242806e-245
zic3	14-32062275-32062775	3	0.1853321415756869	0.26646410723293745	2	0.08113196565725056	0.07669869761553733	0.0016581304903902426	unsupported	True	0.07	0.1076923076923077	0.213469150973374	3.1219270974240196e-230
zic3	14-31981416-31981916	4	0.1735812212699073	0.41529435862788255	1	0.24171313735797526	0.4510171146055816	0.045274046160396327	regional_candidate	True	0.005	0.025	0.2058356537134842	7.0491418664805585e-214
zic3	14-31950866-31951366	5	0.16470995672048222	0.3919627572122771	1	0.22725280049179486	0.35036821065229146	0.03120892022192673	regional_candidate	True	0.005	0.025	0.1960399618578419	7.739848541903632e-194
zic3	14-31987384-31987884	6	0.1257628681410201	0.2556900809064736	2	0.1299272127654535	0.1647105805732585	0.00547186659316625	regional_candidate	True	0.11	0.1375	0.1953427089442929	1.883682244653903e-192
zic3	14-32029036-32029536	7	0.2013295735301981	0.33172348738424795	2	0.13039391385404986	0.25052567466727105	0.010836418871897754	regional_candidate	True	0.02	0.044444444444444446	0.1937348968959701	2.8273900445970296e-189
zic3	14-31959438-31959938	8	0.14174479604900653	0.3213062003300702	1	0.17956140428106365	0.2995375370746264	0.01728157633558702	regional_candidate	True	0.05	0.09090909090909091	0.1816106813562641	3.1518257676630655e-166
zic3	14-32111337-32111837	9	0.21269129058564049	0.3203946633609343	4	0.10770337277529382	0.1468785922242122	0.005068425632639635	regional_candidate	True	0.015	0.04285714285714286	0.1780629335526357	8.754195071300663e-160
zic3	14-32080495-32080995	10	0.1557653707022288	0.21523097184921447	0	0.05946560114698568	0.060980531393459714	0.0007804800111511473	unsupported	True	0.14	0.15555555555555556	0.1745370638714563	1.6307033791667017e-153
zic3	14-32112035-32112535	11	0.16155569281238305	0.2747834934204003	0	0.11322780060801726	0.13979848975384243	0.004349568669866512	unsupported	True	0.09	0.11999999999999998	0.1722796042408531	1.435821786425006e-149
zic3	14-32057210-32057710	12	0.1504349650814853	0.20049713141486963	4	0.05006216633338434	0.06385257846353659	0.0006409088102586882	unsupported	True	0.19	0.19999999999999998	0.1707025475909561	7.596966685472579e-147
zic3	14-32095246-32095746	13	0.10035929672799497	0.2770285286265132	2	0.17666923189851824	0.32111666476334344	0.015716225830161218	regional_candidate	True	0.055	0.09166666666666667	0.1608379952890718	2.078127464333642e-130
zic3	14-31954507-31955007	14	0.14934684339361282	0.39556668364324293	1	0.24621984024963012	0.4418642679359578	0.043035973809643614	regional_candidate	True	0.005	0.025	0.1551780486673172	1.9283891600913596e-121
zic3	14-31980876-31981376	15	0.12982525921439386	0.3526259307428512	1	0.22280067152845734	0.4060613707542729	0.0319023310435117	regional_candidate	True	0.02	0.044444444444444446	0.1501911931859526	8.092844395051246e-114
zic3	14-31994734-31995234	16	0.10514699269921891	0.24773938135401471	4	0.1425923886547958	0.15392248470897418	0.005437427237470401	regional_candidate	True	0.09	0.11999999999999998	0.1498058549184922	3.064228136207044e-113
zic3	14-32107140-32107640	17	0.14644690678959826	0.2893280180519449	4	0.14288111126234665	0.18365042728396458	0.007592018443552009	regional_candidate	True	0.03	0.06	0.1480947827155279	1.0843913510542074e-110
zic3	14-32094616-32095116	18	0.0982839604772259	0.1344947312997599	1	0.03621077082253399	0.017800562795805233	8.669155138085571e-05	unsupported	True	0.385	0.385	0.1468109780746695	8.46392072876694e-109
zic3	14-32085479-32085979	19	0.0765993467323914	0.19231511779858973	1	0.11571577106619833	0.1928928801363505	0.004292617349851752	unsupported	True	0.135	0.15555555555555556	0.1451868671437455	1.9817142380717948e-106
xbp1	5-15942209-15942709	0	0.11650741104722717	0.4188302853331142	2	0.30232287428588706	0.33370250725632505	0.042254070764801185	regional_candidate	True	0.005	0.025	0.3728222177225747	0.0
xbp1	5-15961068-15961568	1	0.14925440107795998	0.24416994882469734	0	0.09491554774673736	0.0501888082885418	0.0011631519529042666	unsupported	True	0.06	0.10909090909090909	0.2859291865471227	0.0
xbp1	5-15925937-15926437	2	0.09519371211811319	0.329166555717826	2	0.23397284359971282	0.2171960510526323	0.016727578682594328	regional_candidate	True	0.01	0.03333333333333333	0.2747475763816968	0.0
xbp1	5-15976978-15977478	3	0.07416898144545443	0.28895165981173476	2	0.21478267836628034	0.2117741441143623	0.01314308699412139	regional_candidate	True	0.04	0.09999999999999999	0.2367713650186873	3.232561149154574e-284
xbp1	5-15937393-15937893	4	0.044101783602377695	0.12368147324176704	2	0.07957968963938934	0.0906793940824372	0.0008925149517744529	unsupported	True	0.455	0.45499999999999996	0.2346963106610202	3.702030980550045e-279
xbp1	5-16018203-16018703	5	0.0872735457057225	0.3043112421586229	2	0.21703769645290039	0.21764620419469483	0.014374881243170814	regional_candidate	True	0.045	0.09999999999999999	0.2145029988614979	1.6964513722351963e-232
xbp1	5-15927120-15927620	6	0.08767886365676116	0.23700256871851103	3	0.14932370506174986	0.16331239288766736	0.005779642188298202	regional_candidate	True	0.07	0.11666666666666668	0.1932115903120736	3.0139321528572285e-188
xbp1	5-15938584-15939084	7	0.06774704345485505	0.16039979020596246	2	0.0926527467511074	0.10642016638184229	0.0015815612956934651	unsupported	True	0.31	0.3875	0.1929271697026564	1.087595823966432e-187
xbp1	5-15942910-15943410	8	0.21388840931421596	0.3692478113493781	0	0.15535940203516216	0.13663066241656033	0.0078379708630153	regional_candidate	True	0.01	0.03333333333333333	0.184449540211408	1.757304135862745e-171
xbp1	5-15928698-15929198	9	0.029617287035205206	0.14145104432470085	2	0.11183375728949564	0.12332384973864821	0.0019508601959860193	unsupported	True	0.345	0.39444444444444443	0.1843711145366579	2.4612341360330344e-171
xbp1	5-15959453-15959953	10	0.12295359492475899	0.24265887138509212	0	0.11970527646033313	0.1335757289293616	0.003880047302164552	unsupported	True	0.05	0.1	0.1841635401048803	5.998878988911422e-171
