panel_id	enhancer	initial_rho	rectified_raw_rho	latent_state_rho	difference_structure_score	importance	distance
E28	chrX:13994034-13994535	0.3568157740368216	0.22564188398099674	0.3545171947750921	0.12282640814591335	0.0032421198554461	[55646]
E21	chrX:13955924-13956425	0.4643261597543149	0.25508402527955004	0.3373141355243572	0.1177508290838529	0.0077999646238592	[17536]
E10	chrX:13825354-13825855	0.4953155666240399	0.2481987600846178	0.33702132110176225	0.1160181111543557	0.041881437479993	[0]
E14	chrX:13854140-13854641	0.5315775244133305	0.22499390059122423	0.3375170725585924	0.10558967457975775	0.0241008984627533	[0]
E20	chrX:13666789-13667290	0.5045447506698236	0.15666509254699465	0.3055712339930586	0.10347244079816627	0.0074604292605149	[-103899]
E5	chrX:13785933-13786434	0.5517696209060616	0.2744432290592936	0.3488655117202914	0.10126950734666937	0.0573486738509721	[0]
E30	chrX:13885527-13886028	0.314352376239668	0.19728733663978276	0.3398473671065959	0.09933850382990615	0.002652108917184	[0]
E2	chrX:13802928-13803429	0.5597571949441735	0.2712959036716708	0.356525025468255	0.09174133348904308	0.1234074094784817	[0]
E18	chrX:13688834-13689335	0.3918621038733427	0.15924148228195997	0.3571358357411184	0.09093587807070638	0.0102786097308292	[-81855]
E3	chrX:13763470-13763971	0.5505357332151627	0.25172121497751315	0.36237930708229155	0.08794703429205508	0.0717993455701805	[-7219]
E1	chrX:13717999-13718500	0.5483123092385072	0.27985847896603383	0.3620134433094686	0.0877430253655342	0.1340130854756896	[-52689]
E11	chrX:13940009-13940510	0.3858960474245167	0.26990562929234546	0.3573299798256012	0.08477440195384595	0.0457330395174611	[1622]
E16	chrX:13764693-13765194	0.4483379986613982	0.2457624511115418	0.35416081965414425	0.08465695192192751	0.0097527557818672	[-5995]
E32	chrX:13645976-13646477	0.281773169873132	0.17901318591398907	0.3636809303473497	0.08379890181216298	0.0016788439320833	[-124713]
E15	chrX:13658582-13659083	0.3933631216117118	0.11155476196485167	0.3457384776468987	0.08296852640420589	0.0197775245237882	[-112107]
E9	chrX:13816827-13817328	0.4218785733337512	0.2454819063352807	0.36173147244480774	0.08107834290870498	0.0529542446973864	[0]
E26	chrX:13897570-13898071	0.2941486689589722	0.21944243712090664	0.3422520347996832	0.08083461918703709	0.0053863000839474	[0]
E6	chrX:13791614-13792115	0.4413402734551521	0.27298353888238924	0.3597549869256194	0.08027453839750559	0.0671205022116666	[0]
E24	chrX:13647559-13648060	0.3765717063617987	0.12768602024546352	0.35740975506371375	0.07892602135152149	0.0053105881016935	[-123129]
E13	chrX:13906031-13906532	0.4669507909149285	0.23714526263129967	0.34385982728047504	0.07873056679313882	0.0308810645020029	[0]
E17	chrX:13937935-13938436	0.3788456897404076	0.19927290903784367	0.3631935336363562	0.07852771617197268	0.0112392977878488	[0]
E8	chrX:13891656-13892157	0.4039122684796422	0.2287353656271049	0.3634744510798056	0.07845692836990831	0.055734580311944	[0]
E7	chrX:13864101-13864602	0.5343524490235358	0.2236241632751648	0.36682253606836673	0.07634536129499386	0.0431723924788874	[0]
E39	chrX:13915864-13916365	0.1556105201199505	0.1927269908055386	0.3518932511701341	0.07593311857441751	0.0005891464882816	[0]
E19	chrX:14026109-14026610	0.4428666959754381	0.21879249099546685	0.353245841034556	0.07520532644541549	0.0089836887695729	[87722]
E22	chrX:13937410-13937911	0.3650295105431468	0.1168468995003967	0.3593562984039499	0.0749023565448224	0.0080805617930542	[0]
E47	chrX:13750179-13750680	0.0007993921004558	0.1722668878997092	0.36642909666642054	0.07390169547187235	0.0016316028388608	[-20509]
E4	chrX:14027051-14027552	0.5184753002934798	0.24877994547231527	0.35682442572186907	0.07306096640942329	0.0708703696033314	[88664]
E12	chrX:13938470-13938971	0.4449452956366408	0.21438840899784087	0.363414002997061	0.07237477591872317	0.0346555423868078	[82]
