panel_id	enhancer	chrom	start	end	mid	difference_structure_score	diff_structure_score	logfc_structure_score	residual_structure_score	rank_by_score
E20	chr8:24766963-24767464	chr8	24766963	24767464	24767213.5	0.1846753803213778	0.0304564508630546	0.6418285898385826	0.0343875786186009	22
E16	chr8:24767816-24768317	chr8	24767816	24768317	24768066.5	0.2008960904368473	0.0387886183591298	0.6722077998239907	0.0495105518205649	15
E19	chr8:24773793-24774294	chr8	24773793	24774294	24774043.5	0.2639376446320471	0.0429436538327671	0.9027298303486238	0.0602220728908124	6
E27	chr8:24832194-24832695	chr8	24832194	24832695	24832444.5	0.3300204541137598	0.0416423917389954	1.1868804542303324	0.0475525253159385	1
E10	chr8:24848417-24848918	chr8	24848417	24848918	24848667.5	0.3245520728871784	0.0474476666591779	1.1576961013625215	0.0461399453796482	2
E37	chr8:24862389-24862890	chr8	24862389	24862890	24862639.5	0.1982703169326624	0.0466192497703429	0.6539884051429822	0.046072902110799	16
E18	chr8:24886821-24887322	chr8	24886821	24887322	24887071.5	0.2567716304195233	0.0438308644967256	0.9072082140372018	0.0355349460329502	7
E25	chr8:24891715-24892216	chr8	24891715	24892216	24891965.5	0.2030744884476646	0.0440653281297345	0.7023289218749701	0.0281889335057951	12
E5	chr8:24913446-24913947	chr8	24913446	24913947	24913696.5	0.1752739077898985	0.0396156983555524	0.5992065875033287	0.0275028044909868	28
E4	chr8:24914011-24914512	chr8	24914011	24914512	24914261.5	0.2028806906152831	0.0405118622856062	0.7136680799299854	0.0235969306244123	13
E8	chr8:24941810-24942311	chr8	24941810	24942311	24942060.5	0.1919525076868401	0.0416588291457674	0.6595461565651894	0.029721248249245	20
E22	chr8:24942377-24942878	chr8	24942377	24942878	24942627.5	0.1834603342886253	0.0414921560240112	0.6262517543126926	0.0294300951452791	25
E21	chr8:24955004-24955505	chr8	24955004	24955505	24955254.5	0.2061992875335181	0.043894691275402	0.6621817144179021	0.0659885211968052	11
E7	chr8:24956425-24956926	chr8	24956425	24956926	24956675.5	0.1760949314460549	0.0404823984712101	0.6005237153147592	0.0279172663682316	27
E15	chr8:24957261-24957762	chr8	24957261	24957762	24957511.5	0.1839321983672033	0.0411147993481685	0.6405520220959016	0.0209950660113156	24
E17	chr8:24961381-24961882	chr8	24961381	24961882	24961631.5	0.1922438974460779	0.04369386151959	0.6610035532834978	0.0271870414781926	19
E26	chr8:24963464-24963965	chr8	24963464	24963965	24963714.5	0.2749444271189292	0.0466333044466753	0.9613665392479734	0.0455699157950448	5
E31	chr8:24965559-24966060	chr8	24965559	24966060	24965809.5	0.1939104709542955	0.0336348051464105	0.6833432545088582	0.0274878150529051	17
E9	chr8:24977627-24978128	chr8	24977627	24978128	24977877.5	0.1865612747550457	0.0410202454152565	0.6290804612841887	0.0368087464797026	21
E24	chr8:24999050-24999551	chr8	24999050	24999551	24999300.5	0.2437744320073614	0.0409764524266247	0.8393536217129117	0.0501298445956674	8
E11	chr8:24999848-25000349	chr8	24999848	25000349	25000098.5	0.1685439974874566	0.032499317716152	0.5860277448821648	0.025820954801299	29
E2	chr8:25000555-25001056	chr8	25000555	25001056	25000805.5	0.1840346638447161	0.0429158148959162	0.6409627426912147	0.0189361491815599	23
E33	chr8:25010086-25010587	chr8	25010086	25010587	25010336.5	0.213641415430068	0.0343223226578154	0.7594901153379782	0.0286855929498494	10
E3	chr8:25021594-25022095	chr8	25021594	25022095	25021844.5	0.3241503026703773	0.0597935889990727	1.1412061881043822	0.0426609144132932	3
E23	chr8:25033468-25033969	chr8	25033468	25033969	25033718.5	0.3098636640170529	0.0601841649958694	1.0808635389022223	0.044497466551856	4
E28	chr8:25034605-25035106	chr8	25034605	25035106	25034855.5	0.2243384309997957	0.0444992291698048	0.7759843184768976	0.0358361706075697	9
E12	chr8:25050750-25051251	chr8	25050750	25051251	25051000.5	0.1797952650292228	0.0412756864177403	0.615239091832277	0.0270720500115927	26
E6	chr8:25064194-25064695	chr8	25064194	25064695	25064444.5	0.202149095515502	0.0413453721219509	0.6747675005915134	0.0483402043395524	14
E1	chr8:25065472-25065973	chr8	25065472	25065973	25065722.5	0.1923359963113232	0.0444305867443186	0.6656972807613327	0.0232555469236074	18
