panel_id	enhancer	initial_rho	rectified_raw_rho	latent_state_rho	difference_structure_score	importance	distance
E6	chr8:24848417-24848918	0.3474980217451501	0.2404988905342896	0.2904055936634221	0.17135781543481257	0.0391478938515386	[-102287]
E12	chr8:25021594-25022095	0.1047090068141185	0.1445944753625396	0.24940412218510813	0.1456000478515445	0.0641676017234121	[65123]
E13	chr8:24832194-24832695	0.2456805124655384	0.22199462861014901	0.32217102285792987	0.1385635908653486	0.021242311400686	[-118511]
E29	chr8:25033468-25033969	0.0097606027129762	0.1580720389261208	0.23560311421398536	0.12661000987858378	0.0868664011471507	[76997]
E17	chr8:24977627-24978128	0.1023667684957088	0.1409451379339699	0.43660707780392644	0.12086068308775941	0.0341167658102391	[21157]
E4	chr8:24913446-24913947	0.2659742994693073	0.15740376011757104	0.450732262858719	0.12011099794456667	0.0555569059340886	[-37259]
E8	chr8:25050750-25051251	0.3020607175850172	0.2185383496710236	0.43894211320430165	0.11177711816178336	0.0338356518954864	[94279]
E7	chr8:24956425-24956926	0.2801884727759147	0.19055969026745392	0.44048682324206473	0.10668788906726928	0.0481773300014246	[0]
E30	chr8:24862389-24862890	0.1151571516215979	0.19221452216525856	0.3027069424143528	0.10472000574241758	0.0071961978040096	[-88315]
E11	chr8:24955004-24955505	0.2606352477215176	0.20950079762969812	0.41286958682443875	0.10232465495235468	0.028821890599538	[0]
E9	chr8:24941810-24942311	0.2941110194078169	0.2864992849105087	0.4329661084800153	0.10051501486885232	0.0316009945371938	[-8895]
E19	chr8:24963464-24963965	0.2480514354605619	0.24461393385590713	0.3099476139574603	0.09775123380952777	0.013748709488813	[6993]
E10	chr8:24961381-24961882	0.294932717200832	0.2875293045613308	0.41382599119664704	0.09655662691232329	0.0296669903557992	[4911]
E18	chr8:24999050-24999551	0.1532633233480246	0.22321453708766126	0.33414711696068433	0.096288567087453	0.0227542453914914	[42579]
E1	chr8:25000555-25001056	0.3085100005990417	0.21027392160807531	0.4349816444602707	0.09618934253169244	0.0602004335766056	[44085]
E14	chr8:24957261-24957762	0.2558267581551862	0.14586238586537342	0.4273700733074033	0.08920733164506162	0.0202263152623856	[791]
E3	chr8:25073762-25074263	0.2932254695192776	0.25353816290697706	0.41262128918063123	0.08547995561999956	0.0506657778775918	[117291]
E28	chr8:25075604-25076105	0.2885740419067722	0.1261151638967918	0.37984576184483004	0.08438285749250873	0.0030140522336088	[119133]
E25	chr8:25010086-25010587	0.1613174345376056	0.12429393557005458	0.4040121027105127	0.07768972456366406	0.0082976865498123	[53615]
E20	chr8:24942377-24942878	0.2698117550158572	0.26050511486701455	0.42607389845804894	0.07604277275191125	0.0118216797605651	[-8327]
E5	chr8:25064194-25064695	0.3215222099138761	0.1468089563145568	0.3988951472750118	0.07281619198169807	0.0447208633882609	[107723]
E2	chr8:25065472-25065973	0.2066636672268099	0.10737748139983827	0.409946021758541	0.07277724318764246	0.0792222883351678	[109001]
E24	chr8:24965559-24966060	0.13552407937119	0.18578100892201108	0.43444277373481727	0.06892695754821816	0.011228160002406	[9089]
E22	chr8:25075046-25075547	0.2204746056430304	0.2536762618521039	0.40799746861496866	0.06473462055586326	0.0103997291072322	[118575]
E16	chr8:24914011-24914512	0.2296800572979951	0.12480291634747738	0.429384035686578	0.06397202105495545	0.0194116643762632	[-36693]
E15	chr8:24999848-25000349	0.2520296277446982	0.10900559614772291	0.4419888454857193	0.06196176219819716	0.0198049552352312	[43377]
