gene	panel_id	enhancer	interval_id	initial_rho	pvalue_one_tailed_positive	distance_to_tss	abs_distance_to_tss	latent_state_rho	mean_abs_diff	mean_abs_logfc	residual_std	diff_structure_score	logfc_structure_score	residual_structure_score	difference_structure_score
ackr3b	E1	chr6:15659001-15659501	6-15659001-15659501	0.027743947519141523	1.592291541805406e-05	-98616	98616	-0.0006932602917442498	0.29827953880123853	4.662884878078756	0.176073965992138	0.36894223503677953	4.829851037903433	0.1629145913217111	1.4120597604531688
ackr3b	E2	chr6:15668731-15669231	6-15668731-15669231	0.030685917889069537	2.1007489564972123e-06	-88886	88886	-0.0651814776027603	0.2501864409766817	1.8030656213417402	0.21262682844533531	0.2768804739140392	1.8586901994275706	0.19544069410852097	0.6438289823604907
ackr3b	E3	chr6:15686601-15687101	6-15686601-15687101	0.055903635472667385	2.4939905892257912e-17	-71016	71016	-0.07024782434029563	0.2683307712017499	2.2179600105006827	0.21395596621561483	0.32889233503385373	2.387518010474163	0.2446567023419743	0.8140662824517733
ackr3b	E4	chr6:15690572-15691072	6-15690572-15691072	0.03991958270537822	1.070948603441441e-09	-67045	67045	-0.0597446431775661	0.2909937065939858	3.4671438378418333	0.20920341123199065	0.3457668469174125	3.2196898102113205	0.20920341123199065	1.0164503852509919
ackr3b	E5	chr6:15699673-15700173	6-15699673-15700173	0.0819628494232768	4.12074284508709e-35	-57944	57944	-0.01015226389606563	0.3060946996400205	4.768137418773918	0.19569282628738285	0.37267089630757216	4.8093030084857675	0.16459664827824563	1.4090029375418567
ackr3b	E6	chr6:15706954-15707454	6-15706954-15707454	0.058997692848151324	4.2999755508739624e-19	-50663	50663	-0.07589622695339936	0.30198139994244716	4.22424486263439	0.18056426605505355	0.3709026426665213	3.890321624030898	0.19347706321882596	1.1886584352009222
ackr3b	E7	chr6:15708735-15709235	6-15708735-15709235	0.06543265049529873	4.6437609780288277e-23	-48882	48882	0.06907114694153288	0.2537578430418692	2.4834188668262978	0.21260587201004336	0.25701778101111683	2.553483117986845	0.2155034884551294	0.8166041128604533
ackr3b	E8	chr6:15710437-15710937	6-15710437-15710937	0.032356856324730135	6.116316919294221e-07	-47180	47180	-0.041520039253903886	0.27956636842959015	3.2222027637741903	0.2024704666259924	0.3270835684254555	3.3404198777916587	0.21366873426895475	1.040722453812231
ackr3b	E9	chr6:15713507-15714007	6-15713507-15714007	0.09134551327690581	3.740905787184565e-43	-44110	44110	-0.004489740136871538	0.278637978765478	3.328781959012699	0.22846831583516258	0.3287355382075438	3.4316307692441845	0.1990938180849274	1.0590847439237883
ackr3b	E10	chr6:15714142-15714642	6-15714142-15714642	0.12950427739820697	5.945581614544735e-85	-43475	43475	0.010276431002212661	0.2443614088403634	1.3932324649691954	0.22539026278976115	0.2597795389526917	1.3970932805804392	0.22846224658228576	0.5331469220299865
ackr3b	E11	chr6:15718406-15718906	6-15718406-15718906	0.02823155663594081	1.1530317307777521e-05	-39211	39211	-0.08047030378436394	0.24894031073113565	1.6507012942465837	0.20288048278125473	0.2215809503937336	1.4856311648219254	0.15595076186095064	0.5146229380143076
ackr3b	E12	chr6:15723549-15724049	6-15723549-15724049	0.10988668825584387	1.2534264958171539e-61	-34068	34068	0.019254447574808112	0.28194544679614914	3.309905409885184	0.22639877507380377	0.28725258747992366	2.92602502509199	0.20052462935108334	0.9165909115378461
ackr3b	E13	chr6:15725373-15725873	6-15725373-15725873	0.024333263838626776	0.0001319914195897388	-32244	32244	0.12876169814829075	0.24006321583255988	2.170030520939045	0.21614146069561624	0.27069272030350505	2.000044302539681	0.22682900270281778	0.6876783147023084
ackr3b	E14	chr6:15727666-15728166	6-15727666-15728166	0.10365807939586255	4.885614170180855e-55	-29951	29951	-0.0021698353898393454	0.3179891025723252	5.13105199386235	0.2356890153456479	0.382105278750533	5.48351912388876	0.20908762720618662	1.5969025619945685
ackr3b	E15	chr6:15732815-15733315	6-15732815-15733315	0.04891083266839695	1.0960064514209897e-13	-24802	24802	0.09520151426126508	0.2735445904394955	3.481061047886305	0.21639254418979417	0.31954723621419506	2.9837666124739757	0.16585852948652466	0.9318110329244557
ackr3b	E16	chr6:15734000-15734500	6-15734000-15734500	0.08289267966486463	7.194243385525537e-36	-23617	23617	0.18476289259134734	0.2728921502511621	3.9099531376566645	0.20596636268531412	0.3206818276680933	4.000247436142753	0.21239044696553847	1.202671246540864
ackr3b	E17	chr6:15737853-15738353	6-15737853-15738353	0.04312422641881585	4.975673841511545e-11	-19764	19764	-0.04745903985999567	0.30036469327927484	4.517289655824318	0.20407108471778634	0.3665266771098084	4.733736747914993	0.21045643295016037	1.403704609355228
ackr3b	E18	chr6:15740157-15740657	6-15740157-15740657	0.041430809166928935	2.591024619215301e-10	-17460	17460	0.0015604934405850947	0.2426496802091127	1.2211669467693567	0.20096770844857328	0.2167204989672306	1.2540729214597264	0.20096770844857328	0.4705451279088245
ackr3b	E19	chr6:15740675-15741175	6-15740675-15741175	0.03767033691127762	8.064439804731888e-09	-16942	16942	-0.04189191808036804	0.2695905344617732	2.5803971115445608	0.22231135617743586	0.30098665607039465	2.3543797050620747	0.1893661551773879	0.7752677430057623
ackr3b	E20	chr6:15743205-15743705	6-15743205-15743705	0.06532732738753601	5.433141676665472e-23	-14412	14412	0.0126124725954149	0.28779810035525033	1.2973413799871394	0.18113730689630342	0.2688260363128741	1.4079655295887963	0.14749752132984706	0.5111459293877952
ackr3b	E21	chr6:15744274-15744774	6-15744274-15744774	0.06831407875250828	5.746648206622875e-25	-13343	13343	0.0274571317804077	0.31032376639260456	5.260236009824666	0.20292658980236983	0.37129858022837675	5.622981197946935	0.18263393082213286	1.6181866073658309
ackr3b	E22	chr6:15746077-15746577	6-15746077-15746577	0.08677905652634774	3.945536159821616e-39	-11540	11540	-0.08505272150703964	0.2501763017690407	1.3745506939857068	0.20825071449340843	0.2716834650478652	1.1192769936740756	0.21623116641888732	0.4641735426842756
ackr3b	E23	chr6:15748659-15749159	6-15748659-15749159	0.04399906401623382	2.0694122287112885e-11	-8958	8958	0.06724896535329523	0.2727083352757843	3.256667528961569	0.22156303655837226	0.3178817626659662	2.877429932236099	0.2071675993947642	0.9190188479135788
ackr3b	E24	chr6:15750651-15751151	6-15750651-15751151	0.12021927511834915	1.9991278135940993e-73	-6966	6966	0.19409401580325675	0.23677908679794724	2.1109816598527678	0.22742505889171766	0.2559163931996219	2.1567835290470385	0.20143362358980707	0.7120642077980409
ackr3b	E25	chr6:15751165-15751665	6-15751165-15751665	0.16142618694070604	2.32501515349482e-131	-6452	6452	0.3241022886262462	0.2594358941965909	3.921298549432507	0.18906868078461175	0.3101980458780929	3.5080221205988167	0.1779481308239497	1.0633665942893238
ackr3b	E26	chr6:15753182-15753682	6-15753182-15753682	0.0551608622401126	6.402764583701693e-17	-4435	4435	0.3420556031850406	0.2321197970782241	2.6603895962429314	0.19830803615177686	0.25630107846551475	2.294058827654688	0.18470622056685754	0.740682315498278
