gene	enhancer_index	global_concordance	max_regional_concordance	best_domain	best_domain_size	local_advantage	regional_specificity	regional_evidence_score	permutation_pvalue	predicted_class	permutation_qvalue	enhancer	prior_score	prior_signed_score
LPA	0	-0.010819979354034347	0.0	0	1292	0.010819979354034347	0.023690474841084077	0.0	1.0	unsupported	1.0	chr6:160678830-160679331	0.0409364655812154	0.0409364655812154
LPA	1	0.00107383644784166	0.02772921985081027	4	1292	0.026655383402968608	0.02772921985081027	4.471763145621833e-06	0.43	unsupported	0.7818181818181817	chr6:160679346-160679847	0.027809200418085	0.027809200418085
LPA	2	0.0011519291480328953	0.030090692543223187	4	1292	0.028938763395190293	0.030090692543223187	5.7169302292317615e-06	0.38	unsupported	0.7818181818181817	chr6:160384761-160385262	0.0083068946088931	0.0083068946088931
LPA	3	0.02842463974334687	0.07531451215728732	4	1292	0.04688987241394045	0.07531451215728732	0.00021277782865213122	0.04	unsupported	0.2	chr6:160421867-160422368	0.0077616792973587	0.0077616792973587
LPA	4	-0.009756024900631046	0.02391964570671049	4	1292	0.033675670607341536	0.02391964570671049	4.203821768969065e-06	0.41	unsupported	0.7818181818181817	chr6:160767300-160767801	0.0069815523624082	0.0069815523624082
LPA	5	0.007817837164280998	0.010372642204465926	5	1254	0.0025548050401849286	0.010372642204465926	5.997290913646002e-08	0.35	unsupported	0.7818181818181817	chr6:160396194-160396695	0.005336866224122	0.005336866224122
LPA	6	0.027162188920826544	0.4795917744779911	4	1292	0.45242958555716456	0.4795917744779911	0.09712504324815055	0.01	regional_candidate	0.06666666666666667	chr6:160776206-160776707	0.0027855652104985	0.0027855652104985
LPA	7	-0.010618565881028398	0.0	0	1292	0.010618565881028398	0.016809849275312566	0.0	1.0	unsupported	1.0	chr6:160520063-160520564	0.0026434050911522	0.0026434050911522
LPA	8	-0.0016403641825017583	0.010413761771292199	5	1254	0.012054125953793958	0.010413761771292199	8.04447370731651e-08	0.58	unsupported	0.9384615384615385	chr6:160427985-160428486	0.0022723734708135	0.0022723734708135
LPA	9	0.0051271756070843146	0.01304155712340283	4	1292	0.007914381516318516	0.01304155712340283	8.283664717008132e-08	0.61	unsupported	0.9384615384615385	chr6:160439694-160440195	0.0011096448846658	-0.0011096448846658
LPA	10	-0.013248626081051068	0.0	0	1292	0.013248626081051068	0.008467914202126683	0.0	1.0	unsupported	1.0	chr6:160455867-160456368	0.0007526699203502	0.0007526699203502
