panel_id	enhancer	initial_rho	rectified_raw_rho	latent_state_rho	difference_structure_score	importance	distance
E457	chr16:7731848-7732349	0.3297946530510215	0.11822188252537161	0.17233210892998793	0.17918281149883325	0.0	[-18758]
E273	chr16:6047821-6048322	0.2325234730696685	0.11032675633049822	0.15284461251315531	0.1701712519503966	0.0001766457258707	[0]
E327	chr16:5527747-5528248	0.1945126635685612	0.11308518423034009	0.1785852739849115	0.16990803105609364	9.201794065131529e-05	[0]
E407	chr16:7135225-7135726	0.2743221803257897	0.11689255463516215	0.17563070510173134	0.16537665857524478	7.437283706488342e-06	[0]
E392	chr16:7290607-7291108	0.3064112267712394	0.11443174275177419	0.1657689508648273	0.16293708548151517	1.5857087258131792e-05	[0]
E214	chr16:6057119-6057620	0.1417340911808918	0.100608844492566	0.16200894441031516	0.16235599499268735	0.0006939777836441	[0]
E285	chr16:6063401-6063902	0.2485183671588955	0.10389351977769311	0.1977669693322632	0.1605897433147623	0.0001384623830741	[0]
E445	chr16:7571228-7571729	0.3693035404429277	0.12521997496963846	0.16492713742133525	0.15915954445872169	0.0	[0]
E129	chr16:7284973-7285474	0.199256828765502	0.10355983269472673	0.20298143352539452	0.15754115833499738	0.001609183184113	[0]
E82	chr16:7487821-7488322	0.485906129042278	0.10138331735871296	0.1560373938451435	0.15726132824337175	0.0014222930541279	[0]
E357	chr16:7655648-7656149	0.3094901515019601	0.10270424024547394	0.15733857099747198	0.15522648397899683	3.850313336270174e-05	[0]
E395	chr16:6359760-6360261	0.1455371941561121	0.10511795644007377	0.14005442543469812	0.1547116842192985	2.557629556925753e-05	[0]
E148	chr16:7191698-7192199	0.3181945907085249	0.12270286603947266	0.169868985070158	0.1539721303983847	0.0008010027491152	[0]
E452	chr16:6832164-6832665	0.1607739970834834	0.11102471075450557	0.17431452740665246	0.15081658142864782	0.0	[0]
E264	chr16:6241405-6241906	0.2896322926767024	0.10765839336196494	0.1647968906776605	0.15023615216399186	0.000163035108018	[0]
E45	chr16:7423356-7423857	0.6142232591353135	0.11080632381889507	0.21624456201223055	0.14678933959705842	0.002453664941443	[0]
E356	chr16:5706461-5706962	0.4055694624211666	0.10270702503042857	0.20632369879265836	0.14532820784067468	2.9781286661166228e-05	[0]
E96	chr16:6936339-6936840	0.4248071209729041	0.10040284588527001	0.15288598063472353	0.14509430052961783	0.00134517825188	[0]
E114	chr16:7422472-7422973	0.5792877651058448	0.10377556624759907	0.20818182721110523	0.14485517762617764	0.0006925219407386	[0]
E268	chr16:7437333-7437834	0.3476048058136462	0.11262715004154786	0.17806693568556894	0.14303767069135864	0.0001292534500167	[0]
E110	chr16:6580286-6580787	0.2580642993939029	0.11677697509007978	0.15188928511187694	0.14288229540865321	0.0016197024131967	[0]
E352	chr16:7709037-7709538	0.1974697010395226	0.11518753396064493	0.18186417975681812	0.14195391354873363	6.628329595863632e-05	[0]
E238	chr16:7517404-7517905	0.3363245175154307	0.12082363231734462	0.1797110738803272	0.14188917885856508	0.0001930212090618	[0]
E449	chr16:5830879-5831380	0.2825160353943201	0.10559073934623443	0.19093381257740244	0.1405753498016892	0.0	[0]
E444	chr16:5614259-5614760	0.2815319990079142	0.1048208744948041	0.19739045147909157	0.139396540316896	0.0	[0]
E152	chr16:7640308-7640809	0.3924177855592385	0.11266156385199896	0.18012550454792495	0.1381316449412189	0.0006364370437126	[0]
E267	chr16:7131071-7131572	0.1876500880786722	0.10886879186904312	0.20738237646478458	0.13772810111320885	0.0002396322838274	[0]
E40	chr16:6231791-6232292	0.4214462194479282	0.12057145805088444	0.19898469126470997	0.13757796151870955	0.0042197522839908	[0]
E362	chr16:5881758-5882259	0.2590243401362316	0.1004794264976167	0.15947962773522792	0.13672777354548632	4.041673681335644e-05	[0]
E117	chr16:7111190-7111691	0.3663609991696021	0.11538422014046067	0.18160928730906623	0.13514501387180117	0.0010474978487722	[0]
E23	chr16:7405102-7405603	0.5657897980363541	0.11459650156785572	0.22744610635609216	0.13449497041323674	0.0066478327155452	[0]
E462	chr16:6546983-6547484	0.2956894513027518	0.11385998036565667	0.17926662113105313	0.13442960875325122	0.0	[0]
E95	chr16:5932929-5933430	0.5226813464068014	0.11272959807566792	0.20526320207742282	0.13440982422326067	0.0011039093181547	[0]
E250	chr16:5815532-5816033	0.2434029587711924	0.109658145952177	0.2092619957076355	0.13415275423923478	0.0002300920131895	[0]
E333	chr16:6918555-6919056	0.1623765954592898	0.10439799931476153	0.17303891983007325	0.1336661807231053	0.0001028972141527	[0]
E146	chr16:5891215-5891716	0.433383685588875	0.10465039230328343	0.1950373912294562	0.13250462815571398	0.0006080441350537	[0]
E322	chr16:5554365-5554866	0.1319255605697874	0.11695923913034467	0.18464125075845372	0.13154734496911089	0.0001451254022591	[0]
E80	chr16:7534910-7535411	0.5190860494287499	0.11771286741368646	0.16827935925974846	0.1310982914725578	0.0013585005692965	[0]
E135	chr16:5758318-5758819	0.596151640941375	0.10117811626660668	0.1999143074061878	0.1297758787971218	0.0004946827799986	[0]
E103	chr16:7677750-7678251	0.365725019677396	0.10353294959629782	0.1481763665382908	0.1295324134326568	0.0013436046738215	[0]
E310	chr16:6073325-6073826	0.286902429668936	0.10655463830096301	0.14556222861009196	0.12752730617644986	7.827661321488841e-05	[0]
E161	chr16:7804808-7805309	0.3870663201039313	0.10386680141038976	0.2009358908001677	0.12648809884745965	0.0005362153943053	[-91718]
E41	chr16:7645262-7645763	0.2289358605814108	0.1040893803118897	0.17460325100709095	0.12604139700736122	0.0077374319987705	[0]
E61	chr16:6684030-6684531	0.5553731167784582	0.11585517554421831	0.22320149955190782	0.1259566836068311	0.0018167031168195	[0]
E394	chr16:6947630-6948131	0.3213699131149305	0.11481007034505232	0.1990846772471144	0.1252424119468757	1.1901545627292773e-05	[0]
E47	chr16:6983317-6983818	0.4406101859956153	0.10062023018739402	0.16614570182216495	0.12472295683524867	0.0030494124902018	[0]
E254	chr16:7476350-7476851	0.3614976402375097	0.10232430274307983	0.18881296013676974	0.12371609619410101	0.0001471581439341	[0]
E461	chr16:6512322-6512823	0.2189178105541193	0.10154977843557304	0.1571672156366949	0.12286036813405776	0.0	[0]
E33	chr16:5349723-5350224	0.5535507463494426	0.12957976027613807	0.20793082149398404	0.12195281218653213	0.004193788144556	[0]
E26	chr16:7038261-7038762	0.3629290302420662	0.10726207219557626	0.1661254336463818	0.12128091359110835	0.0091296039723465	[0]
E7	chr16:6708762-6709263	0.654756934901502	0.12536698041148314	0.2010314165529876	0.1192711557747603	0.0289788577798823	[0]
E111	chr16:7382545-7383046	0.479612892037832	0.11931884948743184	0.1876916095486565	0.11779843751976157	0.0008711563745266	[0]
E180	chr16:5469281-5469782	0.217370817955331	0.10643749556609795	0.16137788067201614	0.11671375174304216	0.0007670716429347	[0]
E232	chr16:6395387-6395888	0.2257424517988296	0.11565285087323142	0.1762094099889312	0.1160505597886477	0.0003153890264831	[0]
E141	chr16:7476877-7477378	0.3769544511762669	0.11052329558184512	0.21107104900766593	0.11290881349303311	0.0007428386732424	[0]
E74	chr16:6428862-6429363	0.4747122997854507	0.10124109454388744	0.15243317192011965	0.1125155409046099	0.0016170255013668	[0]
E203	chr16:7395303-7395804	0.4721920515028389	0.10578102050403805	0.17519595550083095	0.11147085681181372	0.0002316658444228	[0]
E300	chr16:7035413-7035914	0.2540114665714301	0.12246851471769349	0.1689391840121744	0.10971999155448141	0.0001060351176892	[0]
E44	chr16:6596291-6596792	0.311165821658118	0.10432836185011009	0.19732534650020336	0.10948660140884905	0.0053423924524292	[0]
E13	chr16:5903736-5904237	0.6068819390282421	0.10454826123943801	0.22670831605173844	0.10186805614767203	0.0155211631758469	[0]
