gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	prior_score	prior_signed_score
C16orf89	chr16:5071581-5072082	0	0.018344063814457995	0.09519031031266405	1	0.07684624649820605	0.08437648305638688	0.0006172154965975153	unsupported	True	0.0023326801077177	-0.0023326801077177
C16orf89	chr16:4944722-4945223	1	0.0011096594970993981	0.0664343141770904	5	0.065324654679991	0.08103905786530878	0.0003516931925046136	unsupported	True	0.0014623613808568	0.0014623613808568
C16orf89	chr16:5208055-5208556	2	0.01049807589791467	0.08014843308983381	1	0.06965035719191914	0.09184004464170376	0.0005126848338508	unsupported	True	0.0010639284507085	-0.0010639284507085
C16orf89	chr16:5061242-5061743	3	-0.0023860876582558147	0.14529213316758927	1	0.14767822082584509	0.16522083085617428	0.003545058068491663	unsupported	True	0.0009970011294255	-0.0009970011294255
C16orf89	chr16:5108721-5109222	4	0.023250228957945682	0.0814426130011516	0	0.058192384043205925	0.05833068944728626	0.000276448958831566	unsupported	True	0.000899853645394	0.000899853645394
C16orf89	chr16:5035323-5035824	5	0.003631868401677518	0.07580506556716818	5	0.07217319716549066	0.08219357931011323	0.00044968879394353137	unsupported	True	0.0006215189666836	0.0006215189666836
C16orf89	chr16:5097669-5098170	6	0.005298389486278428	0.05657368110612105	0	0.05127529161984262	0.05913381779426491	0.00017153727074607064	unsupported	True	0.0004753867075123	-0.0004753867075123
C16orf89	chr16:4943304-4943805	7	-0.0010159374707250136	0.03774436568194329	5	0.038760303152668305	0.04432806743920185	6.48512115748635e-05	unsupported	True	0.0004051021336998	0.0004051021336998
C16orf89	chr16:5033658-5034159	8	0.008905046801521642	0.059642864925854	0	0.05073781812433236	0.05523907557125366	0.00016716166407716897	unsupported	True	0.0003651343793343	-0.0003651343793343
C16orf89	chr16:5208791-5209292	9	-0.006313621636629105	0.06305045140866168	1	0.06936407304529078	0.07809845109614463	0.00034155858670946134	unsupported	True	0.0003568034931933	-0.0003568034931933
C16orf89	chr16:5175251-5175752	10	0.009570373924977112	0.1591216603196976	1	0.14955128639472048	0.17934769482446333	0.004267910011173115	unsupported	True	0.0003111491093953	-0.0003111491093953
C16orf89	chr16:5098389-5098890	11	0.005584747045568441	0.04644956569123945	0	0.040864818645671014	0.050516292767972475	9.588765661388388e-05	unsupported	True	0.0003029486610707	-0.0003029486610707
C16orf89	chr16:5169194-5169695	12	0.0021010064874576553	0.09137689990691397	1	0.08927589341945631	0.11246002900584556	0.0009174212938701026	unsupported	True	0.0002841878448461	-0.0002841878448461
C16orf89	chr16:5092175-5092676	13	0.019665686630821418	0.09411792347165003	0	0.0744522368408286	0.07612350108863503	0.0005334194425597956	unsupported	True	0.0002444008281743	-0.0002444008281743
C16orf89	chr16:4994684-4995185	14	-0.006199897025354714	0.016494732608067966	0	0.02269462963342268	0.020886782288764595	7.818796669104228e-06	unsupported	True	0.0001997171137235	-0.0001997171137235
C16orf89	chr16:4937084-4937585	15	-0.011505689383517152	0.01299117940590484	1	0.02449686878942199	0.029136085551299228	9.272361606139557e-06	unsupported	True	0.0001882702934713	0.0001882702934713
C16orf89	chr16:5117229-5117730	16	0.027484168256436608	0.1404186193265971	1	0.1129344510701605	0.15583797720268924	0.0024712941785415324	unsupported	True	0.0001880197617361	-0.0001880197617361
C16orf89	chr16:5174669-5175170	17	-0.0049758724311714814	0.03990223710407463	1	0.04487810953524611	0.05712362211614694	0.00010229338183848701	unsupported	True	0.0001671118545689	-0.0001671118545689
C16orf89	chr16:5116214-5116715	18	0.00846488038064792	0.04069884719866847	0	0.03223396681802054	0.05180517590231764	6.796244821903248e-05	unsupported	True	0.0001533329721224	-0.0001533329721224
C16orf89	chr16:4957937-4958438	19	-0.003543616747657584	0.024296447401221607	0	0.02784006414887919	0.02816739111425318	1.9052836121386997e-05	unsupported	True	0.0001494843381083	-0.0001494843381083
CACNB1	chr17:39260635-39261136	0	0.009072889625509058	0.06507078367941878	3	0.055997894053909716	0.05548391837375254	0.0002021737915403959	unsupported	True	0.0010637051100975	0.0010637051100975
CACNB1	chr17:39335013-39335514	1	0.009393357754744855	0.0231318528287763	2	0.013738495074031444	0.01200803302897018	3.816115024968047e-06	unsupported	True	0.0009875393646732	0.0009875393646732
CACNB1	chr17:39239534-39240035	2	0.023109360213754346	0.06273839513319052	3	0.039629034919436174	0.059506817568575135	0.0001479495423276262	unsupported	True	0.0009623249635621	0.0009623249635621
CACNB1	chr17:39063010-39063511	3	0.03401213372627143	0.06137651281912894	5	0.027364379092857508	0.032644947907707104	5.482817471908776e-05	unsupported	True	0.0009225271562285	-0.0009225271562285
CACNB1	chr17:39195044-39195545	4	0.0006647953673867243	0.03666691245715401	0	0.03600211708976729	0.020964475540927736	2.7674920629682422e-05	unsupported	True	0.0007818838764314	-0.0007818838764314
CACNB1	chr17:39154233-39154734	5	0.01783532718349791	0.03849337382073186	5	0.020658046637233952	0.009485222312487315	7.542628974076455e-06	unsupported	True	0.0007399802730282	0.0007399802730282
CACNB1	chr17:39151309-39151810	6	0.017647686049208598	0.04749692208990821	0	0.02984923604069961	0.022425293642055016	3.179338916723384e-05	unsupported	True	0.0007363644114167	0.0007363644114167
CACNB1	chr17:39167356-39167857	7	-0.007116363345994054	0.0249181701392801	1	0.03203453348527416	0.03754011881623375	2.9966097861776304e-05	unsupported	True	0.0005884767984886	0.0005884767984886
CACNB1	chr17:39272276-39272777	8	0.0035588369147620466	0.03714953122493487	5	0.03359069431017282	0.04952420961156274	6.180019873848267e-05	unsupported	True	0.0005385730623577	-0.0005385730623577
CACNB1	chr17:39164753-39165254	9	0.005542978486598286	0.05335790076337287	1	0.047814922276774585	0.030422967454282784	7.761823484189283e-05	unsupported	True	0.0005121620212685	-0.0005121620212685
CACNB1	chr17:39144475-39144976	10	0.018073195841378197	0.05685718867968371	0	0.03878399283830551	0.04864096755998927	0.00010726057117565948	unsupported	True	0.0005043997018452	-0.0005043997018452
CACNB1	chr17:39173702-39174203	11	0.004574369968230934	0.04351475082362842	0	0.038940380855397486	0.03256565603513444	5.518188442383828e-05	unsupported	True	0.0004423138074459	-0.0004423138074459
