gene	enhancer_index	global_concordance	max_regional_concordance	best_domain	best_domain_size	local_advantage	regional_specificity	regional_evidence_score	permutation_pvalue	predicted_class	permutation_qvalue	enhancer	prior_score	prior_signed_score
NEFM	0	0.14800036210586523	0.22501158429795762	3	1292	0.07701122219209239	0.0806239934432273	0.0013598305561194214	0.02	unsupported	0.02666666666666667	chr8:25065472-25065973	0.0291705284809795	0.0291705284809795
NEFM	1	0.23401075529047158	0.3202077019393366	0	1292	0.08619694664886504	0.11964927228725508	0.003214365914775603	0.02	unsupported	0.02666666666666667	chr8:25000555-25001056	0.0158755509382645	0.0158755509382645
NEFM	2	0.22803449675695997	0.34200207379018016	0	1292	0.11396757703322019	0.07063988759244005	0.002679918896002973	0.02	unsupported	0.02666666666666667	chr8:25021594-25022095	0.0138726668452828	0.0138726668452828
NEFM	3	0.12964682960704974	0.27804210843798993	4	1292	0.1483952788309402	0.19682226242196205	0.007904355666871875	0.02	regional_candidate	0.02666666666666667	chr8:24914011-24914512	0.0118238551472752	0.0118238551472752
NEFM	4	0.1689302785435189	0.25805521177174995	4	1292	0.08912493322823103	0.15368100453604222	0.0034402788024145464	0.02	unsupported	0.02666666666666667	chr8:24913446-24913947	0.0111406039524669	0.0111406039524669
NEFM	5	0.16371540781171906	0.22988295654761792	3	1292	0.06616754873589886	0.15333659840724184	0.0022701745014171576	0.02	unsupported	0.02666666666666667	chr8:25064194-25064695	0.0096217299212909	0.0096217299212909
NEFM	6	0.19862252782022327	0.3364734611835892	4	1292	0.1378509333633659	0.21660917551566627	0.009779101923415683	0.02	regional_candidate	0.02666666666666667	chr8:24956425-24956926	0.0075438340095023	0.0075438340095023
NEFM	7	0.2616849331784137	0.29553272982245865	4	1292	0.03384779664404497	0.09769796613548865	0.0009512246760227491	0.02	unsupported	0.02666666666666667	chr8:24941810-24942311	0.0054465951514801	0.0054465951514801
NEFM	8	0.16812885565475494	0.24124149431061057	3	1292	0.07311263865585563	0.09580742777744694	0.0016447702617019193	0.02	unsupported	0.02666666666666667	chr8:24977627-24978128	0.0050664347821249	0.0050664347821249
NEFM	9	0.24265470102433448	0.3638531487207353	4	1292	0.12119844769640084	0.28083021311454914	0.012053928784377145	0.02	regional_candidate	0.02666666666666667	chr8:24848417-24848918	0.0044068172336015	0.0044068172336015
NEFM	10	0.11457015148906985	0.17811584646882125	4	1292	0.0635456949797514	0.08274689673611885	0.0008971358163457132	0.04	unsupported	0.042105263157894736	chr8:24999848-25000349	0.0043401353238806	0.0043401353238806
NEFM	11	0.20401414837107745	0.3166123595122684	4	1292	0.11259821114119095	0.21023121555042237	0.0072948800187513495	0.02	regional_candidate	0.02666666666666667	chr8:25050750-25051251	0.0038582563470471	0.0038582563470471
NEFM	12	0.046440191902467357	0.26997333351011615	3	1292	0.2235331416076488	0.15760799027929132	0.009257689676309779	0.02	regional_candidate	0.02666666666666667	chr8:25034051-25034552	0.002384690147211	0.002384690147211
NEFM	13	0.03032879845308471	0.11495379567322347	4	1292	0.08462499722013876	0.11171192760766296	0.0009997913070300243	0.08	unsupported	0.08	chr8:24914668-24915169	0.0023309669483478	0.0023309669483478
NEFM	14	0.1791453805365238	0.27501593404250296	4	1292	0.09587055350597917	0.15339730052108808	0.003874169303844988	0.04	unsupported	0.042105263157894736	chr8:24957261-24957762	0.002304142283226	0.002304142283226
NEFM	15	0.14454396520463056	0.18626521359863735	3	1292	0.04172124839400679	0.09099363347195981	0.0006773573443050347	0.04	unsupported	0.042105263157894736	chr8:24767816-24768317	0.0021563180521829	0.0021563180521829
NEFM	16	0.2552827050103882	0.34236556214359853	4	1292	0.08708285713321035	0.17622454923221015	0.005113882533545179	0.02	regional_candidate	0.02666666666666667	chr8:24961381-24961882	0.0021458660553741	0.0021458660553741
NEFM	17	0.153227230644431	0.2710561096293013	3	1292	0.11782887898487032	0.10763340548873776	0.003345951371119017	0.02	unsupported	0.02666666666666667	chr8:24886821-24887322	0.0020484997309302	0.0020484997309302
NEFM	18	0.2549629574837693	0.37803808380550596	4	1292	0.12307512632173667	0.2876032342541459	0.013024504366979644	0.02	regional_candidate	0.02666666666666667	chr8:24773793-24774294	0.0016878681601683	0.0016878681601683
NEFM	19	0.11958503642677762	0.21720931611167102	4	1292	0.0976242796848934	0.1274486515118032	0.002588745294191652	0.04	unsupported	0.042105263157894736	chr8:24766963-24767464	0.0014976107297359	0.0014976107297359
VIM	0	0.39951631673945887	0.4036615919034395	1	1292	0.004145275163980611	0.2576574599615636	0.00041545758681647263	0.02	core_concordant	0.03636363636363637	chr10:17228941-17229442	0.0657333217243029	0.0657333217243029
VIM	1	0.39831328075729816	0.39716052737711677	1	1292	-0.0011527533801813927	0.2785322114590558	0.0	0.02	core_concordant	0.03636363636363637	chr10:17228390-17228891	0.0645673070144108	0.0645673070144108
VIM	2	0.2616761053807189	0.33699108800946087	1	1292	0.07531498262874198	0.2802849557059019	0.006855083730148653	0.02	regional_candidate	0.03636363636363637	chr10:17201134-17201635	0.041159539862478	0.041159539862478
VIM	3	0.3449301071024719	0.32859562875920734	1	1292	-0.01633447834326457	0.24421601261303255	0.0	0.02	unsupported	0.03636363636363637	chr10:17229832-17230333	0.0267097533848691	0.0267097533848691
VIM	4	0.32524170232095484	0.3354178642971193	1	1292	0.010176161976164444	0.20988014848265518	0.0006903268148684514	0.02	unsupported	0.03636363636363637	chr10:17171264-17171765	0.0228453860411396	0.0228453860411396
VIM	5	0.2842794014899412	0.38264340209863434	1	1292	0.09836400060869316	0.31449517300720886	0.011406635851988377	0.02	regional_candidate	0.03636363636363637	chr10:17139476-17139977	0.0192352060145779	0.0192352060145779
VIM	6	0.3282636782830256	0.385331890267565	1	1292	0.057068211984539374	0.27609365719785783	0.005850578736120629	0.02	regional_candidate	0.03636363636363637	chr10:17257623-17258124	0.0170148393092017	0.0170148393092017
VIM	7	0.14967197221223075	0.26228988142059073	1	1292	0.11261790920835998	0.24212306620255003	0.0068918900805208455	0.02	regional_candidate	0.03636363636363637	chr10:17137719-17138220	0.0091125674281443	0.0091125674281443
VIM	8	0.26693124713984306	0.26755343211573424	1	1292	0.0006221849758911713	0.2135308868527449	3.425341924502572e-05	0.02	unsupported	0.03636363636363637	chr10:17250728-17251229	0.0069035461280148	0.0069035461280148
VIM	9	0.2129393487151859	0.32631901602563823	1	1292	0.11337966731045232	0.2686749050997082	0.009578948653903251	0.02	regional_candidate	0.03636363636363637	chr10:17138328-17138829	0.0050697280270585	0.0050697280270585
VIM	10	0.014359087284662822	0.038457891655728604	0	1292	0.024098804371065784	0.04075045854561874	5.035611357624493e-07	0.74	unsupported	0.9866666666666667	chr10:17348557-17349058	0.0017859181621098	0.0017859181621098
VIM	11	-0.10240522923766375	-0.030792650347761817	5	1254	0.07161257888990194	0.025386465929578154	0.0	1.0	unsupported	1.0	chr10:17307030-17307531	0.001763858129046	-0.001763858129046
VIM	12	-0.10432858177856896	0.08366733913860529	0	1292	0.18799592091717426	0.135936030883213	0.0016392513496932709	0.14	unsupported	0.23333333333333336	chr10:17274809-17275310	0.0014165922620202	-0.0014165922620202
VIM	13	0.16360959421156676	0.2632195914793467	1	1292	0.09960999726777994	0.2539967224242555	0.006417449082516179	0.02	regional_candidate	0.03636363636363637	chr10:17199563-17200064	0.0011031885252721	0.0011031885252721
VIM	14	-0.11447560764739836	-0.00767169868650817	2	1254	0.10680390896089019	0.05345906672385689	0.0	0.98	unsupported	1.0	chr10:17278934-17279435	0.0007976836783721	-0.0007976836783721
VIM	15	-0.08590295127751879	0.08844491502984665	0	1292	0.17434786630736543	0.12983817551108356	0.0015092967377960018	0.16	unsupported	0.24615384615384617	chr10:17353837-17354338	0.000510998798217	-0.000510998798217
VIM	16	-0.09933939238233358	-0.040438720328540165	2	1254	0.058900672053793415	0.034644809440970675	0.0	1.0	unsupported	1.0	chr10:17155793-17156294	0.0004242750405562	-0.0004242750405562
VIM	17	-0.10399636841031518	0.05258136077470401	2	1254	0.1565777291850192	0.1232864483131429	0.00029000741924082625	0.5	unsupported	0.7142857142857143	chr10:17323180-17323681	0.0002951189827693	-0.0002951189827693
VIM	18	-0.11605656656587542	0.017809304804589483	0	1292	0.1338658713704649	0.07055428489747698	0.0	0.92	unsupported	1.0	chr10:17377694-17378195	0.0002775115684488	-0.0002775115684488
VIM	19	-0.14605798943264667	-0.002269584716655714	5	1254	0.14378840471599094	0.09431526472330902	0.0	0.96	unsupported	1.0	chr10:17177942-17178443	0.0002603011426139	-0.0002603011426139
